location,GDPrank,Personrank
North Dakota ,16,1
South Dakota ,33,2
Texas,1,3
Iowa ,17,4
Nebraska,35,5
Florida ,2,6
New York,6,7
Arkansas,47,8
Arizona ,38,9
Idaho ,18,10
Colorado ,39,11
Utah ,27,12
Oklahoma,32,13
Tennessee ,10,14
Oregon ,31,15
Washington,9,16
Alabama ,20,17
Nevada,5,18
Louisiana ,46,19
Ohio ,28,20
South Carolina ,13,21
Wisconsin ,37,22
Missouri ,40,23
West Virginia ,3,24
Georgia ,14,25
Delaware ,4,26
New Jersey,24,27
Vermont ,11,28
Minnesota ,30,29
Alaska ,19,30
North Carolina ,15,31
Kansas,43,32
Mississippi ,26,33
Montana ,25,34
California ,12,35
Virginia ,22,36
Wyoming ,50,37
Illinois ,44,38
Hawaii ,7,39
Maryland ,21,40
Maine ,29,41
Rhode Island ,8,42
New Hampshire ,42,43
Michigan ,34,44
Pennsylvania ,23,45
Indiana,48,46
Kentucky,36,47
New Mexico,41,48
Massachusetts ,45,49
Connecticut,49,50
