location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Alabama,19,1,Ala.,4893186,3.88,8/4/2022,2:24 PM,7507,0,2022/8/4,22.13105413,1.408545455,26.3287037,31.93888889,21.85555556,3.226,10.08333333
Alabama,19,1,Ala.,4893186,3.88,8/5/2022,7:51 PM,7507,0,2022/8/5,22.11111111,0.871482759,27.21563089,33.56873823,22.07344633,2.867346939,11.4952919
Alabama,19,1,Ala.,4893186,3.88,8/6/2022,7:58 PM,7507,0,2022/8/6,22.53858025,0.74644898,27.35672515,34,22.3294347,2.636170213,11.6705653
Alabama,19,1,Ala.,4893186,3.88,8/7/2022,8:02 PM,7507,0,2022/8/7,22.39814815,4.052956522,26.30896686,33.36549708,21.97173489,2.621276596,11.39376218
Alabama,21,1,Ala.,4893186,4.29,8/8/2022,8:09 PM,8931,2,2022/8/8,22.44594595,4.727222222,25.651341,32.2059387,21.88409962,2.275,10.32183908
Alabama,22,1,Ala.,4893186,4.5,8/9/2022,7:37 PM,9489,1,2022/8/9,22.37426901,5.324415094,25.56308851,31.66384181,22.01977401,2.975510204,9.644067797
Alabama,22,1,Ala.,4893186,4.5,8/10/2022,7:52 PM,9489,0,2022/8/10,22.24269006,2.281207547,24.8653484,30.586629,21.92843691,2.848979592,8.65819209
Alabama,24,1,Ala.,4893186,4.9,8/11/2022,7:59 PM,10389,2,2022/8/11,22.18567251,6.982603774,24.91525424,30.74387947,21.75988701,2.671428571,8.983992467
Alabama,24,1,Ala.,4893186,4.9,8/12/2022,7:51 PM,10389,0,2022/8/12,22.10233918,5.456115385,25.66760829,31.15442561,22.11581921,2.928571429,9.038606403
Alabama,24,1,Ala.,4893186,4.9,8/13/2022,8:05 PM,10389,0,2022/8/13,20.71621622,1.183821429,25.30651341,31.49808429,20.05268199,2.41875,11.4454023
Alabama,24,1,Ala.,4893186,4.9,8/14/2022,8:17 PM,10389,0,2022/8/14,20.65204678,0.078827586,25.99811676,32.68361582,20.38888889,2.463265306,12.29472693
Alabama,24,1,Ala.,4893186,4.9,8/15/2022,8:12 PM,10389,0,2022/8/15,21.73361823,0.699698113,26.83518519,33.93796296,21.21759259,2.84,12.72037037
Alabama,24,1,Ala.,4893186,4.9,8/16/2022,8:22 PM,10389,0,2022/8/16,21.6965812,1.094509091,26.21574074,32.53333333,20.97407407,3.278,11.55925926
Alabama,34,1,Ala.,4893186,6.95,8/17/2022,8:24 PM,13514,10,2022/8/17,20.91880342,1.08572549,24.34074074,29.51759259,20.76666667,2.498,8.750925926
Alabama,34,1,Ala.,4893186,6.95,8/18/2022,8:13 PM,14112,0,2022/8/18,20.84615385,4.221655172,24.25277778,29.67222222,20.63425926,2.452,9.037962963
Alabama,34,1,Ala.,4893186,6.95,8/19/2022,8:04 PM,14112,0,2022/8/19,21.79344729,9.713148148,24.64074074,29.55833333,21.15833333,2.424,8.4
Alabama,34,1,Ala.,4893186,6.95,8/20/2022,8:09 PM,14112,0,2022/8/20,22.63888889,4.591169811,25.5094162,31.35028249,21.79566855,3.07755102,9.554613936
Alabama,34,1,Ala.,4893186,6.95,8/21/2022,8:18 PM,14112,0,2022/8/21,22.55705706,10.33272,24.67624521,29.9348659,22.04385965,3.275,7.891006251
Alabama,47,1,Ala.,4893186,9.61,8/22/2022,8:33 PM,15430,13,2022/8/22,22.38461538,6.18537037,24.24444444,28.36296296,22.05462963,2.564,6.308333333
Alabama,53,1,Ala.,4893186,10.83,8/23/2022,8:30 PM,15906,6,2022/8/23,22.53561254,3.786481481,24.6962963,28.23518519,22.23333333,1.964,6.001851852
Alabama,53,1,Ala.,4893186,10.83,8/24/2022,8:29 PM,16600,0,2022/8/24,22.34188034,3.777074074,24.09444444,27.6212963,21.80740741,2.292,5.813888889
Alabama,53,1,Ala.,4893186,10.83,8/25/2022,8:37 PM,16923,0,2022/8/25,22.16666667,13.95588889,23.89166667,27.95833333,21.63425926,2.44,6.324074074
Alabama,53,1,Ala.,4893186,10.83,8/26/2022,8:23 PM,17429,0,2022/8/26,22.52849003,7.723481481,25.19166667,30.99074074,22.08055556,1.882,8.910185185
Alabama,53,1,Ala.,4893186,10.83,8/27/2022,8:22 PM,17429,0,2022/8/27,22.30409357,1.524,25.53483992,32.34745763,21.11958569,1.651020408,11.22787194
Alabama,53,1,Ala.,4893186,10.83,8/28/2022,8:31 PM,17429,0,2022/8/28,22.19444444,2.375122807,26.08851224,32.49811676,21.16478343,2.675510204,11.33333333
Alabama,59,1,Ala.,4893186,12.06,8/29/2022,8:38 PM,18098,6,2022/8/29,22.34757835,0.288440678,26.97222222,33.1962963,21.93888889,2.608,11.25740741
Alabama,60,1,Ala.,4893186,12.26,8/30/2022,8:51 PM,18414,1,2022/8/30,22.6951567,1.095686275,26.07407407,32.68888889,22.01789077,1.962,10.67099812
Alabama,69,1,Ala.,4893186,14.1,8/31/2022,8:28 PM,18986,9,2022/8/31,20.88176638,2.119745455,25.89351852,32.55092593,21.13240741,3.142,11.41851852
Alabama,69,1,Ala.,4893186,14.1,9/1/2022,8:33 PM,19462,0,2022/9/1,19.01111111,2.19559322,25.16848816,32.69945355,18.49362477,2.201960784,14.20582878
Alabama,78,1,Ala.,4893186,15.94,9/2/2022,8:24 PM,19959,9,2022/9/2,21.34330484,0.628315789,25.28703704,32.06944444,20.22407407,3.15,11.84537037
Alabama,78,1,Ala.,4893186,15.94,9/3/2022,8:30 PM,19959,0,2022/9/3,22.77065527,2.413,25.74259259,31.0037037,22.26111111,3.246,8.742592593
Alabama,78,1,Ala.,4893186,15.94,9/4/2022,8:35 PM,19959,0,2022/9/4,22.78947368,3.805019608,24.75235405,29.42843691,22.32485876,2.618367347,7.103578154
Alabama,78,1,Ala.,4893186,15.94,9/5/2022,8:41 PM,19959,0,2022/9/5,22.43421053,14.08981132,24.59887006,29.48870056,21.91431262,2.714285714,7.574387947
Alabama,78,1,Ala.,4893186,15.94,9/6/2022,8:40 PM,20730,0,2022/9/6,22.14672365,3.354716981,24.98981481,30.60277778,21.23981481,1.766,9.362962963
Alabama,82,1,Ala.,4893186,16.76,9/7/2022,8:32 PM,21271,4,2022/9/7,21.42307692,2.647461538,24.70833333,30.10925926,21.24722222,2.742,8.862037037
Alabama,82,1,Ala.,4893186,16.76,9/8/2022,8:28 PM,21501,0,2022/9/8,19.91310541,0.935789474,23.85740741,30.1287037,19.03425926,3.564,11.09444444
Alabama,82,1,Ala.,4893186,16.76,9/9/2022,8:32 PM,21891,0,2022/9/9,20.96011396,1.636888889,23.37962963,28.15648148,20.55461394,4.384,7.601867546
Alabama,82,1,Ala.,4893186,16.76,9/10/2022,8:29 PM,21891,0,2022/9/10,21.17438272,3.710392157,23.28544061,27.8908046,20.94827586,4.32244898,6.942528736
Alabama,82,1,Ala.,4893186,16.76,9/11/2022,8:46 PM,21891,0,2022/9/11,22.08708709,2.664509804,24.4032567,29.68007663,21.49616858,3.369387755,8.183908046
Alabama,90,1,Ala.,4893186,18.39,9/12/2022,8:40 PM,21982,8,2022/9/12,19.74074074,4.839607143,23.60185185,28.03055556,20.06759259,3.42,7.962962963
Alabama,90,1,Ala.,4893186,18.39,9/13/2022,8:35 PM,22627,0,2022/9/13,14.41880342,1.118491228,20.57592593,28.0212963,13.85277778,3.002,14.16851852
Alabama,90,1,Ala.,4893186,18.39,9/14/2022,8:42 PM,22771,0,2022/9/14,14.85470085,0,20.61018519,28.98425926,13.39907407,2.496,15.58518519
Alabama,90,1,Ala.,4893186,18.39,9/15/2022,6:41 AM,22771,0,2022/9/15,16.49145299,0,22.05185185,29.80462963,15.16296296,2.806,14.64166667
Alabama,90,1,Ala.,4893186,18.39,9/16/2022,8:22 PM,23496,0,2022/9/16,16.81481481,0,22.51666667,29.43425926,16.36018519,2.918,13.07407407
Alabama,90,1,Ala.,4893186,18.39,9/17/2022,8:43 PM,23496,0,2022/9/17,17.8377193,0,22.91431262,30.08757062,17.16007533,3.034693878,12.92749529
Alabama,90,1,Ala.,4893186,18.39,9/18/2022,8:45 PM,23496,0,2022/9/18,18.5,0.013854545,23.59698682,30.68832392,18.07815443,2.446938776,12.61016949
Alabama,90,1,Ala.,4893186,18.39,9/19/2022,8:34 PM,23890,0,2022/9/19,18.01139601,0.316385965,23.52314815,31.38888889,17,2.254,14.38888889
Alabama,105,1,Ala.,4893186,21.46,9/20/2022,8:45 PM,24200,15,2022/9/20,19.34045584,0.188310345,24.8,33.61759259,17.91296296,2.138,15.70462963
Alabama,105,1,Ala.,4893186,21.46,9/21/2022,8:31 PM,24361,0,2022/9/21,20.74501425,0.353785714,26.49537037,34.22314815,19.97685185,2.01,14.2462963
Alabama,112,1,Ala.,4893186,22.89,9/22/2022,8:39 PM,24569,7,2022/9/22,20.18803419,0.218965517,25.93518519,34.40925926,19.27777778,2.75,15.13148148
Alabama,112,1,Ala.,4893186,22.89,9/23/2022,8:37 PM,24843,0,2022/9/23,14.0982906,0.4572,22.84907407,29.48333333,16.34166667,4.95,13.14166667
Alabama,112,1,Ala.,4893186,22.89,9/24/2022,8:33 PM,24843,0,2022/9/24,13.93859649,0,21.15442561,30.10169492,13.83145009,2.516326531,16.27024482
Alabama,112,1,Ala.,4893186,22.89,9/25/2022,8:46 PM,24843,0,2022/9/25,17.61988304,1.143,22.52542373,29.67890772,16.99152542,2.518367347,12.6873823
Alabama,115,1,Ala.,4893186,23.5,9/26/2022,8:27 PM,25159,3,2022/9/26,15.8019943,1.8415,22.65462963,29.37037037,16.03796296,3.168,13.33240741
Alabama,115,1,Ala.,4893186,23.5,9/27/2022,8:34 PM,25338,0,2022/9/27,7.501424501,0,18.52222222,26.41759259,10.3787037,5.116,16.03888889
Alabama,115,1,Ala.,4893186,23.5,9/28/2022,8:37 PM,25506,0,2022/9/28,4.488603989,0,17.00462963,24.67314815,9.696296296,6.78,14.97685185
Alabama,115,1,Ala.,4893186,23.5,9/29/2022,8:51 PM,25610,0,2022/9/29,5.564102564,0,16.74259259,24.23981481,9.840740741,8.018,14.39907407
Alabama,115,1,Ala.,4893186,23.5,9/30/2022,8:46 PM,25848,0,2022/9/30,8.961538462,0,17.81111111,26.29351852,10.45833333,5.214,15.83518519
Alabama,115,1,Ala.,4893186,23.5,10/1/2022,8:39 PM,25848,0,2022/10/1,8.184210526,0,17.63559322,27.15160075,8.581920904,4.210204082,18.56967985
Alabama,115,1,Ala.,4893186,23.5,10/2/2022,7:57 PM,25848,0,2022/10/2,9.00877193,0,17.58286252,27.35216573,9.644067797,4.297959184,17.70809793
,,,,,,,,,,,,,,,,,
