location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Alaska,1,2,Alaska,736990,1.36,2022/8/4,2:24 PM,7507,0,2022-08-04,9.639713971,0.437563025,14.17283951,19.72707231,8.583333333,6.666666667,11.14373898
Alaska,2,2,Alaska,736990,2.71,2022/8/5,7:51 PM,7507,1,2022-08-05,9.447744774,2.187097345,12.05291005,17.04982363,8.834656085,7.922522523,8.215167548
Alaska,2,2,Alaska,736990,2.71,2022/8/6,7:58 PM,7507,0,2022-08-06,7.134593356,5.484090909,10.03897849,14.06854839,7.358422939,9.50733945,6.710125448
Alaska,2,2,Alaska,736990,2.71,8/7/2022,8:02 PM,7507,0,2022-08-07,6.517182131,2.35236036,9.5031362,13.17517921,6.134408602,8.240366972,7.040770609
Alaska,2,2,Alaska,736990,2.71,8/8/2022,8:09 PM,8931,0,2022-08-08,6.731762065,5.817053571,9.478666667,12.53155556,6.427555556,10.20727273,6.104
Alaska,2,2,Alaska,736990,2.71,8/9/2022,7:37 PM,9489,0,2022-08-09,5.218128655,5.153890909,8.19651056,12.10927456,5.602387511,7.876190476,6.506887053
Alaska,2,2,Alaska,736990,2.71,8/10/2022,7:52 PM,9489,0,2022-08-10,5.798129813,1.900694915,9.515748032,14.9111986,4.885389326,6.892792793,10.02580927
Alaska,2,2,Alaska,736990,2.71,8/11/2022,7:59 PM,10389,0,2022-08-11,7.863586359,0.479777778,12.05335097,16.78791887,6.413580247,6.340909091,10.37433862
Alaska,2,2,Alaska,736990,2.71,2022/8/12,7:51 PM,10389,0,2022-08-12,9.66553288,1.499274336,13.18622222,17.46266667,8.524,6.698165138,8.938666667
Alaska,2,2,Alaska,736990,2.71,2022/8/13,8:05 PM,10389,0,2022-08-13,9.435185185,1.961444444,12.0734767,16.41935484,8.675179211,5.522222222,7.744175627
Alaska,2,2,Alaska,736990,2.71,2022/8/14,8:17 PM,10389,0,2022-08-14,8.242424243,3.567651376,10.48577778,13.99733333,8.131555555,7.211009174,5.865777778
Alaska,2,2,Alaska,736990,2.71,2022/8/15,8:12 PM,10389,0,2022-08-15,6.817059484,3.712817391,9.481333333,13.19733333,6.536,6.177981651,6.661333333
Alaska,2,2,Alaska,736990,2.71,2022/8/16,8:22 PM,10389,0,2022-08-16,6.466666667,1.688756757,9.175415573,12.76027996,5.985126859,6.062162162,6.775153106
Alaska,2,2,Alaska,736990,2.71,2022/8/17,8:24 PM,13514,0,2022-08-17,7.282222222,3.955773913,9.982939633,13.27952756,6.636045494,8.084545455,6.643482065
Alaska,2,2,Alaska,736990,2.71,2022/8/18,8:13 PM,14112,0,2022-08-18,6.656666667,5.150303571,9.681216931,13.41578483,6.55643739,7.237272727,6.859347443
Alaska,2,2,Alaska,736990,2.71,2022/8/19,8:04 PM,14112,0,2022-08-19,6.915824916,3.212991453,9.504888889,13.26444444,5.948888889,5.58440367,7.315555556
Alaska,2,2,Alaska,736990,2.71,2022/8/20,8:09 PM,14112,0,2022-08-20,8.02637486,2.91557265,11.03483245,14.87830688,7.01984127,7.16,7.858465609
Alaska,2,2,Alaska,736990,2.71,2022/8/21,8:18 PM,14112,0,2022-08-21,8.621993127,0.995769912,11.60483871,15.49148746,8.215501792,7.527777778,7.275985663
Alaska,3,2,Alaska,736990,4.07,2022/8/22,8:33 PM,15430,1,2022-08-22,9.076318743,1.285327586,11.73644444,15.51244444,8.471111111,7.332110092,7.041333334
Alaska,3,2,Alaska,736990,4.07,2022/8/23,8:30 PM,15906,0,2022-08-23,9.509637188,2.356068966,11.928,15.81688889,8.845333333,6.006422018,6.971555556
Alaska,3,2,Alaska,736990,4.07,2022/8/24,8:29 PM,16600,0,2022-08-24,9.033446712,2.441097345,11.80839895,16.4256343,8.061242344,5.1,8.364391952
Alaska,3,2,Alaska,736990,4.07,2022/8/25,8:37 PM,16923,0,2022-08-25,9.359708193,1.644196429,11.82852144,16.13167104,8.235345582,7.695454545,7.896325459
Alaska,3,2,Alaska,736990,4.07,2022/8/26,8:23 PM,17429,0,2022-08-26,9.47675737,4.16739823,11.3359375,14.26771654,9.106736658,8.074774775,5.160979878
Alaska,3,2,Alaska,736990,4.07,2022/8/27,8:22 PM,17429,0,2022-08-27,9.000566894,3.906654867,10.55686789,13.9015748,8.447506562,5.15,5.454068242
Alaska,3,2,Alaska,736990,4.07,2022/8/28,8:31 PM,17429,0,2022-08-28,8.370737074,1.530512821,10.31998277,14.54005168,7.229112834,5.521428571,7.310938846
Alaska,3,2,Alaska,736990,4.07,2022/8/29,8:38 PM,18098,0,2022-08-29,6.561056106,0.932033058,9.38630491,14.26873385,5.602067183,6.040178571,8.666666667
Alaska,3,2,Alaska,736990,4.07,2022/8/30,8:51 PM,18414,0,2022-08-30,6.770077008,1.099206897,9.544444445,13.67991453,5.558547009,5.709734513,8.121367521
Alaska,3,2,Alaska,736990,4.07,2022/8/31,8:28 PM,18986,0,2022-08-31,8.301346801,2.724929825,10.56640625,13.56814236,7.107204861,8.677477477,6.4609375
Alaska,3,2,Alaska,736990,4.07,2022/9/1,8:33 PM,19462,0,2022-09-01,8.425925926,6.59500885,10.09667542,12.93088364,7.993875766,6.965454545,4.937007874
Alaska,3,2,Alaska,736990,4.07,2022/9/2,8:24 PM,19959,0,2022-09-02,7.561728395,3.330713043,9.427083334,13.59939236,6.425347222,5.024324324,7.174045139
Alaska,3,2,Alaska,736990,4.07,2022/9/3,8:30 PM,19959,0,2022-09-03,7.303667745,1.581630252,9.645133506,14.04134367,5.897502153,5.769642857,8.143841516
Alaska,3,2,Alaska,736990,4.07,2022/9/4,8:35 PM,19959,0,2022-09-04,6.806930693,1.237711864,9.286089239,13.46762905,5.770778653,5.676363636,7.696850394
Alaska,3,2,Alaska,736990,4.07,2022/9/5,8:41 PM,19959,0,2022-09-05,6.066993464,0.618066667,8.55078125,13.09765625,4.427951389,4.982882883,8.669704861
Alaska,3,2,Alaska,736990,4.07,2022/9/6,8:40 PM,20730,0,2022-09-06,7.054444444,0.735724138,9.284339458,12.8783902,5.545494313,5.471818182,7.332895888
Alaska,3,2,Alaska,736990,4.07,2022/9/7,8:32 PM,21271,0,2022-09-07,6.667211329,2.166598291,8.607264957,12.5542735,5.614957265,4.823893805,6.939316239
Alaska,3,2,Alaska,736990,4.07,2022/9/8,8:28 PM,21501,0,2022-09-08,6.900440044,2.765534483,9.355205599,12.91032371,5.915573053,7.926363636,6.994750656
Alaska,3,2,Alaska,736990,4.07,2022/9/9,8:32 PM,21891,0,2022-09-09,6.481121899,5.797044248,8.996554694,12.36434109,5.955641688,9.769642857,6.408699397
Alaska,3,2,Alaska,736990,4.07,2022/9/10,8:29 PM,21891,0,2022-09-10,5.298474946,3.214336283,7.875538329,11.44444444,4.944875108,7.735714286,6.499569337
Alaska,3,2,Alaska,736990,4.07,2022/9/11,8:46 PM,21891,0,2022-09-11,6.351132686,2.447234783,8.643410853,12.01679587,5.216192937,8.021428571,6.800602928
Alaska,3,2,Alaska,736990,4.07,2022/9/12,8:40 PM,21982,0,2022-09-12,7.491452991,3.807732143,9.397794741,12.15521628,6.698897371,8.361403509,5.456318914
Alaska,3,2,Alaska,736990,4.07,2022/9/13,8:35 PM,22627,0,2022-09-13,7.267326733,3.651807018,9.101010101,12.27314815,6.685185185,6.803478261,5.587962963
Alaska,3,2,Alaska,736990,4.07,2022/9/14,8:42 PM,22771,0,2022-09-14,6.803921569,3.001433333,8.615288221,12.49916458,5.644110276,5.668103448,6.855054303
Alaska,3,2,Alaska,736990,4.07,2022/9/15,6:41 AM,22771,0,2022-09-15,6.425192519,2.347843478,8.506890611,12.16063738,5.721791559,8.385714286,6.438845823
Alaska,3,2,Alaska,736990,4.07,2022/9/16,8:22 PM,23496,0,2022-09-16,6.220043573,2.699026087,8.046649703,11.58948261,4.93129771,8.883333333,6.658184902
Alaska,3,2,Alaska,736990,4.07,2022/9/17,8:43 PM,23496,0,2022-09-17,6.091859186,3.1369,9.355727821,12.76141258,5.88501292,15.00714286,6.876399655
Alaska,3,2,Alaska,736990,4.07,2022/9/18,8:45 PM,23496,0,2022-09-18,4.791371158,2.330955752,8.303734062,11.97176685,5.04143898,10.09714286,6.930327869
Alaska,5,2,Alaska,736990,6.78,2022/9/19,8:34 PM,23890,2,2022-09-19,5.222813239,2.398126126,7.875338754,11.24932249,4.581752484,6.190566038,6.667570009
Alaska,5,2,Alaska,736990,6.78,2022/9/20,8:45 PM,24200,0,2022-09-20,4.704093567,5.149681416,6.745967742,10.58602151,3.823028674,5.939252336,6.762992831
Alaska,5,2,Alaska,736990,6.78,2022/9/21,8:31 PM,24361,0,2022-09-21,3.416666667,2.891692308,5.802222222,9.295111111,2.753777778,6.146788991,6.541333333
Alaska,5,2,Alaska,736990,6.78,2022/9/22,8:39 PM,24569,0,2022-09-22,3.17650463,3.094566667,5.651111111,8.588,2.656,7.555963303,5.932
Alaska,5,2,Alaska,736990,6.78,2022/9/23,8:37 PM,24843,0,2022-09-23,3.220521542,1.778,5.555555556,8.593474427,2.917548501,6.233944954,5.675925926
Alaska,5,2,Alaska,736990,6.78,2022/9/24,8:33 PM,24843,0,2022-09-24,2.532312925,1.896087719,5.10670194,9.008818342,2.002645503,6.074311927,7.006172839
Alaska,5,2,Alaska,736990,6.78,2022/9/25,8:46 PM,24843,0,2022-09-25,2.51627385,1.705741379,5.214785652,9.403324584,1.524059493,6.143636364,7.879265092
