location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Arizona,85,4,Ariz.,7174064,11.85,2022/8/4,2:24 PM,7507,0,2022/8/4,16.77104377,2.567214286,27.45945946,34.67417417,21.02552553,6.190909091,13.64864865
Arizona,102,4,Ariz.,7174064,14.22,2022/8/5,7:51 PM,7507,17,2022/8/5,16.97474748,1.242540541,27.11561562,34.68468468,20.82282282,4.366666667,13.86186186
Arizona,102,4,Ariz.,7174064,14.22,2022/8/6,7:58 PM,7507,0,2022/8/6,14.76262626,0.034324324,29.71021021,36.93993994,22.0990991,4.245454545,14.84084084
Arizona,102,4,Ariz.,7174064,14.22,2022/8/7,8:02 PM,7507,0,2022/8/7,14.43434343,1.947333333,29.27027027,36.83633634,22.45495496,6.033333333,14.38138138
Arizona,131,4,Ariz.,7174064,18.26,2022/8/8,8:09 PM,8931,29,2022/8/8,15.62962963,2.1986875,28.01501502,35.0015015,22.47147147,6.027272727,12.53003003
Arizona,143,4,Ariz.,7174064,19.93,2022/8/9,7:37 PM,9489,12,2022/8/9,16.86928105,2.023241379,27.16666667,34.52339181,20.78070175,5.597058824,13.74269006
Arizona,143,4,Ariz.,7174064,19.93,2022/8/10,7:52 PM,9489,0,2022/8/10,16.81481482,1.608666667,27.55255255,34.53603604,21.28978979,5.33030303,13.24624625
Arizona,149,4,Ariz.,7174064,20.77,2022/8/11,7:59 PM,10389,6,2022/8/11,16.48316498,2.572774194,27.1051051,34.66366366,21.75825826,5.575757576,12.9054054
Arizona,149,4,Ariz.,7174064,20.77,2022/8/12,7:51 PM,10389,0,2022/8/12,16.41993464,0.213032258,28.09356725,34.50584795,21.92982456,5.358823529,12.57602339
Arizona,149,4,Ariz.,7174064,20.77,2022/8/13,8:05 PM,10389,0,2022/8/13,17.15686274,3.229428571,26.57894737,34.5628655,21.1754386,4.585294118,13.3874269
Arizona,149,4,Ariz.,7174064,20.77,2022/8/14,8:17 PM,10389,0,2022/8/14,16.82291667,2.728451613,26.99382716,34.28703704,21.50308642,5.334375,12.78395062
Arizona,149,4,Ariz.,7174064,20.77,2022/8/15,8:12 PM,10389,0,2022/8/15,17.38562092,3.547533333,26.1754386,33.73391813,21.14181287,4.444117647,12.59210526
Arizona,149,4,Ariz.,7174064,20.77,2022/8/16,8:22 PM,10389,0,2022/8/16,16.40909091,0.600363636,27.98348348,35.08708709,21.47147147,4.666666667,13.61561562
Arizona,213,4,Ariz.,7174064,29.69,2022/8/17,8:24 PM,13514,64,2022/8/17,16.36764706,3.092823529,28.61549708,35.33187135,22.44736842,5.45,12.88450292
Arizona,220,4,Ariz.,7174064,30.67,2022/8/18,8:13 PM,14112,7,2022/8/18,17.57843137,1.68275,27.14327485,34.80701754,21.64473684,5.267647059,13.1622807
Arizona,220,4,Ariz.,7174064,30.67,2022/8/19,8:04 PM,14112,0,2022/8/19,18.35947712,7.665357143,25.30555556,32.7748538,20.95906433,5.085294118,11.81578947
Arizona,220,4,Ariz.,7174064,30.67,2022/8/20,8:09 PM,14112,0,2022/8/20,18.48039216,7.558424242,24.48391813,30.54532164,20.67397661,4.729411765,9.871345029
Arizona,220,4,Ariz.,7174064,30.67,2022/8/21,8:18 PM,14112,0,2022/8/21,17.87254902,4.094787879,25.17397661,31.36111111,20.26754386,5.241176471,11.09356725
Arizona,258,4,Ariz.,7174064,35.96,2022/8/22,8:33 PM,15430,38,2022/8/22,17.00816993,2.315882353,25.74853801,33.10233918,19.62426901,4.661764706,13.47807018
Arizona,270,4,Ariz.,7174064,37.64,2022/8/23,8:30 PM,15906,12,2022/8/23,16.15824916,0.674914286,27.85285285,34.83183183,21.02402402,4.684848485,13.80780781
Arizona,269,4,Ariz.,7174064,37.5,2022/8/24,8:29 PM,16600,0,2022/8/24,15.70875421,2.808941176,26.86186186,34.27927928,21.18768769,5.760606061,13.09159159
Arizona,271,4,Ariz.,7174064,37.77,2022/8/25,8:37 PM,16923,2,2022/8/25,16.71078431,1.239212121,27.0877193,33.64912281,21.70906433,4.973529412,11.94005848
Arizona,281,4,Ariz.,7174064,39.17,2022/8/26,8:23 PM,17429,10,2022/8/26,17.02777778,2.111828571,27.89473684,34.42690058,22.26169591,4.185294118,12.16520468
Arizona,281,4,Ariz.,7174064,39.17,2022/8/27,8:22 PM,17429,0,2022/8/27,15.86601307,1.127125,28.05116959,34.54824561,22.07309942,5.394117647,12.4751462
