location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Arkansas,5,5,Ark.,3011873,1.66,2022/8/4,2:24 PM,7507,0,2022/8/4,22.63518518,2.557517241,27.1344086,32.84229391,22.79928315,4.996666667,10.04301075
Arkansas,9,5,Ark.,3011873,2.99,2022/8/5,7:51 PM,7507,4,2022/8/5,23.04444444,10.67646667,28.00896057,34.42831541,23.25268817,3.886666667,11.17562724
Arkansas,9,5,Ark.,3011873,2.99,2022/8/6,7:58 PM,7507,0,2022/8/6,22.53333333,1.98283871,28.68817204,34.11111111,23.77060932,5.633333333,10.34050179
Arkansas,9,5,Ark.,3011873,2.99,2022/8/7,8:02 PM,7507,0,2022/8/7,22.42222222,0,28.75448029,34.2921147,23.46057348,5.143333333,10.83154122
Arkansas,9,5,Ark.,3011873,2.99,2022/8/8,8:09 PM,8931,0,2022/8/8,22.39074074,0,28.62007168,35.06630824,23.8655914,4.89,11.20071685
Arkansas,12,5,Ark.,3011873,3.98,2022/8/9,7:37 PM,9489,3,2022/8/9,21.90185185,8.049172414,25.41935484,31.67741935,22,3.496666667,9.677419355
Arkansas,12,5,Ark.,3011873,3.98,2022/8/10,7:52 PM,9489,0,2022/8/10,22.07592593,6.814206897,26.19892473,32.29032258,22.20250896,2.926666667,10.08781362
Arkansas,12,5,Ark.,3011873,3.98,2022/8/11,7:59 PM,10389,0,2022/8/11,20.76481482,2.662903226,26.03225806,31.41397849,21.51433692,4.313333333,9.899641576
Arkansas,12,5,Ark.,3011873,3.98,2022/8/12,7:51 PM,10389,0,2022/8/12,19.95740741,0.565354839,26.14157706,32.46415771,20.16487455,4.523333333,12.29928315
Arkansas,12,5,Ark.,3011873,3.98,2022/8/13,8:05 PM,10389,0,2022/8/13,18.51666667,0,25.83691756,32.39964158,19.1702509,3.72,13.22939068
Arkansas,12,5,Ark.,3011873,3.98,8/14/2022,8:17 PM,10389,0,2022/8/14,18.59444444,0,26.17383513,34.84408602,18.51971326,2.91,16.32437276
Arkansas,12,5,Ark.,3011873,3.98,2022/8/15,8:12 PM,10389,0,2022/8/15,21.42777778,0,28.25985663,35.71146953,21.64336918,3.136666667,14.06810036
Arkansas,12,5,Ark.,3011873,3.98,2022/8/16,8:22 PM,10389,0,2022/8/16,21.50555556,0,26.98924731,33.24193548,22.16308244,5.206666667,11.07885305
Arkansas,21,5,Ark.,3011873,6.97,2022/8/17,8:24 PM,13514,9,2022/8/17,20.52037037,13.5636,22.85304659,28.51075269,20.59139785,5.396666667,7.919354838
Arkansas,21,5,Ark.,3011873,6.97,2022/8/18,8:13 PM,14112,0,2022/8/18,18.77222222,9.592733333,23.19713262,29.2921147,18.82616487,3.59,10.46594982
Arkansas,21,5,Ark.,3011873,6.97,2022/8/19,8:04 PM,14112,0,2022/8/19,18.25,0.802967742,24.12903226,31.17921147,17.99641577,2.226666667,13.1827957
Arkansas,21,5,Ark.,3011873,6.97,2022/8/20,8:09 PM,14112,0,2022/8/20,20,0.065548387,25.51971326,32.80824373,19.55197133,3.11,13.2562724
Arkansas,21,5,Ark.,3011873,6.97,2022/8/21,8:18 PM,14112,0,2022/8/21,21.66481481,5.452533333,25.10752688,30.1218638,21.6953405,4.403333333,8.426523298
Arkansas,21,5,Ark.,3011873,6.97,2022/8/22,8:33 PM,15430,0,2022/8/22,21.3462963,5.563419355,24.10573477,27.87634409,21.22401434,3.503333333,6.652329749
Arkansas,23,5,Ark.,3011873,7.64,2022/8/23,8:30 PM,15906,2,2022/8/23,20.92962963,10.16819355,24.16666667,29.16487455,20.64157706,4.426666667,8.523297491
Arkansas,24,5,Ark.,3011873,7.97,2022/8/24,8:29 PM,16600,1,2022/8/24,20.16296296,2.679290323,24.48924731,30.08602151,20.08422939,4.693333333,10.00179211
Arkansas,24,5,Ark.,3011873,7.97,2022/8/25,8:37 PM,16923,0,2022/8/25,19.95519713,0.5000625,25.26041667,31.68055556,19.98784722,3.103225806,11.69270833
Arkansas,28,5,Ark.,3011873,9.3,2022/8/26,8:23 PM,17429,4,2022/8/26,20.66845878,0.0079375,26.08159722,32.859375,19.97222222,2.025806452,12.88715278
Arkansas,28,5,Ark.,3011873,9.3,2022/8/27,8:22 PM,17429,0,2022/8/27,21.40681004,0,26.5625,33.00173611,20.58506944,2.748387097,12.41666667
Arkansas,28,5,Ark.,3011873,9.3,2022/8/28,8:31 PM,17429,0,2022/8/28,22.68817204,0.0396875,27.40277778,33.0625,22.8125,5.183870968,10.25
Arkansas,32,5,Ark.,3011873,10.62,2022/8/29,8:38 PM,18098,4,2022/8/29,22.92114695,0.677333333,27.87326389,33.70659722,23.05555556,5.203225806,10.65104167
