location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
California,826,6,Calif.,39346023,20.99,2022/8/4,2:24 PM,7507,0,2022/8/4,13.99569337,0.11454902,24.1453824,31.24747475,18.50721501,6.298639456,12.74025974
California,826,6,Calif.,39346023,20.99,2022/8/5,7:51 PM,7507,0,2022/8/5,14.22997416,0.578843537,23.01262626,30.37518038,18.2027417,6.502040816,12.17243867
California,826,6,Calif.,39346023,20.99,2022/8/6,7:58 PM,7507,0,2022/8/6,14.07062877,0.360947368,22.80555556,29.49062049,17.35858586,6.825170068,12.13203463
California,826,6,Calif.,39346023,20.99,2022/8/7,8:02 PM,7507,0,2022/8/7,12.125,0.001660131,23.33260712,30.49346405,16.91539579,6.380821918,13.57806826
California,1310,6,Calif.,39346023,33.29,2022/8/8,8:09 PM,8931,484,2022/8/8,12.68087855,0.001671053,23.59163059,30.6525974,17.05844156,6.449659864,13.59415584
California,1310,6,Calif.,39346023,33.29,2022/8/9,7:37 PM,9489,0,2022/8/9,12.68098958,0.166529801,23.75308642,30.47712418,17.91793755,6.557534247,12.55918664
California,1310,6,Calif.,39346023,33.29,2022/8/10,7:52 PM,9489,0,2022/8/10,12.27604167,0.004980392,23.64379085,30.55010893,17.5486565,6.391780822,13.00145243
California,1892,6,Calif.,39346023,48.09,2022/8/11,7:59 PM,10389,582,2022/8/11,11.61538462,0,23.69283154,30.93333333,17.13548387,6.093243243,13.79784946
California,1892,6,Calif.,39346023,48.09,2022/8/12,7:51 PM,10389,0,2022/8/12,10.42008547,0.001660131,23.4046595,30.83476702,16.55304659,6.364189189,14.28172043
California,1892,6,Calif.,39346023,48.09,2022/8/13,8:05 PM,10389,0,2022/8/13,10.82094017,0.044532468,23.50896057,31.409319,16.25949821,5.908108108,15.14982079
California,1892,6,Calif.,39346023,48.09,2022/8/14,8:17 PM,10389,0,2022/8/14,10.24444444,0.04916129,23.64336918,31.72688172,16.42329749,5.648648649,15.30358423
California,1892,6,Calif.,39346023,48.09,2022/8/15,8:12 PM,10389,0,2022/8/15,10.36623932,0.118753247,23.75555556,31.77168459,16.47168459,5.285810811,15.3
California,1892,6,Calif.,39346023,48.09,2022/8/16,8:22 PM,10389,0,2022/8/16,10.68914334,0,24.36823362,32.69373219,16.75462963,4.783892617,15.93910256
California,2356,6,Calif.,39346023,59.88,2022/8/17,8:24 PM,13514,464,2022/8/17,11.21360896,0,24.78499278,32.55916306,17.63564214,5.20952381,14.92352092
California,2663,6,Calif.,39346023,67.68,2022/8/18,8:13 PM,14112,307,2022/8/18,12.38210348,0.052145695,23.76780627,31.37820513,17.58547009,5.819463087,13.79273504
California,2663,6,Calif.,39346023,67.68,2022/8/19,8:04 PM,14112,0,2022/8/19,12.1692112,0.021303226,23.19444444,30.90740741,17.07086895,6.044966443,13.83653846
California,2663,6,Calif.,39346023,67.68,2022/8/20,8:09 PM,14112,0,2022/8/20,12.39100933,0,23.43945869,31.16310541,16.86716524,5.882550336,14.29594017
California,2663,6,Calif.,39346023,67.68,2022/8/21,8:18 PM,14112,0,2022/8/21,12.67514843,0,23.19871795,30.64850427,17.127849,6.37852349,13.52065527
California,2663,6,Calif.,39346023,67.68,2022/8/22,8:33 PM,15430,0,2022/8/22,12.61832061,0.058615385,22.66737892,30.86774194,16.60648148,6.283892617,14.26126045
California,2663,6,Calif.,39346023,67.68,2022/8/23,8:30 PM,15906,0,2022/8/23,13.10128205,0.001649351,23.48494624,31.3734767,16.78781362,5.615540541,14.58566308
California,3068,6,Calif.,39346023,77.97,2022/8/24,8:29 PM,16600,405,2022/8/24,13.03205128,0.065602649,23.43261649,31.02688172,16.99569892,5.920945946,14.0311828
California,3068,6,Calif.,39346023,77.97,2022/8/25,8:37 PM,16923,0,2022/8/25,13.2034188,0.285337662,23.06659544,30.36574074,17.0954416,5.918120805,13.27029915
California,3291,6,Calif.,39346023,83.64,2022/8/26,8:23 PM,17429,223,2022/8/26,12.6008547,0.003298701,22.84472934,30.09009972,16.80519943,5.628187919,13.28490028
California,3291,6,Calif.,39346023,83.64,2022/8/27,8:22 PM,17429,0,2022/8/27,11.8664944,0.004948052,22.54623656,29.88602151,16.61541219,6.239864865,13.27060932
California,3291,6,Calif.,39346023,83.64,2022/8/28,8:31 PM,17429,0,2022/8/28,12.06459948,0.008193548,21.76415771,28.8,16.24121864,6.175,12.55878136
