location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Colorado,53,8,Colo.,5684926,9.32,2022/8/4,2:24 PM,7507,0,2022/8/4,10.25957854,0.005183673,22.11111111,31.08072917,14.03472222,5.710526316,17.04600694
Colorado,78,8,Colo.,5684926,13.72,2022/8/5,7:51 PM,7507,25,2022/8/5,10.73781676,0.629708333,22.87742504,31.82892416,14.5952381,6.605357143,17.23368607
Colorado,78,8,Colo.,5684926,13.72,2022/8/6,7:58 PM,7507,0,2022/8/6,10.77192982,0.947208333,22.38624339,31.23809524,14.78835979,7.321428571,16.44973545
Colorado,78,8,Colo.,5684926,13.72,2022/8/7,8:02 PM,7507,0,2022/8/7,11.20785441,1.075764706,21.05642361,29.30121528,14.55989583,7.073684211,14.74131944
Colorado,78,8,Colo.,5684926,13.72,2022/8/8,8:09 PM,8931,0,2022/8/8,10.78849902,1.995714286,19.82363316,28.92151675,12.97619048,5.61754386,15.94532628
Colorado,78,8,Colo.,5684926,13.72,2022/8/9,7:37 PM,9489,0,2022/8/9,9.157088122,0.254,21.50434028,30.66579861,13.08854167,5.289473684,17.57725694
Colorado,78,8,Colo.,5684926,13.72,2022/8/10,7:52 PM,9489,0,2022/8/10,8.430076628,0.127,22.79427083,30.84375,13.61805556,5.984210526,17.22569444
Colorado,111,8,Colo.,5684926,19.53,2022/8/11,7:59 PM,10389,33,2022/8/11,8.442528735,0.068881356,22.73611111,31.59548611,13.80295139,6.861403509,17.79253472
Colorado,111,8,Colo.,5684926,19.53,2022/8/12,7:51 PM,10389,0,2022/8/12,7.632553607,0.267137931,22.23985891,31.25308642,13.35890653,6.582142857,17.89417989
Colorado,111,8,Colo.,5684926,19.53,2022/8/13,8:05 PM,10389,0,2022/8/13,8.228070175,0.083127273,22.24074074,30.87037037,13.63227513,6.439285714,17.23809524
Colorado,111,8,Colo.,5684926,19.53,2022/8/14,8:17 PM,10389,0,2022/8/14,9.135477583,0.338666667,21.92416226,30.77160494,13.9973545,5.9875,16.77425044
Colorado,111,8,Colo.,5684926,19.53,2022/8/15,8:12 PM,10389,0,2022/8/15,10.9454191,2.518382979,20.27160494,29.35802469,13.79100529,6.353571429,15.5670194
Colorado,111,8,Colo.,5684926,19.53,2022/8/16,8:22 PM,10389,0,2022/8/16,12.77969349,7.718489796,17.59982639,24.47048611,13.57204861,5.628070175,10.8984375
Colorado,155,8,Colo.,5684926,27.27,2022/8/17,8:24 PM,13514,44,2022/8/17,10.85310734,6.453481481,17.38290598,25.21111111,12.22991453,4.662068966,12.98119658
Colorado,155,8,Colo.,5684926,27.27,2022/8/18,8:13 PM,14112,0,2022/8/18,7.8173258,0.909052632,19.14358974,28.17692308,11.15641026,5.217241379,17.02051282
Colorado,155,8,Colo.,5684926,27.27,2022/8/19,8:04 PM,14112,0,2022/8/19,6.808851224,0.579886792,19.22393162,27.83333333,11.48290598,5.8,16.35042735
Colorado,155,8,Colo.,5684926,27.27,2022/8/20,8:09 PM,14112,0,2022/8/20,9.130885123,0.673877551,16.66666667,24.56923077,11.61452991,5.725862069,12.95470085
Colorado,155,8,Colo.,5684926,27.27,2022/8/21,8:18 PM,14112,0,2022/8/21,10.00188324,2.055518519,16.53162393,24.12820513,10.64358974,5.737931034,13.48461538
Colorado,155,8,Colo.,5684926,27.27,2022/8/22,8:33 PM,15430,0,2022/8/22,9.638418079,1.226038462,17.5948718,25.98119658,10.77264957,5.098275862,15.20854701
Colorado,155,8,Colo.,5684926,27.27,2022/8/23,8:30 PM,15906,0,2022/8/23,7.528248588,0.997857143,18.34358974,26.95811966,10.32991453,5.068965517,16.62820513
