location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Connecticut,39,9,Conn.,3570549,10.92,2022/8/4,2:24 PM,7507,0,2022/8/4,20.02469136,0,26.0042735,31.99145299,19.94871795,5.508333333,12.04273504
Connecticut,43,9,Conn.,3570549,12.04,2022/8/5,7:51 PM,7507,4,2022/8/5,20.98148148,0,26.74358974,32.15384615,21.08974359,3.933333333,11.06410256
Connecticut,43,9,Conn.,3570549,12.04,2022/8/6,7:58 PM,7507,0,2022/8/6,21.65432099,0.254,26.91025641,31.61965812,22.90598291,5.475,8.713675215
Connecticut,43,9,Conn.,3570549,12.04,2022/8/7,8:02 PM,7507,0,2022/8/7,22.38271605,0,27.58119658,32.09401709,23.2008547,8.733333333,8.893162393
Connecticut,48,9,Conn.,3570549,13.44,2022/8/8,8:09 PM,8931,5,2022/8/8,22.72839506,5.545666667,27.11111111,32.11111111,24.19230769,7.833333333,7.918803418
Connecticut,49,9,Conn.,3570549,13.72,2022/8/9,7:37 PM,9489,1,2022/8/9,22.86419753,4.318,28.3974359,33.48717949,24.39316239,7.441666667,9.094017094
Connecticut,49,9,Conn.,3570549,13.72,2022/8/10,7:52 PM,9489,0,2022/8/10,17.90740741,0.156307692,25.55982906,32.44444444,22.57264957,5.841666667,9.871794872
Connecticut,54,9,Conn.,3570549,15.12,2022/8/11,7:59 PM,10389,5,2022/8/11,18.38271605,0,24.19230769,28.57692308,21.55555556,3.591666667,7.021367522
Connecticut,54,9,Conn.,3570549,15.12,2022/8/12,7:51 PM,10389,0,2022/8/12,12.97530864,0.889,23.61965812,29.24786325,19.29487179,7.3,9.952991454
Connecticut,54,9,Conn.,3570549,15.12,2022/8/13,8:05 PM,10389,0,2022/8/13,9.641975309,0,20.7991453,27.45726496,14.99145299,6.508333333,12.46581197
Connecticut,54,9,Conn.,3570549,15.12,2022/8/14,8:17 PM,10389,0,2022/8/14,11.49382716,0,20.40598291,26.88888889,13.5042735,4.016666667,13.38461538
Connecticut,54,9,Conn.,3570549,15.12,2022/8/15,8:12 PM,10389,0,2022/8/15,12.91358025,0,21.32051282,27.16239316,14.06837607,4.166666667,13.09401709
Connecticut,54,9,Conn.,3570549,15.12,2022/8/16,8:22 PM,10389,0,2022/8/16,12.53703704,0,21.20940171,28.17094017,14.38888889,5.983333333,13.78205128
Connecticut,71,9,Conn.,3570549,19.88,2022/8/17,8:24 PM,13514,17,2022/8/17,14.32716049,0.635,21.08119658,27.50854701,15.34188034,4.966666667,12.16666667
Connecticut,73,9,Conn.,3570549,20.45,2022/8/18,8:13 PM,14112,2,2022/8/18,14.36419753,1.3335,21.64529914,28.46581197,16.8034188,6.191666667,11.66239316
Connecticut,73,9,Conn.,3570549,20.45,2022/8/19,8:04 PM,14112,0,2022/8/19,14.75308642,0.527538462,23.1025641,30.5042735,16.42735043,4.3,14.07692308
Connecticut,73,9,Conn.,3570549,20.45,2022/8/20,8:09 PM,14112,0,2022/8/20,17.34567901,0,24.75213675,30.7948718,17.30769231,4.25,13.48717949
Connecticut,73,9,Conn.,3570549,20.45,2022/8/21,8:18 PM,14112,0,2022/8/21,18.54938272,0,23.72649573,29.22222222,19.2991453,4.875,9.923076923
Connecticut,82,9,Conn.,3570549,22.97,2022/8/22,8:33 PM,15430,9,2022/8/22,19.9691358,0.021166667,22.37606838,27.04700855,19.75641026,4.083333333,7.290598291
Connecticut,83,9,Conn.,3570549,23.25,2022/8/23,8:30 PM,15906,1,2022/8/23,20.62345679,9.165166667,23.23076923,27.48717949,20.85470085,4.008333333,6.632478634
Connecticut,86,9,Conn.,3570549,24.09,2022/8/24,8:29 PM,16600,3,2022/8/24,18.21604938,4.064,23.6965812,29.66239316,18.71794872,4.391666667,10.94444444
Connecticut,87,9,Conn.,3570549,24.37,2022/8/25,8:37 PM,16923,1,2022/8/25,16.48148148,0,25.29487179,31.21367521,19.31196581,4.141666667,11.9017094
Connecticut,89,9,Conn.,3570549,24.93,2022/8/26,8:23 PM,17429,2,2022/8/26,19.09259259,0,24.52564102,30.45726496,19.62393162,4.875,10.83333333
Connecticut,89,9,Conn.,3570549,24.93,2022/8/27,8:22 PM,17429,0,2022/8/27,19.18518519,3.81,24.5,29.79059829,19.74358974,4.575,10.04700855
Connecticut,89,9,Conn.,3570549,24.93,2022/8/28,8:31 PM,17429,0,2022/8/28,18.17283951,3.184769231,22.80769231,27.80769231,19.88461538,5.641666667,7.923076923
Connecticut,90,9,Conn.,3570549,25.21,2022/8/29,8:38 PM,18098,1,2022/8/29,19.85802469,0,23.74786325,28.90598291,19.86324786,5.258333333,9.042735043
Connecticut,90,9,Conn.,3570549,25.21,2022/8/30,8:51 PM,18414,0,2022/8/30,21.2345679,0,25.17521367,29.37606838,21.21367521,7.466666667,8.162393162
Connecticut,91,9,Conn.,3570549,25.49,2022/8/31,8:28 PM,18986,1,2022/8/31,17.58024691,3.1115,24.36752137,29.85897436,20.13675214,6.683333333,9.722222222
Connecticut,93,9,Conn.,3570549,26.05,2022/9/1,8:33 PM,19462,2,2022/9/10,14.47530864,0,20.71367521,27.91025641,13.76495726,2.85,14.14529915
Connecticut,94,9,Conn.,3570549,26.33,2022/9/2,8:24 PM,19959,1,2022/9/11,16.06172839,0,20.99145299,26.94017094,15.60683761,2.325,11.33333333
Connecticut,94,9,Conn.,3570549,26.33,2022/9/3,8:30 PM,19959,0,2022/9/12,18.2962963,3.153833333,20.70940171,25.79059829,17.47435897,3.475,8.316239315
Connecticut,94,9,Conn.,3570549,26.33,2022/9/4,8:35 PM,19959,0,2022/9/13,20.4691358,5.693833333,22.61538462,26.28632479,19.16666667,4.516666667,7.119658118
Connecticut,94,9,Conn.,3570549,26.33,2022/9/5,8:41 PM,19959,0,2022/9/14,14.20370371,4.747846154,20.77777778,26.24786325,15.01709402,5.883333333,11.23076923
Connecticut,102,9,Conn.,3570549,28.57,2022/9/6,8:40 PM,20730,8,2022/9/15,9.475308642,0,18.61965812,24.88888889,14.94871795,7.625,9.940170939
Connecticut,104,9,Conn.,3570549,29.13,2022/9/7,8:32 PM,21271,2,2022/9/16,7.259259259,0,15.69230769,22.87606838,8.974358975,4.158333333,13.9017094
Connecticut,107,9,Conn.,3570549,29.97,2022/9/8,8:28 PM,21501,3,2022/9/17,10.16049383,0,16.40598291,22.21367521,9.688034189,4.333333333,12.52564103
Connecticut,107,9,Conn.,3570549,29.97,2022/9/9,8:32 PM,21891,0,2022/9/18,15.91975309,0,20.97435897,27.11538462,14.2991453,7.141666667,12.81623932
Connecticut,107,9,Conn.,3570549,29.97,2022/9/10,8:29 PM,21891,0,2022/9/19,17.82098765,0,22.55982906,27.73504274,16.57692308,5.075,11.15811966
Connecticut,107,9,Conn.,3570549,29.97,2022/9/11,8:46 PM,21891,0,2022/9/20,16.38888889,2.921,20.52136752,26.9017094,16.9017094,4.175,10
Connecticut,113,9,Conn.,3570549,31.65,2022/9/12,8:40 PM,21982,6,2022/9/21,14.13580247,1.016,18.76495726,24.22649573,14.75213675,4.791666667,9.474358974
Connecticut,113,9,Conn.,3570549,31.65,2022/9/13,8:35 PM,22627,0,2022/9/22,16.64814815,0,19.50854701,23.58547009,14.32905983,7.4,9.256410257
Connecticut,114,9,Conn.,3570549,31.93,2022/9/14,8:42 PM,22771,1,2022/9/23,4.561728395,12.01615385,13.20940171,19.85470085,9.786324786,12.29166667,10.06837607
Connecticut,114,9,Conn.,3570549,31.93,2022/9/15,6:41 AM,22771,0,2022/9/24,3.271604938,0,12.95299145,20.26495726,7.08974359,7.991666667,13.17521367
Connecticut,120,9,Conn.,3570549,33.61,2022/9/16,8:22 PM,23496,6,2022/9/25,10.75925926,0,15.22222222,21.65811966,8.200854701,4.691666667,13.45726496
Connecticut,120,9,Conn.,3570549,33.61,2022/9/17,8:43 PM,23496,0,2022/9/26,13.9382716,3.463636364,18.31623932,22.47008547,11.14529915,8.208333333,11.32478633
Connecticut,120,9,Conn.,3570549,33.61,2022/9/18,8:45 PM,23496,0,2022/9/27,10.99382716,1.016,17.32905983,22.06837607,13.87606838,5.508333333,8.192307693
Connecticut,124,9,Conn.,3570549,34.73,2022/9/19,8:34 PM,23890,4,2022/9/28,8.987654321,0,15.04273504,20.97008547,9.474358974,4.516666667,11.4957265
Connecticut,123,9,Conn.,3570549,34.45,2022/9/20,8:45 PM,24200,0,2022/9/29,8.203703704,0,14.86752137,20.17948718,9.611111111,7.858333333,10.56837607
Connecticut,123,9,Conn.,3570549,34.45,2022/9/21,8:31 PM,24361,0,2022/9/30,6.993827161,0,12.38888889,18.18803419,7.666666667,5.741666667,10.52136752
Connecticut,124,9,Conn.,3570549,34.73,2022/9/22,8:39 PM,24569,1,2022/9/1,11.37654321,0.254,21.97008547,28.13247863,16.58119658,5.441666667,11.55128205
Connecticut,124,9,Conn.,3570549,34.73,2022/9/23,8:37 PM,24843,0,2022/9/2,9.487654321,0,18.75213675,26.02991453,12.5042735,5.25,13.52564103
Connecticut,124,9,Conn.,3570549,34.73,2022/9/24,8:33 PM,24843,0,2022/9/3,13.06790123,0,19.38461538,25.42735043,12.84615385,3.8,12.58119658
Connecticut,124,9,Conn.,3570549,34.73,2022/9/25,8:46 PM,24843,0,2022/9/4,17.39506173,0,22.41880342,28.27350427,15.29487179,4.191666667,12.97863248
Connecticut,124,9,Conn.,3570549,34.73,2022/9/26,8:27 PM,25159,0,2022/9/5,20.53703704,1.227666667,22.71794872,28.01282051,18.97863248,4.083333333,9.034188035
Connecticut,124,9,Conn.,3570549,34.73,2022/9/27,8:34 PM,25338,0,2022/9/6,18.2654321,39.01016667,19.61111111,23.93162393,18.13247863,6.891666667,5.799145298
Connecticut,125,9,Conn.,3570549,35.01,2022/9/28,8:37 PM,25506,1,2022/9/7,15.83950617,23.91833333,19.20940171,22.45299145,17.28632479,7.916666667,5.166666667
Connecticut,125,9,Conn.,3570549,35.01,2022/9/29,8:51 PM,25610,0,2022/9/8,13.91358025,0.019538462,19.67948718,24.94017094,15.12393162,5.758333333,9.816239315
Connecticut,126,9,Conn.,3570549,35.29,2022/9/30,8:46 PM,25848,1,2022/9/9,12.69753086,0,18.66239316,25.53846154,12.93589744,3.933333333,12.6025641
Connecticut,126,9,Conn.,3570549,35.29,2022/10/1,8:39 PM,25848,0,2022/10/1,9.308641975,1.185333333,12.85470086,16.4957265,8.44017094,7.708333333,8.055555555
Connecticut,126,9,Conn.,3570549,35.29,2022/10/2,7:57 PM,25848,0,2022/10/2,6.012345679,2.053166667,14.06837607,16.12393162,11.30769231,12.575,4.816239317
