location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Delaware,5,10,Del.,967679,5.17,2022/8/4,2:24 PM,7507,0,2022/8/4,22.09722223,0,28.22222222,34.65740741,21.91666667,4.7,12.74074074
Delaware,6,10,Del.,967679,6.2,2022/8/5,7:51 PM,7507,1,2022/8/5,22.27777778,7.831666667,25.26851852,32.46296296,21.87037037,4.466666667,10.59259259
Delaware,6,10,Del.,967679,6.2,2022/8/6,7:58 PM,7507,0,2022/8/6,22.44444444,4.2164,26.12962963,31.75925926,22.07407407,5.466666667,9.685185187
Delaware,6,10,Del.,967679,6.2,2022/8/7,8:02 PM,7507,0,2022/8/7,23.04166667,0,28.18518518,32.78703704,23.37037037,7.366666667,9.416666667
Delaware,6,10,Del.,967679,6.2,2022/8/8,8:09 PM,8931,0,2022/8/8,23.68055556,0,28.72222222,33.5462963,24.55555556,7.433333333,8.990740742
Delaware,6,10,Del.,967679,6.2,2022/8/9,7:37 PM,9489,0,2022/8/9,23.875,0,29.99074074,35.06481482,25.41666667,7.066666667,9.648148148
Delaware,6,10,Del.,967679,6.2,2022/8/10,7:52 PM,9489,0,2022/8/10,23.34722222,5.08,28.01851852,33.75,24.25925926,4.1,9.49074074
Delaware,8,10,Del.,967679,8.27,2022/8/11,7:59 PM,10389,2,2022/8/11,21.76388889,3.259666667,25.75925926,31.59259259,22.85185185,5.083333333,8.74074074
Delaware,8,10,Del.,967679,8.27,2022/8/12,7:51 PM,10389,0,2022/8/12,16.16666667,0.804333333,24.78703704,29.36111111,21.35185185,5.866666667,8.009259258
Delaware,8,10,Del.,967679,8.27,2022/8/13,8:05 PM,10389,0,2022/8/13,11.75,0,22.46296296,27.97222222,17.07407407,6.333333333,10.89814815
Delaware,8,10,Del.,967679,8.27,2022/8/14,8:17 PM,10389,0,2022/8/14,14.31944444,0,22.10185185,27.57407407,16.98148148,4.233333333,10.59259259
Delaware,8,10,Del.,967679,8.27,2022/8/15,8:12 PM,10389,0,2022/8/15,15.55555556,0.042333333,22.35185185,26.86111111,18.38888889,5.1,8.472222223
Delaware,8,10,Del.,967679,8.27,2022/8/16,8:22 PM,10389,0,2022/8/16,15.75,0,22.27777778,26.28703704,17.51851852,7,8.76851852
Delaware,10,10,Del.,967679,10.33,2022/8/17,8:24 PM,13514,2,2022/8/17,15.625,0,21.88888889,26.60185185,17.44444444,4.883333333,9.15740741
Delaware,10,10,Del.,967679,10.33,2022/8/18,8:13 PM,14112,0,2022/8/18,15.54166667,1.185333333,22.42592593,28.90740741,16.60185185,3.85,12.30555556
Delaware,10,10,Del.,967679,10.33,2022/8/19,8:04 PM,14112,0,2022/8/19,18.26388889,0,24.55555556,30.25925926,17.78703704,4.883333333,12.47222222
