location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
District of Columbia,257,11,D.C.,701974,366.11,2022/8/4,2:24 PM,7507,0,2022/8/4,21.83333333,0,29.11111111,34.19444445,23.63888889,6.4,10.55555556
District of Columbia,283,11,D.C.,701974,403.15,2022/8/5,7:51 PM,7507,26,2022/8/5,21.5,11.811,26.19444445,33.05555556,23,3.55,10.05555556
District of Columbia,283,11,D.C.,701974,403.15,2022/8/6,7:58 PM,7507,0,2022/8/6,21.44444444,0,26.33333333,32.38888889,23.02777778,7.7,9.36111111
District of Columbia,283,11,D.C.,701974,403.15,2022/8/7,8:02 PM,7507,0,2022/8/7,21.77777778,0,27.86111111,31.75,23.94444445,9.15,7.805555555
District of Columbia,303,11,D.C.,701974,431.64,2022/8/8,8:09 PM,8931,20,2022/8/8,23.44444444,0,28.58333334,32.83333334,25.08333334,7.3,7.75
District of Columbia,318,11,D.C.,701974,453.01,2022/8/9,7:37 PM,9489,15,2022/8/9,23.05555556,0,30,35.25,25.5,5.8,9.75
District of Columbia,318,11,D.C.,701974,453.01,2022/8/10,7:52 PM,9489,0,2022/8/10,22.44444444,0,28.5,35.36111111,23.75,4.35,11.61111111
District of Columbia,319,11,D.C.,701974,454.43,2022/8/11,7:59 PM,10389,1,2022/8/11,19.88888889,6.604,25.77777778,32.55555556,23.08333334,6.1,9.47222222
District of Columbia,319,11,D.C.,701974,454.43,2022/8/12,7:51 PM,10389,0,2022/8/12,15.11111111,0,26.05555556,30,22.30555556,7.15,7.694444445
District of Columbia,319,11,D.C.,701974,454.43,2022/8/13,8:05 PM,10389,0,2022/8/13,10.44444444,0,24.11111111,29.25,18.63888889,4.8,10.61111111
District of Columbia,319,11,D.C.,701974,454.43,2022/8/14,8:17 PM,10389,0,2022/8/14,13.44444444,0,24.44444445,28.13888889,20.13888889,5.25,8
District of Columbia,319,11,D.C.,701974,454.43,2022/8/15,8:12 PM,10389,0,2022/8/15,17.88888889,1.651,22.13888889,26.75,20.11111111,3.4,6.63888889
District of Columbia,319,11,D.C.,701974,454.43,2022/8/16,8:22 PM,10389,0,2022/8/16,15.83333333,0.127,23.30555556,27.77777778,19.94444445,5.55,7.833333335
District of Columbia,351,11,D.C.,701974,500.02,2022/8/17,8:24 PM,13514,32,2022/8/17,15.83333333,0,23.77777778,29.55555556,19.38888889,3.55,10.16666667
District of Columbia,351,11,D.C.,701974,500.02,2022/8/18,8:13 PM,14112,0,2022/8/18,15.61111111,0,22.72222222,29.30555556,18.27777778,4.3,11.02777778
District of Columbia,351,11,D.C.,701974,500.02,2022/8/19,8:04 PM,14112,0,2022/8/19,18.94444444,0,27.44444444,30.55555556,23.02777778,7.85,7.527777775
District of Columbia,351,11,D.C.,701974,500.02,2022/8/20,8:09 PM,14112,0,2022/8/20,19.61111111,0,26.55555556,30.86111111,22.11111111,5.25,8.75
District of Columbia,351,11,D.C.,701974,500.02,2022/8/21,8:18 PM,14112,0,2022/8/21,21.27777778,0,25.11111112,30.11111111,22.41666667,5.7,7.694444445
District of Columbia,372,11,D.C.,701974,529.93,2022/8/22,8:33 PM,15430,21,2022/8/22,22.16666667,2.413,25.05555556,29.55555556,22.94444445,5.55,6.61111111
District of Columbia,402,11,D.C.,701974,572.67,2022/8/23,8:30 PM,15906,30,2022/8/23,18.38888889,0.381,26.13888889,31.41666667,22.11111111,6,9.305555555
District of Columbia,402,11,D.C.,701974,572.67,2022/8/24,8:29 PM,16600,0,2022/8/24,16.77777778,0,26.72222222,32,21.25,4.65,10.75
District of Columbia,414,11,D.C.,701974,589.77,2022/8/25,8:37 PM,16923,12,2022/8/25,19,0,26.91666667,31.41666667,21.5,3.1,9.916666665
District of Columbia,414,11,D.C.,701974,589.77,2022/8/26,8:23 PM,17429,0,2022/8/26,20.5,0,27.86111111,33.69444445,21.86111111,5.3,11.83333334
District of Columbia,414,11,D.C.,701974,589.77,2022/8/27,8:22 PM,17429,0,2022/8/27,20.16666667,0,28.02777778,33.5,23.44444445,4.05,10.05555556
District of Columbia,414,11,D.C.,701974,589.77,2022/8/28,8:31 PM,17429,0,2022/8/28,21.27777778,0,27.91666667,32.69444445,23.58333334,2.85,9.11111111
District of Columbia,414,11,D.C.,701974,589.77,2022/8/29,8:38 PM,18098,0,2022/8/29,22.22222222,0,28,32.80555556,24,5.55,8.805555555
District of Columbia,432,11,D.C.,701974,615.41,2022/8/30,8:51 PM,18414,18,2022/8/30,22.05555556,0,27.33333334,33.05555556,23.19444445,8.7,9.86111111
District of Columbia,432,11,D.C.,701974,615.41,2022/8/31,8:28 PM,18986,0,2022/8/31,17.22222222,1.778,25.44444445,32.44444445,21.55555556,6.05,10.88888889
District of Columbia,432,11,D.C.,701974,615.41,2022/9/1,8:33 PM,19462,0,2022/9/1,13.77777778,0,26,32.19444445,20,4.85,12.19444445
District of Columbia,432,11,D.C.,701974,615.41,2022/9/2,8:24 PM,19959,0,2022/9/2,16.11111111,0,26.02777778,31.5,20.19444445,3.75,11.30555556
District of Columbia,432,11,D.C.,701974,615.41,2022/9/3,8:30 PM,19959,0,2022/9/3,19.27777778,0,26.05555556,31.05555556,21.44444445,4.1,9.61111111
District of Columbia,432,11,D.C.,701974,615.41,2022/9/4,8:35 PM,19959,0,2022/9/4,19.5,0,26.5,31.63888889,22.47222222,5.75,9.16666667
District of Columbia,432,11,D.C.,701974,615.41,2022/9/5,8:41 PM,19959,0,2022/9/5,20.11111111,0,26.25,30.88888889,22.91666667,6.9,7.972222225
District of Columbia,436,11,D.C.,701974,621.11,2022/9/6,8:40 PM,20730,4,2022/9/6,21.55555556,6.096,25.58333334,30,22.69444445,6.3,7.305555555
District of Columbia,436,11,D.C.,701974,621.11,2022/9/7,8:32 PM,21271,0,2022/9/7,20.38888889,5.588,23.16666667,27.55555556,21.55555556,5.25,6
District of Columbia,448,11,D.C.,701974,638.2,2022/9/8,8:28 PM,21501,12,2022/9/8,18,0.127,22.91666667,27.13888889,21.05555556,5,6.083333335
District of Columbia,457,11,D.C.,701974,651.02,2022/9/9,8:32 PM,21891,9,2022/9/9,16.5,0,23.61111111,28.55555556,19.02777778,3.2,9.527777775
District of Columbia,457,11,D.C.,701974,651.02,2022/9/10,8:29 PM,21891,0,2022/9/10,17.16666667,0,23.11111111,28.13888889,18.33333334,3.2,9.805555555
District of Columbia,457,11,D.C.,701974,651.02,2022/9/11,8:46 PM,21891,0,2022/9/11,21.22222222,9.525,24.25,27.69444445,19.83333334,4.2,7.86111111
District of Columbia,457,11,D.C.,701974,651.02,2022/9/12,8:40 PM,21982,0,2022/9/12,22.38888889,1.397,24.94444445,28.5,22.80555556,4.45,5.694444445
District of Columbia,467,11,D.C.,701974,665.27,2022/9/13,8:35 PM,22627,10,2022/9/13,17.44444444,1.397,24.02777778,28.30555556,21.44444445,5.65,6.86111111
District of Columbia,473,11,D.C.,701974,673.81,2022/9/14,8:42 PM,22771,6,2022/9/14,12.94444444,0,21.97222223,27.5,16.5,6.45,11
District of Columbia,473,11,D.C.,701974,673.81,2022/9/15,6:41 AM,22771,0,2022/9/15,15.16666667,0,22.91666667,27.94444445,17.80555556,6.1,10.13888889
District of Columbia,477,11,D.C.,701974,679.51,2022/9/16,8:22 PM,23496,4,2022/9/16,12.61111111,0,21.33333334,28.13888889,15.61111111,2.9,12.52777778
District of Columbia,477,11,D.C.,701974,679.51,2022/9/17,8:43 PM,23496,0,2022/9/17,15.55555556,0,22.38888889,27.08333334,16.75,2.8,10.33333334
District of Columbia,477,11,D.C.,701974,679.51,2022/9/18,8:45 PM,23496,0,2022/9/18,16.66666667,0,22.69444445,28.58333334,18.05555556,5.55,10.52777778
District of Columbia,484,11,D.C.,701974,689.48,2022/9/19,8:34 PM,23890,7,2022/9/19,17.83333333,0,24.77777778,30.05555556,19.16666667,5.45,10.88888889
District of Columbia,488,11,D.C.,701974,695.18,2022/9/20,8:45 PM,24200,4,2022/9/20,16.5,0,25.38888889,30.05555556,20.55555556,5.55,9.5
District of Columbia,488,11,D.C.,701974,695.18,2022/9/21,8:31 PM,24361,0,2022/9/21,15.27777778,0,24,29.75,18.88888889,3.8,10.86111111
District of Columbia,493,11,D.C.,701974,702.31,2022/9/22,8:39 PM,24569,5,2022/9/22,16.77777778,0,24.05555556,28.44444445,20.19444445,7.5,8.25
District of Columbia,494,11,D.C.,701974,703.73,2022/9/23,8:37 PM,24843,1,2022/9/23,4.833333333,0.508,17,24.52777778,12.66666667,11.1,11.86111112
District of Columbia,494,11,D.C.,701974,703.73,2022/9/24,8:33 PM,24843,0,2022/9/24,5.611111111,0,16.58333334,20.80555556,11.80555556,4.7,9
District of Columbia,494,11,D.C.,701974,703.73,2022/9/25,8:46 PM,24843,0,2022/9/25,13,0,19.33333333,26.47222222,13.55555556,5.3,12.91666667
District of Columbia,494,11,D.C.,701974,703.73,2022/9/26,8:27 PM,25159,0,2022/9/26,12.27777778,0.127,21.11111111,25.97222222,16.11111111,5.95,9.86111111
District of Columbia,496,11,D.C.,701974,706.58,2022/9/27,8:34 PM,25338,2,2022/9/27,6.111111111,0,19.75,24.36111111,16.19444445,5.55,8.166666665
District of Columbia,495,11,D.C.,701974,705.15,2022/9/28,8:37 PM,25506,0,2022/9/28,6.555555556,0,16.44444444,22.19444445,11.41666667,6.95,10.77777778
District of Columbia,497,11,D.C.,701974,708,2022/9/29,8:51 PM,25610,2,2022/9/29,8.444444444,0,16.91666667,21.75,12.30555556,7.95,9.444444445
District of Columbia,497,11,D.C.,701974,708,2022/9/30,8:46 PM,25848,0,2022/9/30,9.055555556,0,15.36111111,20,13.08333334,8.1,6.916666665
District of Columbia,497,11,D.C.,701974,708,2022/10/1,8:39 PM,25848,0,2022/10/1,13.27777778,8.128,14.88888889,17.52777778,13.33333334,9.65,4.194444445
District of Columbia,497,11,D.C.,701974,708,2022/10/2,7:57 PM,25848,0,2022/10/2,14.44444444,3.429,15.44444445,17.38888889,13.38888889,7.3,4
