location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Florida,525,12,Fla.,21216924,24.74,2022/8/4,2:24 PM,7507,0,2022/8/4,23.09284627,3.506611111,28.02263374,33.18518519,23.18518519,5.396153846,10
Florida,633,12,Fla.,21216924,29.83,2022/8/5,7:51 PM,7507,108,2022/8/5,23.69863014,1.94256338,28.24211248,33.41632373,23.93689986,5.374025974,9.479423869
Florida,633,12,Fla.,21216924,29.83,2022/8/6,7:58 PM,7507,0,2022/8/6,23.71621622,2.448277778,28.31233062,33.21341463,24.5602981,5.687179487,8.653116531
Florida,633,12,Fla.,21216924,29.83,2022/8/7,8:02 PM,7507,0,2022/8/7,23.36377473,2.649361111,28.10288066,33.2441701,24.18930041,6.154545455,9.054869685
Florida,936,12,Fla.,21216924,44.12,2022/8/8,8:09 PM,8931,303,2022/8/8,23.29504505,2.665211268,27.33062331,32.82859079,23.84146341,5.140506329,8.987127371
Florida,976,12,Fla.,21216924,46,2022/8/9,7:37 PM,9489,40,2022/8/9,23.56756757,2.766540541,27.149729,32.58536585,23.70325203,5.215189873,8.882113822
Florida,976,12,Fla.,21216924,46,2022/8/10,7:52 PM,9489,0,2022/8/10,23.75,2.735384615,28.14236111,33.03819444,24.1875,5.549350649,8.850694445
Florida,1018,12,Fla.,21216924,47.98,2022/8/11,7:59 PM,10389,42,2022/8/11,23.47972973,3.353486486,27.5901084,32.10094851,24.29200542,5.192405063,7.808943089
Florida,1018,12,Fla.,21216924,47.98,2022/8/12,7:51 PM,10389,0,2022/8/12,22.87462462,6.379028571,27.44930556,32.45625,23.62291667,4.887012987,8.833333334
Florida,1018,12,Fla.,21216924,47.98,2022/8/13,8:05 PM,10389,0,2022/8/13,23.07686454,4.880707692,27.14838256,32.42827004,23.44655415,3.974666667,8.981715893
Florida,1018,12,Fla.,21216924,47.98,2022/8/14,8:17 PM,10389,0,2022/8/14,22.875,7.070911765,26.68635724,31.98945148,23.16807314,3.781333333,8.82137834
Florida,1018,12,Fla.,21216924,47.98,2022/8/15,8:12 PM,10389,0,2022/8/15,22.48021309,4.700739726,27.19305556,32.51527778,22.63402778,3.361842105,9.88125
Florida,1018,12,Fla.,21216924,47.98,2022/8/16,8:22 PM,10389,0,2022/8/16,23.3934551,3.644053333,28.29254571,33.64908579,23.51195499,4.792,10.1371308
Florida,1346,12,Fla.,21216924,63.44,2022/8/17,8:24 PM,13514,328,2022/8/17,23.59056317,2.776361111,28.32770745,33.90014065,23.83966245,4.859210526,10.0604782
Florida,1372,12,Fla.,21216924,64.67,2022/8/18,8:13 PM,14112,26,2022/8/18,23.67361111,3.192584615,27.24287749,32.72720798,94.36965812,3.814666667,-61.64245014
Florida,1372,12,Fla.,21216924,64.67,2022/8/19,8:04 PM,14112,0,2022/8/19,23.4870624,7.229522388,27.61736111,33.20347222,23.48888889,3.818421053,9.714583334
Florida,1372,12,Fla.,21216924,64.67,2022/8/20,8:09 PM,14112,0,2022/8/20,23.87214612,4.50942029,28.35,33.88472222,23.63541667,4.286842105,10.24930556
Florida,1372,12,Fla.,21216924,64.67,2022/8/21,8:18 PM,14112,0,2022/8/21,24.31377152,1.645313433,28.53988604,33.73717949,94.94729344,4.262666667,-61.21011396
Florida,1588,12,Fla.,21216924,74.85,2022/8/22,8:33 PM,15430,216,2022/8/22,23.78614916,2.183694444,28.05694444,33.28888889,93.27777778,4.124,-59.98888889
Florida,1638,12,Fla.,21216924,77.2,2022/8/23,8:30 PM,15906,50,2022/8/23,23.70776256,4.930588235,27.75763889,33.225,92.99583333,3.55,-59.77083333
Florida,1669,12,Fla.,21216924,78.66,2022/8/24,8:29 PM,16600,31,2022/8/24,23.86805556,3.209971014,27.56891702,32.91983122,93.79535865,4.208,-60.87552742
Florida,1713,12,Fla.,21216924,80.74,2022/8/25,8:37 PM,16923,44,2022/8/25,24.19444444,8.044597015,27.46343179,32.36779184,23.98804501,4.098666667,8.379746836
Florida,1739,12,Fla.,21216924,81.96,2022/8/26,8:23 PM,17429,26,2022/8/26,24.21689498,8.008470588,27.3125,32.62986111,24.01527778,3.701315789,8.614583333
Florida,1739,12,Fla.,21216924,81.96,2022/8/27,8:22 PM,17429,0,2022/8/27,24.05787037,5.929085714,27.07735584,32.4697609,93.67651195,3.177027027,-61.20675105
Florida,1739,12,Fla.,21216924,81.96,2022/8/28,8:31 PM,17429,0,2022/8/28,23.84104938,7.10430303,26.95218003,32.45850914,23.70042194,3.876,8.758087201
Florida,1870,12,Fla.,21216924,88.14,2022/8/29,8:38 PM,18098,131,2022/8/29,23.87366819,7.0612,27.14722222,32.27847222,23.69236111,4.348,8.586111111
Florida,1870,12,Fla.,21216924,88.14,2022/8/30,8:51 PM,18414,0,2022/8/30,24.25231482,2.557887324,28.2559775,33.1350211,24.2580872,5.109333333,8.876933896
Florida,1922,12,Fla.,21216924,90.59,2022/8/31,8:28 PM,18986,52,2022/8/31,23.89506173,2.421943662,28.10548523,33.43881857,24.02039381,4.356,9.418424754
Florida,1957,12,Fla.,21216924,92.24,2022/9/1,8:33 PM,19462,35,2022/9/1,23.51877934,8.258848485,27.40954416,33.01923077,23.51495727,3.782666667,9.504273504
Florida,1991,12,Fla.,21216924,93.84,2022/9/2,8:24 PM,19959,34,2022/9/2,23.54381847,7.761514286,27.07763533,32.3960114,23.35683761,4.325333333,9.039173789
Florida,1991,12,Fla.,21216924,93.84,2022/9/3,8:30 PM,19959,0,2022/9/3,23.90686275,4.761552239,27.58962963,32.41851852,23.63555556,4.593150685,8.782962963
Florida,1991,12,Fla.,21216924,93.84,2022/9/4,8:35 PM,19959,0,2022/9/4,23.79656863,3.744685714,28.0962963,32.86074074,24.07481482,4.181690141,8.785925926
Florida,1991,12,Fla.,21216924,93.84,2022/9/5,8:41 PM,19959,0,2022/9/5,23.85457516,1.133797101,28.44814815,33.38,24.18,3.952777778,9.2
Florida,2126,12,Fla.,21216924,100.2,2022/9/6,8:40 PM,20730,135,2022/9/6,23.90610329,0.647884058,28.78418803,33.87535613,94.93447293,3.534666667,-61.05911681
Florida,2148,12,Fla.,21216924,101.24,2022/9/7,8:32 PM,21271,22,2022/9/7,23.69796557,2.099235294,28.21652422,33.41239316,24.18019943,3.56,9.232193732
Florida,2158,12,Fla.,21216924,101.71,2022/9/8,8:28 PM,21501,10,2022/9/8,23.11265432,4.5481875,26.17369902,31.63924051,22.90787623,3.565789474,8.731364275
Florida,2193,12,Fla.,21216924,103.36,2022/9/9,8:32 PM,21891,35,2022/9/9,23.10396825,16.37292063,25.36724387,30.91053391,22.51731602,4.704054054,8.393217893
