location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Georgia,504,13,Ga.,10516579,47.92,2022/8/4,2:24 PM,7507,0,8/4/2022,21.79284369,2.534227273,26.26014109,33.46560847,21.55555556,2.652542373,11.91005291
Georgia,596,13,Ga.,10516579,56.67,2022/8/5,7:51 PM,7507,92,8/5/2022,22.24858757,0.816042553,27.08553792,33.64902998,21.85361552,2.837288136,11.79541446
Georgia,596,13,Ga.,10516579,56.67,2022/8/6,7:58 PM,7507,0,8/6/2022,22.74199623,0.9525,26.92239859,33.33950617,22.664903,2.928813559,10.67460317
Georgia,596,13,Ga.,10516579,56.67,2022/8/7,8:02 PM,7507,0,8/7/2022,22.11487759,9.738731707,25.71428571,32.67636684,21.78483245,2.388135593,10.89153439
Georgia,625,13,Ga.,10516579,59.43,2022/8/8,8:09 PM,8931,29,8/8/2022,22.10277778,7.359487179,25.77170139,32.40017361,21.64756944,1.963333333,10.75260417
Georgia,749,13,Ga.,10516579,71.22,2022/8/9,7:37 PM,9489,124,8/9/2022,21.90677966,6.027853659,25.64991182,32.27689594,21.35978836,2.706779661,10.91710758
Georgia,749,13,Ga.,10516579,71.22,2022/8/10,7:52 PM,9489,0,8/10/2022,21.85122411,5.3975,25.10141093,31.65167548,21.32804233,2.794915254,10.32363316
Georgia,775,13,Ga.,10516579,73.69,2022/8/11,7:59 PM,10389,26,8/11/2022,21.48703704,6.477,24.47916667,30.80902778,21.29340278,2.491666667,9.515625
Georgia,775,13,Ga.,10516579,73.69,2022/8/12,7:51 PM,10389,0,8/12/2022,21.65232975,3.695095238,25.27777778,31.38636364,21.83417508,3.870967742,9.552188552
Georgia,775,13,Ga.,10516579,73.69,2022/8/13,8:05 PM,10389,0,8/13/2022,20.53853047,3.69545098,24.84175084,30.65909091,21.28787879,4.017741935,9.371212121
Georgia,775,13,Ga.,10516579,73.69,2022/8/14,8:17 PM,10389,0,8/14/2022,19.0609319,0.121138462,24.98232323,31.43771044,19.28282828,2.09516129,12.15488215
Georgia,775,13,Ga.,10516579,73.69,2022/8/15,8:12 PM,10389,0,8/15/2022,19.79928315,0.041563636,25.63636364,32.54882155,19.60185185,3.027419355,12.9469697
Georgia,775,13,Ga.,10516579,73.69,2022/8/16,8:22 PM,10389,0,8/16/2022,21.2016129,1.608666667,25.96296296,32.28535354,20.88215488,3.85,11.40319865
Georgia,1033,13,Ga.,10516579,98.23,2022/8/17,8:24 PM,13514,258,8/17/2022,20.88799283,1.783291667,24.65909091,30.12794613,21.11616162,2.682258065,9.011784512
Georgia,1066,13,Ga.,10516579,101.36,2022/8/18,8:13 PM,14112,33,8/18/2022,21.10752688,5.842,24.13636364,29.08080808,21.07070707,2.067741935,8.01010101
Georgia,1066,13,Ga.,10516579,101.36,2022/8/19,8:04 PM,14112,0,8/19/2022,21.90528233,9.512904762,24.37878788,29.5479798,21.40151515,2.370967742,8.146464646
Georgia,1066,13,Ga.,10516579,101.36,2022/8/20,8:09 PM,14112,0,8/20/2022,22.11469534,3.623733333,25.34090909,31.62542088,21.48316498,1.758064516,10.14225589
Georgia,1066,13,Ga.,10516579,101.36,2022/8/21,8:18 PM,14112,0,8/21/2022,22.2625448,6.761238095,25.46969697,31.31481481,21.71632997,2.825806452,9.598484849
