location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Hawaii,10,15,Hawaii,1420074,7.04,2022/8/4,2:24 PM,7507,0,8/4/2022,18.16666667,3.217333333,22.99382716,27.46296296,19.08333333,5.86875,8.37962963
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/5,7:51 PM,7507,1,8/5/2022,18.94949495,1.368777778,23.41049383,27.70061728,19.30246914,5.0875,8.398148148
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/6,7:58 PM,7507,0,8/6/2022,19.27272727,1.312333333,24.13888889,28.68209877,19.88580247,5.4375,8.796296297
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/7,8:02 PM,7507,0,8/7/2022,19.0959596,0.790222222,24.5462963,28.89197531,20.33950617,5.94375,8.552469137
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/8,8:09 PM,8931,0,8/8/2022,18.1969697,0.014941176,24.34259259,28.89506173,20.54320988,7.975,8.351851852
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/9,7:37 PM,9489,0,8/9/2022,18.96464646,0.987777778,24.54320988,28.3117284,21.03395062,9.00625,7.277777777
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/10,7:52 PM,9489,0,8/10/2022,18.57070707,1.509888889,24.84259259,28.49382716,21.55555556,9.49375,6.938271605
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/11,7:59 PM,10389,0,8/11/2022,18.09090909,0.310444444,24.91666667,28.66666667,21.94753086,10.1125,6.719135802
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/12,7:51 PM,10389,0,8/12/2022,18.08080808,0.183444444,24.16666667,28.18518519,20.9537037,8,7.231481482
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/13,8:05 PM,10389,0,8/13/2022,18.03535354,0.465666667,23.79012346,28.07098766,20.16666667,7.21875,7.904320988
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/14,8:17 PM,10389,0,8/14/2022,18.08585859,0.296333333,24.17283951,28.13580247,20.29938272,7.3875,7.836419753
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/15,8:12 PM,10389,0,8/15/2022,17.8030303,0.028222222,24.0308642,27.90123457,20.39197531,6.80625,7.50925926
Hawaii,11,15,Hawaii,1420074,7.75,2022/8/16,8:22 PM,10389,0,8/16/2022,18.54545455,0.663222222,23.71604938,28.23148148,19.35493827,5.05625,8.876543209
Hawaii,13,15,Hawaii,1420074,9.15,2022/8/17,8:24 PM,13514,2,8/17/2022,19.27272727,1.481666667,24.11728395,28.33641975,19.75925926,4.73125,8.577160493
Hawaii,13,15,Hawaii,1420074,9.15,2022/8/18,8:13 PM,14112,0,8/18/2022,19.83333333,0.437444444,24.46604938,28.50925926,20.54938272,5.91875,7.959876543
Hawaii,13,15,Hawaii,1420074,9.15,2022/8/19,8:04 PM,14112,0,8/19/2022,18.74747475,0.098777778,24.50617284,28.7962963,20.81481482,7.2875,7.981481482
Hawaii,13,15,Hawaii,1420074,9.15,2022/8/20,8:09 PM,14112,0,8/20/2022,17.94444445,0.155222222,24.43518518,28.71296296,20.7962963,8.3875,7.916666667
Hawaii,13,15,Hawaii,1420074,9.15,2022/8/21,8:18 PM,14112,0,8/21/2022,17.30808081,0.014111111,24.3117284,28.41666667,20.46604938,8.8125,7.950617284
Hawaii,13,15,Hawaii,1420074,9.15,2022/8/22,8:33 PM,15430,0,8/22/2022,17.60606061,0.366888889,24.16358025,28.18209877,20.37037037,8.49375,7.811728395
Hawaii,15,15,Hawaii,1420074,10.56,2022/8/23,8:30 PM,15906,2,8/23/2022,19.39393939,0.493888889,23.50925926,27.96296296,20.18209877,5.71875,7.780864197
Hawaii,15,15,Hawaii,1420074,10.56,2022/8/24,8:29 PM,16600,0,8/24/2022,19.64141414,2.667,24.04938272,28.03395062,20.16358025,5.0125,7.870370371
Hawaii,15,15,Hawaii,1420074,10.56,2022/8/25,8:37 PM,16923,0,8/25/2022,18.74242424,0.056444444,24.08024691,28.28395062,19.89814815,5.28125,8.385802469
Hawaii,15,15,Hawaii,1420074,10.56,2022/8/26,8:23 PM,17429,0,8/26/2022,18.74242424,2.173111111,23.94444444,28.57407407,19.91666667,6.3875,8.657407407
Hawaii,15,15,Hawaii,1420074,10.56,2022/8/27,8:22 PM,17429,0,8/27/2022,18.59090909,0.776111111,24.43209877,28.33024691,20.34259259,9.275,7.987654321
Hawaii,15,15,Hawaii,1420074,10.56,2022/8/28,8:31 PM,17429,0,8/28/2022,17.74242424,0.169333333,23.87037037,27.9537037,20.22839506,7.63125,7.725308642
Hawaii,18,15,Hawaii,1420074,12.68,2022/8/29,8:38 PM,18098,3,8/29/2022,18.38888889,0.366888889,23.9382716,27.89506173,20.29012346,7.16875,7.604938272
Hawaii,18,15,Hawaii,1420074,12.68,2022/8/30,8:51 PM,18414,0,8/30/2022,19.2020202,0.592666667,23.87037037,27.93518519,20.00308642,6.75,7.932098765
Hawaii,18,15,Hawaii,1420074,12.68,2022/8/31,8:28 PM,18986,0,8/31/2022,18.27777778,0.296333333,23.82716049,28.37037037,19.88580247,6.36875,8.484567901
Hawaii,18,15,Hawaii,1420074,12.68,2022/9/1,8:33 PM,19462,0,9/1/2022,17.6969697,0.211666667,24.30555556,28.36728395,20.15123457,8.1875,8.216049383
Hawaii,18,15,Hawaii,1420074,12.68,2022/9/2,8:24 PM,19959,0,9/2/2022,17.98484848,0.733777778,24.21604938,28.45987654,20.37654321,7.4875,8.083333333
Hawaii,18,15,Hawaii,1420074,12.68,2022/9/3,8:30 PM,19959,0,9/3/2022,19.62626263,0.437444444,24.37962963,28.4691358,20.38888889,7.075,8.080246913
Hawaii,18,15,Hawaii,1420074,12.68,2022/9/4,8:35 PM,19959,0,9/4/2022,19.74242424,2.300111111,24.65740741,28.56481482,21.2345679,7.51875,7.330246913
Hawaii,18,15,Hawaii,1420074,12.68,2022/9/5,8:41 PM,19959,0,9/5/2022,18.03535354,0.169333333,24.39814815,28.74691358,20.47222222,7.64375,8.274691359
Hawaii,22,15,Hawaii,1420074,15.49,2022/9/6,8:40 PM,20730,4,9/6/2022,19.84343434,0.973666667,24.91358025,28.66049383,21.35185185,8.5375,7.308641975
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/7,8:32 PM,21271,3,9/7/2022,19.27272727,0.987777778,25.07098765,28.61728395,22.12962963,9.28125,6.487654322
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/8,8:28 PM,21501,0,9/8/2022,18.23737374,0.141111111,24.22530864,28.30246914,20.45987654,7.6375,7.842592593
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/9,8:32 PM,21891,0,9/9/2022,19.22222222,0.973666667,24.09259259,28.10802469,20.10185185,6.675,8.00617284
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/10,8:29 PM,21891,0,9/10/2022,19.76262626,4.473222222,24.06790123,28.04320988,20.44753086,6.34375,7.595679012
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/11,8:46 PM,21891,0,9/11/2022,19.04040404,1.100666667,23.66049383,27.88580247,19.88271605,4.96875,8.00308642
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/12,8:40 PM,21982,0,9/12/2022,19.12626263,1.735666667,23.74691358,28.21604938,19.90123457,5.7125,8.314814815
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/13,8:35 PM,22627,0,9/13/2022,18.95959596,1.001888889,24.29012346,28.13888889,20.61111111,7.01875,7.527777778
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/14,8:42 PM,22771,0,9/14/2022,18.23333333,0.627529412,23.97712418,28.01633987,20.23856209,6.666666667,7.777777777
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/15,6:41 AM,22771,0,9/15/2022,19.07222222,1.449294118,23.67647059,28.09477124,19.89542484,4.966666667,8.199346405
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/16,8:22 PM,23496,0,9/16/2022,19.41919192,0.366888889,24.0154321,28.08641975,20.12654321,4.46,7.959876543
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/17,8:43 PM,23496,0,9/17/2022,18.56060606,0.338666667,23.77160494,28.57098765,19.87345679,4.8625,8.697530863
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/18,8:45 PM,23496,0,9/18/2022,19.11111111,0.649111111,24.30864197,28.5154321,20.28703704,6.33125,8.228395061
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/19,8:34 PM,23890,0,9/19/2022,18.80808081,1.876777778,24.06172839,28.02777778,20.58024691,7.8625,7.447530863
Hawaii,25,15,Hawaii,1420074,17.6,2022/9/20,8:45 PM,24200,0,9/20/2022,17.5959596,1.255888889,24.31481482,28.42283951,20.71296296,8.18125,7.709876542
Hawaii,27,15,Hawaii,1420074,19.01,2022/9/21,8:31 PM,24361,2,9/21/2022,18.54545455,0,24.39814815,28.34567901,20.75617284,7.3,7.589506172
Hawaii,27,15,Hawaii,1420074,19.01,2022/9/22,8:39 PM,24569,0,9/22/2022,18.74242424,0.098777778,24.12037037,28.40740741,20.0617284,5.9625,8.345679012
Hawaii,27,15,Hawaii,1420074,19.01,2022/9/23,8:37 PM,24843,0,9/23/2022,19.36363636,0.846666667,23.87037037,28.54938272,19.7345679,5.275,8.814814815
Hawaii,27,15,Hawaii,1420074,19.01,2022/9/24,8:33 PM,24843,0,9/24/2022,19.81313131,2.229555556,24.34259259,28.54938272,20.62654321,5.14375,7.922839506
Hawaii,27,15,Hawaii,1420074,19.01,2022/9/25,8:46 PM,24843,0,9/25/2022,19.9040404,0.959555556,24.12654321,28.49691358,20.44753086,5.1125,8.049382716
Hawaii,29,15,Hawaii,1420074,20.42,2022/9/26,8:27 PM,25159,2,9/26/2022,19.36868687,2.088444444,23.87654321,28.60493827,19.86419753,4.95625,8.74074074
Hawaii,29,15,Hawaii,1420074,20.42,2022/9/27,8:34 PM,25338,0,9/27/2022,17.96969697,0.141111111,24.15432099,28.5154321,20.07407407,6.75,8.441358024
Hawaii,29,15,Hawaii,1420074,20.42,2022/9/28,8:37 PM,25506,0,9/28/2022,17.3030303,0.127,24.09567901,28.2654321,20.24074074,6.75625,8.024691358
Hawaii,34,15,Hawaii,1420074,23.94,2022/9/29,8:51 PM,25610,5,9/29/2022,17.58585859,0,24.24382716,28.53395062,20.35185185,6.7625,8.182098765
Hawaii,34,15,Hawaii,1420074,23.94,2022/9/30,8:46 PM,25848,0,9/30/2022,19.0050505,1.227666667,24.75308642,28.84259259,20.68827161,6.19375,8.154320988
Hawaii,34,15,Hawaii,1420074,23.94,2022/10/1,8:39 PM,25848,0,10/1/2022,19.71111111,1.150470588,24.61111111,28.95098039,20.59150327,6.106666667,8.359477124
Hawaii,34,15,Hawaii,1420074,23.94,2022/10/2,7:57 PM,25848,0,10/2/2022,20.22777778,0.1016,23.87254902,27.9379085,20.55228758,4.986666667,7.385620915
