location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Illinois,547,17,Ill.,12716164,43.02,2022/8/4,2:24 PM,7507,0,8/4/2022,21.41269841,5.8928,24.01612903,30.64695341,20.54480287,4.623333333,10.10215054
Illinois,602,17,Ill.,12716164,47.34,2022/8/5,7:51 PM,7507,55,8/5/2022,21.74329502,7.409793103,24.53225807,29.63082437,20.49820788,3.336666667,9.132616488
Illinois,602,17,Ill.,12716164,47.34,2022/8/6,7:58 PM,7507,0,8/6/2022,22.52298851,0.778387097,25.97670251,31.61290323,20.58960573,3.693333333,11.02329749
Illinois,602,17,Ill.,12716164,47.34,2022/8/7,8:02 PM,7507,0,8/7/2022,23,0.4445,26.14695341,31.13620072,22.04121864,5.64,9.094982079
Illinois,672,17,Ill.,12716164,52.85,2022/8/8,8:09 PM,8931,70,8/8/2022,23.2816092,2.937565217,26.2562724,31.12365591,22.05913978,6.82,9.06451613
Illinois,701,17,Ill.,12716164,55.13,2022/8/9,7:37 PM,9489,29,8/9/2022,19.08928571,4.70408,22.20071685,28.2562724,19.11469534,5.133333333,9.141577061
Illinois,701,17,Ill.,12716164,55.13,2022/8/10,7:52 PM,9489,0,8/10/2022,17.57088123,2.646516129,21.70967742,27.50896057,17.10215054,3.05,10.40681004
Illinois,717,17,Ill.,12716164,56.38,2022/8/11,7:59 PM,10389,16,8/11/2022,16.94636015,0.262466667,21.54121864,27.42473118,15.88709677,3.933333333,11.53763441
Illinois,717,17,Ill.,12716164,56.38,2022/8/12,7:51 PM,10389,0,8/12/2022,13.11494253,0.311354839,19.70609319,26.20430108,13.35304659,4.396666667,12.85125448
Illinois,717,17,Ill.,12716164,56.38,2022/8/13,8:05 PM,10389,0,8/13/2022,13.58045977,0,18.88351254,25.85125448,12.15412186,3.456666667,13.69713262
Illinois,717,17,Ill.,12716164,56.38,2022/8/14,8:17 PM,10389,0,8/14/2022,17.4484127,3.267363636,20.68458781,24.82258064,15.29928315,5.3,9.52329749
Illinois,717,17,Ill.,12716164,56.38,2022/8/15,8:12 PM,10389,0,8/15/2022,17.61111111,0.326571429,21.42473118,26.3046595,17.62903226,5.716666667,8.67562724
Illinois,717,17,Ill.,12716164,56.38,2022/8/16,8:22 PM,10389,0,8/16/2022,15.39444444,0,21.32465278,27.35416667,15.40798611,5.003225806,11.94618056
Illinois,875,17,Ill.,12716164,68.81,2022/8/17,8:24 PM,13514,158,8/17/2022,15.36296296,0.15875,20.80902778,27.42881945,14.15798611,4.219354839,13.27083333
Illinois,888,17,Ill.,12716164,69.83,2022/8/18,8:13 PM,14112,13,8/18/2022,14.85185185,0,20.71701389,27.91666667,13.15277778,1.912903226,14.76388889
Illinois,888,17,Ill.,12716164,69.83,2022/8/19,8:04 PM,14112,0,8/19/2022,15.46481482,0,21.6875,29.26388889,14.08506944,2.622580645,15.17881944
Illinois,888,17,Ill.,12716164,69.83,2022/8/20,8:09 PM,14112,0,8/20/2022,17.77777778,0.544285714,22.03819444,28.18402778,16.02604167,3.4,12.15798611
Illinois,888,17,Ill.,12716164,69.83,2022/8/21,8:18 PM,14112,0,8/21/2022,19.02777778,4.618181818,22.04861111,26.96006944,17.90451389,4.196774194,9.055555555
Illinois,951,17,Ill.,12716164,74.79,2022/8/22,8:33 PM,15430,63,8/22/2022,18.02407407,1.433870968,21.54861111,27.05902778,17.30208333,4.661290323,9.756944444
Illinois,970,17,Ill.,12716164,76.28,2022/8/23,8:30 PM,15906,19,8/23/2022,15.45019157,0,20.78315412,27.66487455,14.02508961,2.753333333,13.63978495
Illinois,983,17,Ill.,12716164,77.3,2022/8/24,8:29 PM,16600,13,8/24/2022,15.54597701,0,21.2437276,28.75985663,13.98207885,1.23,14.77777778
Illinois,999,17,Ill.,12716164,78.56,2022/8/25,8:37 PM,16923,16,8/25/2022,16.87356322,0.009769231,21.31003584,27.92114695,14.77419355,2.83,13.1469534
Illinois,1005,17,Ill.,12716164,79.03,2022/8/26,8:23 PM,17429,6,8/26/2022,18.37164751,0.997857143,22.5609319,27.49462366,17.00537634,4.293333333,10.48924731
Illinois,1005,17,Ill.,12716164,79.03,2022/8/27,8:22 PM,17429,0,8/27/2022,16.45210728,0.087586207,21.24193548,28.71684588,14.27240143,2.886666667,14.44444444
Illinois,1005,17,Ill.,12716164,79.03,2022/8/28,8:31 PM,17429,0,8/28/2022,19.04214559,0.061310345,24.28853047,32.2688172,16.25089606,6.076666667,16.01792115
Illinois,1049,17,Ill.,12716164,82.49,2022/8/29,8:38 PM,18098,44,8/29/2022,21.68199234,6.41626087,25.17741935,31.64516129,19.90681004,7.806666667,11.73835126
Illinois,1058,17,Ill.,12716164,83.2,2022/8/30,8:51 PM,18414,9,8/30/2022,17.66666667,16.71982609,22.44802867,28.78136201,18.71684588,7.94,10.06451613
Illinois,1069,17,Ill.,12716164,84.07,2022/8/31,8:28 PM,18986,11,8/31/2022,14.27011494,1.016,20.34767025,27.74551971,13.37096774,4.506666667,14.37455197
Illinois,1081,17,Ill.,12716164,85.01,2022/9/1,8:33 PM,19462,12,9/1/2022,16.7605364,0,22.13799283,29.50896057,14.55197133,2.623333333,14.95698925
Illinois,1087,17,Ill.,12716164,85.48,2022/9/2,8:24 PM,19959,6,9/2/2022,18.19259259,0,22.92881945,29.29861111,16.20833333,2.606451613,13.09027778
