location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Indiana,62,18,Ind.,6696893,9.26,2022/8/4,2:24 PM,7507,0,8/4/2022,22.24949495,11.17059574,24.47916667,29.51289683,21.60119048,4.412727273,7.91170635
Indiana,68,18,Ind.,6696893,10.15,2022/8/5,7:51 PM,7507,6,8/5/2022,22.11515151,1.53924,24.93948413,30.26686508,21.00992063,3.427272727,9.256944445
Indiana,68,18,Ind.,6696893,10.15,2022/8/6,7:58 PM,7507,0,8/6/2022,23.61414141,0.434109091,26.73115079,32.58730159,21.45734127,4.752727273,11.12996032
Indiana,68,18,Ind.,6696893,10.15,2022/8/7,8:02 PM,7507,0,8/7/2022,23.97530864,3.595843137,26.80505051,31.75858586,23.01313131,5.374074074,8.745454545
Indiana,77,18,Ind.,6696893,11.5,2022/8/8,8:09 PM,8931,9,8/8/2022,23.68787879,8.2296,26.25198413,30.37202381,22.69742064,5.965454545,7.674603175
Indiana,77,18,Ind.,6696893,11.5,2022/8/9,7:37 PM,9489,0,8/9/2022,19.45656566,6.432826087,22.44940476,27.01686508,18.98015873,4.921818182,8.036706349
Indiana,77,18,Ind.,6696893,11.5,2022/8/10,7:52 PM,9489,0,8/10/2022,17.42626263,1.293518519,21.60813492,27.59722222,15.91964286,3.070909091,11.67757937
Indiana,77,18,Ind.,6696893,11.5,2022/8/11,7:59 PM,10389,0,8/11/2022,17.7979798,0.108185185,22.2609127,28.22718254,16.39186508,3.796363636,11.83531746
Indiana,77,18,Ind.,6696893,11.5,2022/8/12,7:51 PM,10389,0,8/12/2022,15.44848485,0.353607843,20.51686508,25.91269841,14.32936508,4.189090909,11.58333333
Indiana,77,18,Ind.,6696893,11.5,2022/8/13,8:05 PM,10389,0,8/13/2022,16.00505051,0.043961538,20.91865079,27.35714286,15.03373016,4.910909091,12.3234127
Indiana,77,18,Ind.,6696893,11.5,2022/8/14,8:17 PM,10389,0,8/14/2022,19.28080808,0.730897959,22.84821429,27.1656746,19.33829365,5.976363636,7.827380952
Indiana,77,18,Ind.,6696893,11.5,2022/8/15,8:12 PM,10389,0,8/15/2022,18.39384921,0.124603774,21.72124756,26.15789474,18.27777778,5.617857143,7.880116959
Indiana,77,18,Ind.,6696893,11.5,2022/8/16,8:22 PM,10389,0,8/16/2022,17.21428571,0.34036,21.49512671,26.98148148,16.85867446,4.123214286,10.12280702
Indiana,101,18,Ind.,6696893,15.08,2022/8/17,8:24 PM,13514,24,8/17/2022,15.84325397,0.752763636,20.85477583,27.63937622,14.2251462,3.746428571,13.41423002
Indiana,102,18,Ind.,6696893,15.23,2022/8/18,8:13 PM,14112,1,8/18/2022,15.9593254,0.045357143,21.19493177,28.27582846,14.09844055,1.930357143,14.17738791
Indiana,102,18,Ind.,6696893,15.23,2022/8/19,8:04 PM,14112,0,8/19/2022,16.8128655,0.004703704,21.84003831,28.94157088,15.21264368,4.059649123,13.7289272
Indiana,102,18,Ind.,6696893,15.23,2022/8/20,8:09 PM,14112,0,8/20/2022,18.5662768,8.94588,22.06226054,27.91091954,17.66570881,5.266666667,10.24521073
Indiana,102,18,Ind.,6696893,15.23,2022/8/21,8:18 PM,14112,0,8/21/2022,19.10233918,10.16529167,21.73467433,26.67911877,17.6848659,4.31754386,8.994252873
Indiana,107,18,Ind.,6696893,15.98,2022/8/22,8:33 PM,15430,5,8/22/2022,17.74007937,0.155964912,21.62670565,27.73684211,15.92690058,3.067857143,11.80994152
Indiana,134,18,Ind.,6696893,20.01,2022/8/23,8:30 PM,15906,27,8/23/2022,16.55357143,0.008912281,21.44152047,28.1208577,14.92300195,1.810714286,13.19785575
Indiana,137,18,Ind.,6696893,20.46,2022/8/24,8:29 PM,16600,3,8/24/2022,16.54166667,0,21.64717349,28.76900585,14.78849903,1.742857143,13.98050682
Indiana,141,18,Ind.,6696893,21.05,2022/8/25,8:37 PM,16923,4,8/25/2022,18.36805556,1.740958333,22.3128655,29.12865497,16.52339181,3.732142857,12.60526316
Indiana,147,18,Ind.,6696893,21.95,2022/8/26,8:23 PM,17429,6,8/26/2022,19.46924603,1.7145,22.95516569,28.40740741,18.00584795,3.207142857,10.40155945
Indiana,147,18,Ind.,6696893,21.95,2022/8/27,8:22 PM,17429,0,8/27/2022,18.25892857,0.040105263,22.2797271,29.44931774,15.94736842,3.082142857,13.50194932
Indiana,147,18,Ind.,6696893,21.95,2022/8/28,8:31 PM,17429,0,8/28/2022,20.60218254,1.369391304,24.59161793,31.708577,19.16276803,6.308928571,12.54580897
Indiana,162,18,Ind.,6696893,24.19,2022/8/29,8:38 PM,18098,15,8/29/2022,22.5218254,7.440341463,25.30701754,31.17153996,21.29727095,6.851785714,9.874269006
Indiana,162,18,Ind.,6696893,24.19,2022/8/30,8:51 PM,18414,0,8/30/2022,17.89484127,8.511591837,23.20175439,28.4337232,18.31384016,6.214285714,10.11988304
Indiana,153,18,Ind.,6696893,22.85,2022/8/31,8:28 PM,18986,0,8/31/2022,15.02339181,0.24962069,20.79885057,28.35249042,13.64559387,3.59122807,14.70689655
Indiana,169,18,Ind.,6696893,25.24,2022/9/1,8:33 PM,19462,16,9/1/2022,17.02678571,0.062385965,21.88499025,29.11988304,14.84795322,3.096428571,14.27192982
Indiana,172,18,Ind.,6696893,25.68,2022/9/2,8:24 PM,19959,3,9/2/2022,18.54385965,0.062385965,22.46551724,28.31800766,17.12260536,3.661403509,11.1954023
