location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Iowa,11,19,Iowa,3150011,3.49,2022/8/4,2:24 PM,7507,0,8/4/2022,17.81321839,0.374542373,23.5960452,30.50094162,16.08286252,5.19137931,14.4180791
Iowa,12,19,Iowa,3150011,3.81,2022/8/5,7:51 PM,7507,1,8/5/2022,19.00862069,0,23.97645951,31.87193974,16.6346516,5.524137931,15.23728814
Iowa,12,19,Iowa,3150011,3.81,2022/8/6,7:58 PM,7507,0,8/6/2022,23.08429119,0,27.26741996,34.29096045,21.6826742,7.151724138,12.60828625
Iowa,12,19,Iowa,3150011,3.81,2022/8/7,8:02 PM,7507,0,8/7/2022,23.58089669,8.980714286,26.77024482,32.1393597,23.20715631,6.444827586,8.93220339
Iowa,13,19,Iowa,3150011,4.13,2022/8/8,8:09 PM,8931,1,8/8/2022,19.75191571,8.323791667,23.20150659,28.72222222,18.73258004,8.19137931,9.989642185
Iowa,13,19,Iowa,3150011,4.13,2022/8/9,7:37 PM,9489,0,8/9/2022,15.61206897,0.891152542,20.31544256,27.77212806,13.01694915,3.093103448,14.75517891
Iowa,13,19,Iowa,3150011,4.13,2022/8/10,7:52 PM,9489,0,8/10/2022,16.80172414,0,22.19114878,30.42937853,13.87853107,2.427586207,16.55084746
Iowa,13,19,Iowa,3150011,4.13,2022/8/11,7:59 PM,10389,0,8/11/2022,18.48659004,0.607785714,23.12335217,30.24199623,16.34557439,3.613793103,13.89642185
Iowa,13,19,Iowa,3150011,4.13,2022/8/12,7:51 PM,10389,0,8/12/2022,17.70785441,0.747622642,22.56967985,28.0433145,18.13370998,8.112068966,9.90960452
Iowa,13,19,Iowa,3150011,4.13,2022/8/13,8:05 PM,10389,0,8/13/2022,19.02203065,0.641927273,23.71939736,30.41713748,19.18173258,8.920689655,11.2354049
Iowa,13,19,Iowa,3150011,4.13,2022/8/14,8:17 PM,10389,0,8/14/2022,17.73180077,0.042333333,21.15065913,26.27589454,17.57909605,6.563793103,8.696798493
Iowa,13,19,Iowa,3150011,4.13,2022/8/15,8:12 PM,10389,0,8/15/2022,17.54693487,1.016,19.60546139,23.50376648,15.88418079,4.665517241,7.619585687
Iowa,13,19,Iowa,3150011,4.13,2022/8/16,8:22 PM,10389,0,8/16/2022,17.09770115,4.595627907,20.21468927,26.63276836,15.65254237,4.751724138,10.98022599
Iowa,15,19,Iowa,3150011,4.76,2022/8/17,8:24 PM,13514,2,8/17/2022,15.45114942,0.048172414,20.74387947,27.53578154,13.83709981,2.767241379,13.69868173
Iowa,15,19,Iowa,3150011,4.76,2022/8/18,8:13 PM,14112,0,8/18/2022,16.28070175,0,21.30555556,28.84386973,14.10153257,4.236842105,14.74233716
