location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Kentucky,8,21,Ky.,4461952,1.79,2022/8/4,2:24 PM,7507,0,8/4/2022,20.72222222,1.148521739,26.02430556,31.69097222,21.46527778,4.23,10.22569444
Kentucky,9,21,Ky.,4461952,2.02,2022/8/5,7:51 PM,7507,1,8/5/2022,21.27962963,3.894666667,24.20138889,29.23611111,21.515625,3.366666667,7.720486111
Kentucky,9,21,Ky.,4461952,2.02,2022/8/6,7:58 PM,7507,0,8/6/2022,21.57777778,6.965461538,24.80034722,30.50173611,21.32986111,3.92,9.171875
Kentucky,9,21,Ky.,4461952,2.02,2022/8/7,8:02 PM,7507,0,8/7/2022,21.03148148,5.275384615,24.90104167,31.60069444,20.66666667,3.686666667,10.93402778
Kentucky,11,21,Ky.,4461952,2.47,2022/8/8,8:09 PM,8931,2,8/8/2022,21.27592593,1.159933333,25.65104167,32.15972222,20.75347222,4.05,11.40625
Kentucky,10,21,Ky.,4461952,2.24,2022/8/9,7:37 PM,9489,0,8/9/2022,21.73518519,0.807357143,26.26388889,31.84201389,21.44270833,4.29,10.39930556
Kentucky,10,21,Ky.,4461952,2.24,2022/8/10,7:52 PM,9489,0,8/10/2022,21.44074074,3.6576,24.10069444,30.21354167,21.29513889,3.116666667,8.918402778
Kentucky,10,21,Ky.,4461952,2.24,2022/8/11,7:59 PM,10389,0,8/11/2022,19.8962963,9.724571429,23.99826389,29.31597222,20.65277778,2.966666667,8.663194445
Kentucky,10,21,Ky.,4461952,2.24,2022/8/12,7:51 PM,10389,0,8/12/2022,16.38148148,0.778387097,22.44097222,27.75347222,18.16666667,4.616666667,9.586805555
Kentucky,10,21,Ky.,4461952,2.24,2022/8/13,8:05 PM,10389,0,8/13/2022,14.49808429,0.03175,20.61979167,27.90104167,13.79861111,2.383333333,14.10243056
Kentucky,10,21,Ky.,4461952,2.24,2022/8/14,8:17 PM,10389,0,8/14/2022,17.0537037,0.03762963,22.30208333,28.89930556,16.01215278,3.45,12.88715278
Kentucky,10,21,Ky.,4461952,2.24,2022/8/15,8:12 PM,10389,0,8/15/2022,19.16851852,0.324068966,23.11979167,27.921875,19.13020833,3.586666667,8.791666667
Kentucky,10,21,Ky.,4461952,2.24,2022/8/16,8:22 PM,10389,0,8/16/2022,17.26666667,0.12262069,21.84722222,26.97395833,17.95833333,3.17,9.015625001
