location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Louisiana,58,22,La.,4664616,12.43,2022/8/4,2:24 PM,7507,0,8/4/2022,23.503367,10.47931429,26.76151762,32.4295393,23.46070461,3.235135135,8.968834689
Louisiana,74,22,La.,4664616,15.86,2022/8/5,7:51 PM,7507,16,8/5/2022,23.10620915,4.378157895,27.09920635,32.7989418,23.64021164,4.284210526,9.158730157
Louisiana,74,22,La.,4664616,15.86,2022/8/6,7:58 PM,7507,0,8/6/2022,23.31862745,1.6764,27.57142857,32.99603175,23.8042328,4.505263158,9.191798941
Louisiana,74,22,La.,4664616,15.86,2022/8/7,8:02 PM,7507,0,8/7/2022,23.35130719,0.805542857,27.74867725,33.9510582,23.60978836,3.360526316,10.34126984
Louisiana,83,22,La.,4664616,17.79,2022/8/8,8:09 PM,8931,9,8/8/2022,22.76470588,0.995947368,27.54232804,34.00132275,23.1468254,2.723684211,10.85449735
Louisiana,88,22,La.,4664616,18.87,2022/8/9,7:37 PM,9489,5,8/9/2022,23.10784314,2.972486486,27.27116402,32.98148148,23.49603175,3.076315789,9.485449735
Louisiana,88,22,La.,4664616,18.87,2022/8/10,7:52 PM,9489,0,8/10/2022,22.99183007,9.555891892,26.06481481,31.69047619,23.13756614,2.681578947,8.552910053
Louisiana,92,22,La.,4664616,19.72,2022/8/11,7:59 PM,10389,4,8/11/2022,23.0996732,13.05010811,25.85846561,31.1031746,22.94708995,2.723684211,8.156084655
Louisiana,92,22,La.,4664616,19.72,2022/8/12,7:51 PM,10389,0,8/12/2022,23.19444444,2.66065,26.58994709,31.84126984,23.16534392,3.886842105,8.675925925
Louisiana,92,22,La.,4664616,19.72,2022/8/13,8:05 PM,10389,0,8/13/2022,23.19444444,2.065421053,27.01190476,32.35582011,23.53835979,3.910526316,8.817460317
Louisiana,92,22,La.,4664616,19.72,2022/8/14,8:17 PM,10389,0,8/14/2022,23.1127451,2.34795122,27.86640212,33.65608466,23.54761905,2.802631579,10.10846561
Louisiana,92,22,La.,4664616,19.72,2022/8/15,8:12 PM,10389,0,8/15/2022,23.08660131,0.1016,28.86375661,34.71560847,24.15343915,2.581578947,10.56216931
Louisiana,92,22,La.,4664616,19.72,2022/8/16,8:22 PM,10389,0,8/16/2022,23.33333333,0.03097561,29.43902439,34.96070461,24.74661247,3.6,10.21409214
Louisiana,120,22,La.,4664616,25.73,2022/8/17,8:24 PM,13514,28,8/17/2022,23.34511785,0.006195122,29.1598916,34.74661247,24.88346883,4.127027027,9.863143632
Louisiana,127,22,La.,4664616,27.23,2022/8/18,8:13 PM,14112,7,8/18/2022,23.65656566,1.893454545,27.38753388,31.77100271,24.06097561,4.210810811,7.7100271
Louisiana,127,22,La.,4664616,27.23,2022/8/19,8:04 PM,14112,0,8/19/2022,22.92698413,6.985,26.44315245,31.64341085,23.46124031,2.6,8.182170542
Louisiana,127,22,La.,4664616,27.23,2022/8/20,8:09 PM,14112,0,8/20/2022,23.29206349,6.403473684,26.17054264,31.49870801,23.37209302,2.915384615,8.126614987
Louisiana,127,22,La.,4664616,27.23,2022/8/21,8:18 PM,14112,0,8/21/2022,23.90952381,6.523789474,26.72222222,32.14341085,23.75839793,3.161538462,8.38501292
Louisiana,146,22,La.,4664616,31.3,2022/8/22,8:33 PM,15430,19,8/22/2022,23.95873016,9.184105263,26.2377261,30.39147287,24.04263566,3.238461538,6.348837209
Louisiana,151,22,La.,4664616,32.37,2022/8/23,8:30 PM,15906,5,8/23/2022,23.74603175,22.70626316,25.82945736,29.92635659,23.4625323,4.346153846,6.463824288
Louisiana,155,22,La.,4664616,33.23,2022/8/24,8:29 PM,16600,4,8/24/2022,23.67460317,19.8445641,25.45736434,29.05684755,23.66795866,4.282051282,5.388888889
Louisiana,157,22,La.,4664616,33.66,2022/8/25,8:37 PM,16923,2,8/25/2022,23.80952381,10.81505263,26.12273902,30.31912145,23.82816538,3.538461538,6.490956072
Louisiana,162,22,La.,4664616,34.73,2022/8/26,8:23 PM,17429,5,8/26/2022,23.71269841,12.13184211,26.08527132,30.28423773,23.7622739,3.094871795,6.521963824
Louisiana,162,22,La.,4664616,34.73,2022/8/27,8:22 PM,17429,0,8/27/2022,23.81269841,5.128054054,26.55813953,31.2751938,23.68604651,2.551282051,7.589147286
Louisiana,162,22,La.,4664616,34.73,2022/8/28,8:31 PM,17429,0,8/28/2022,23.95396825,3.262923077,27.35400517,32.63307494,23.9754522,3.653846154,8.65762274
Louisiana,176,22,La.,4664616,37.73,2022/8/29,8:38 PM,18098,14,8/29/2022,24.01111111,2.894263158,27.34496124,32.78940568,24.00775194,3.433333333,8.781653747
Louisiana,183,22,La.,4664616,39.23,2022/8/30,8:51 PM,18414,7,8/30/2022,24.1,3.675944444,27.55813953,33.67958656,24.07881137,1.974358974,9.600775193
Louisiana,183,22,La.,4664616,39.23,2022/8/31,8:28 PM,18986,0,8/31/2022,23.25714286,3.449052632,27.45478036,33.96124031,23.14470284,3.151282051,10.81653747
Louisiana,185,22,La.,4664616,39.66,2022/9/1,8:33 PM,19462,2,9/1/2022,23.54444444,0.527538462,28.43023256,33.71059432,24.21188631,2.430769231,9.49870801
Louisiana,185,22,La.,4664616,39.66,2022/9/2,8:24 PM,19959,0,9/2/2022,22.89365079,2.105526316,27.14341085,32.87855297,23.41989664,2.071794872,9.458656331
Louisiana,185,22,La.,4664616,39.66,2022/9/3,8:30 PM,19959,0,9/3/2022,23.38562092,4.311315789,25.88095238,30.4021164,23.52645503,2.226315789,6.875661375
Louisiana,185,22,La.,4664616,39.66,2022/9/4,8:35 PM,19959,0,9/4/2022,22.97979798,8.258432432,25.10162602,28.10569106,23.02710027,2.402702703,5.078590785
Louisiana,185,22,La.,4664616,39.66,2022/9/5,8:41 PM,19959,0,9/5/2022,22.79248366,0.833641026,25.62433862,30.30555556,22.84259259,2.247368421,7.462962962
Louisiana,198,22,La.,4664616,42.45,2022/9/6,8:40 PM,20730,13,9/6/2022,22.94934641,0.418756757,26.23544973,30.5542328,23.32804233,1.981578947,7.226190475
Louisiana,198,22,La.,4664616,42.45,2022/9/7,8:32 PM,21271,0,9/7/2022,22.15396825,2.194820513,26.05297158,31.71447028,22.0749354,2.835897436,9.639534884
Louisiana,204,22,La.,4664616,43.73,2022/9/8,8:28 PM,21501,6,9/8/2022,20.64603175,4.01955,24.68346253,30.74806202,20.74677003,3.720512821,10.00129199
Louisiana,211,22,La.,4664616,45.23,2022/9/9,8:32 PM,21891,7,9/9/2022,19.48253968,1.592146341,24.58010336,30.56459948,19.93023256,2.692307692,10.63436692
Louisiana,211,22,La.,4664616,45.23,2022/9/10,8:29 PM,21891,0,9/10/2022,20.52063492,2.02565,24.62919897,30.72868217,20.59689922,2.194871795,10.13178295
Louisiana,211,22,La.,4664616,45.23,2022/9/11,8:46 PM,21891,0,9/11/2022,21.46190476,1.221619048,25.95865633,31.95090439,21.35271318,2.630769231,10.59819122
Louisiana,211,22,La.,4664616,45.23,2022/9/12,8:40 PM,21982,0,9/12/2022,19.91358025,0.371707317,25.47979798,30.23737374,21.13510101,3.7275,9.102272727
Louisiana,218,22,La.,4664616,46.73,2022/9/13,8:35 PM,22627,7,9/13/2022,15.93055556,0.129953488,23.19570707,29.57323232,17.37373737,3.575,12.19949495
Louisiana,219,22,La.,4664616,46.95,2022/9/14,8:42 PM,22771,1,9/14/2022,15.27006173,0,22.89520202,30.11237374,16.61237374,3.7,13.5
Louisiana,219,22,La.,4664616,46.95,2022/9/15,6:41 AM,22771,0,9/15/2022,16.6558642,0,23.6010101,31.04545455,17.24873737,2.98,13.79671717
Louisiana,230,22,La.,4664616,49.31,2022/9/16,8:22 PM,23496,11,9/16/2022,18.58950617,0,24.8510101,32.0959596,18.65530303,3.0075,13.44065657
Louisiana,230,22,La.,4664616,49.31,2022/9/17,8:43 PM,23496,0,9/17/2022,20.54166667,0.06195122,26.04292929,32.29924242,20.71338384,3.8975,11.58585859
Louisiana,230,22,La.,4664616,49.31,2022/9/18,8:45 PM,23496,0,9/18/2022,21.91358025,0.05715,26.79292929,33.11111111,21.77020202,3.165,11.34090909
Louisiana,234,22,La.,4664616,50.16,2022/9/19,8:34 PM,23890,4,9/19/2022,22.27623457,1.394046512,27.21212121,33.59343434,22.10606061,1.99,11.48737374
Louisiana,234,22,La.,4664616,50.16,2022/9/20,8:45 PM,24200,0,9/20/2022,21.2191358,0,27.02777778,33.61489899,21.63762626,2.13,11.97727273
Louisiana,234,22,La.,4664616,50.16,2022/9/21,8:31 PM,24361,0,9/21/2022,21.11111111,0,27.23484849,34.85479798,21.34974747,2.0225,13.5050505
Louisiana,240,22,La.,4664616,51.45,2022/9/22,8:39 PM,24569,6,9/22/2022,21.62345679,0.129953488,28.18434343,35.26388889,22.30176768,2.55,12.96212121
Louisiana,243,22,La.,4664616,52.09,2022/9/23,8:37 PM,24843,3,9/23/2022,19.96141975,0,27.00757576,33.49368687,21.63888889,3.55,11.85479798
Louisiana,243,22,La.,4664616,52.09,2022/9/24,8:33 PM,24843,0,9/24/2022,21.10634921,0,27.31007752,34.24289406,21.55813953,2.161538462,12.68475452
Louisiana,243,22,La.,4664616,52.09,2022/9/25,8:46 PM,24843,0,9/25/2022,20.75079365,0,27.49870801,34.27131783,21.84496124,2.348717949,12.42635659
Louisiana,247,22,La.,4664616,52.95,2022/9/26,8:27 PM,25159,4,9/26/2022,18.22839506,0.132772727,26.44318182,32.08459596,22.04924242,4.425,10.03535354
Louisiana,247,22,La.,4664616,52.95,2022/9/27,8:34 PM,25338,0,9/27/2022,10.44290123,0.103909091,22.05176768,29.27777778,15,6.385,14.27777778
