location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Maine,2,23,Maine,1340825,1.49,2022/8/4,2:24 PM,7507,0,8/4/2022,17.61988304,0,22.34057971,29.71014493,15.14734299,4.83,14.56280193
Maine,2,23,Maine,1340825,1.49,2022/8/5,7:51 PM,7507,0,8/5/2022,19.55263158,0.588818182,23.852657,29.97101449,17.37439613,3.095,12.59661836
Maine,2,23,Maine,1340825,1.49,2022/8/6,7:58 PM,7507,0,8/6/2022,18.31578947,0.392545455,22.71980676,29.68115942,16.34541063,3.775,13.33574879
Maine,2,23,Maine,1340825,1.49,2022/8/7,8:02 PM,7507,0,8/7/2022,21.20467836,0.381,25.48309179,32.04589372,19.59661836,5.36,12.44927536
Maine,2,23,Maine,1340825,1.49,2022/8/8,8:09 PM,8931,0,8/8/2022,17.30409357,3.244272727,20.3236715,27.35024155,16.26086957,4.99,11.08937198
Maine,2,23,Maine,1340825,1.49,2022/8/9,7:37 PM,9489,0,8/9/2022,16.46296296,15.86345455,17.61835749,23.92512077,15.14975845,4.96,8.775362319
Maine,2,23,Maine,1340825,1.49,2022/8/10,7:52 PM,9489,0,8/10/2022,15.4005848,1.645478261,17.70772947,21.46618357,15.00241546,3.27,6.463768116
Maine,3,23,Maine,1340825,2.24,2022/8/11,7:59 PM,10389,1,8/11/2022,16.38596491,0.334818182,19.12077295,23.70048309,14.85748792,3.025,8.84299517
Maine,3,23,Maine,1340825,2.24,2022/8/12,7:51 PM,10389,0,8/12/2022,14.75146199,2.805043478,18.98309179,24.47584541,14.85748792,4.135,9.618357488
Maine,3,23,Maine,1340825,2.24,2022/8/13,8:05 PM,10389,0,8/13/2022,12.08187134,0,17.7826087,24.2705314,11.98067633,3.275,12.28985507
Maine,3,23,Maine,1340825,2.24,2022/8/14,8:17 PM,10389,0,8/14/2022,13.50584795,0.209826087,19.23671498,25.45652174,12.42512077,3.215,13.03140097
Maine,3,23,Maine,1340825,2.24,2022/8/15,8:12 PM,10389,0,8/15/2022,13.19298246,0.618434783,18.93961353,26.48067633,11.55555556,2.345,14.92512077
Maine,3,23,Maine,1340825,2.24,2022/8/16,8:22 PM,10389,0,8/16/2022,13.91520468,0.034636364,19.60386473,26.98309179,11.88647343,3.505,15.09661836
Maine,3,23,Maine,1340825,2.24,2022/8/17,8:24 PM,13514,0,8/17/2022,14.54678362,2.588380952,17.89371981,24.99275362,13.67149758,6.845,11.32125604
Maine,3,23,Maine,1340825,2.24,2022/8/18,8:13 PM,14112,0,8/18/2022,15.28070175,17.1147619,17.09903382,21.12318841,14.52415459,6.65,6.599033817
Maine,3,23,Maine,1340825,2.24,2022/8/19,8:04 PM,14112,0,8/19/2022,14.71637427,2.363304348,20.34299517,26.91304348,15.33574879,5.39,11.57729469
Maine,3,23,Maine,1340825,2.24,2022/8/20,8:09 PM,14112,0,8/20/2022,14.83333333,0.099391304,21.55072464,29.67149758,13.66908213,3.16,16.00241546
Maine,3,23,Maine,1340825,2.24,2022/8/21,8:18 PM,14112,0,8/21/2022,16.57894737,0.022086957,21.42270531,29.42753623,13.65700483,3.32,15.7705314
Maine,5,23,Maine,1340825,3.73,2022/8/22,8:33 PM,15430,2,8/22/2022,16.72222222,0.831272727,19.96618357,27.84299517,14.9589372,3.965,12.88405797
Maine,5,23,Maine,1340825,3.73,2022/8/23,8:30 PM,15906,0,8/23/2022,17.59064327,11.45419048,19.76328503,25.20289855,16.17391304,4.69,9.028985507
Maine,5,23,Maine,1340825,3.73,2022/8/24,8:29 PM,16600,0,8/24/2022,17.66975309,1.685636364,19.3647343,24.1763285,16.61594203,1.915,7.560386473
Maine,5,23,Maine,1340825,3.73,2022/8/25,8:37 PM,16923,0,8/25/2022,16.28362573,0.496454545,20.47342995,25.98067633,15.80917874,3.435,10.17149759
Maine,5,23,Maine,1340825,3.73,2022/8/26,8:23 PM,17429,0,8/26/2022,15.36842105,1.064380952,17.29227053,23.92270531,14.15217391,2.57,9.770531402
Maine,5,23,Maine,1340825,3.73,2022/8/27,8:22 PM,17429,0,8/27/2022,14.35672515,7.94026087,17.52173913,22.24396135,13.80917874,3.81,8.434782609
Maine,5,23,Maine,1340825,3.73,2022/8/28,8:31 PM,17429,0,8/28/2022,13.28362573,0.06626087,17.08454106,24.16666667,10.67149758,2.73,13.49516908
Maine,5,23,Maine,1340825,3.73,2022/8/29,8:38 PM,18098,0,8/29/2022,16.96604938,0,19.94191919,27.16919192,11.43181818,4.489473684,15.73737374
Maine,5,23,Maine,1340825,3.73,2022/8/30,8:51 PM,18414,0,8/30/2022,20.33024691,0,23.27020202,28.55808081,15.52272727,6.647368421,13.03535354
Maine,5,23,Maine,1340825,3.73,2022/8/31,8:28 PM,18986,0,8/31/2022,18.47058823,11.3792,21.13492063,27.22222222,17.46825397,5.994444444,9.753968255
Maine,5,23,Maine,1340825,3.73,2022/9/1,8:33 PM,19462,0,9/1/2022,11.44444445,4.293809524,17.08994709,24.10582011,12.26719577,5.561111111,11.83862434
Maine,7,23,Maine,1340825,5.22,2022/9/2,8:24 PM,19959,2,9/2/2022,7.852941177,0.036285714,14.84391534,22.0026455,7.621693122,3.85,14.38095238
Maine,7,23,Maine,1340825,5.22,2022/9/3,8:30 PM,19959,0,9/3/2022,11.79738562,0,16.02645503,23.57142857,8.275132275,3.55,15.2962963
Maine,7,23,Maine,1340825,5.22,2022/9/4,8:35 PM,19959,0,9/4/2022,14.21895425,0.012095238,17.18783069,24.33862434,10.05026455,3.561111111,14.28835979
Maine,7,23,Maine,1340825,5.22,2022/9/5,8:41 PM,19959,0,9/5/2022,12.74183006,1.9685,14.81216931,22.05026455,10.70899471,4.555555556,11.34126984
Maine,7,23,Maine,1340825,5.22,2022/9/6,8:40 PM,20730,0,9/6/2022,13.29513889,13.4366,15.2037037,18.85978836,11.76190476,4.005555556,7.097883597
Maine,7,23,Maine,1340825,5.22,2022/9/7,8:32 PM,21271,0,9/7/2022,12.41049383,1.835727273,16.1489899,22.19191919,10.26262626,1.663157895,11.92929293
Maine,7,23,Maine,1340825,5.22,2022/9/8,8:28 PM,21501,0,9/8/2022,12.07407408,0.108857143,15.7020202,22.84090909,9.189393939,1.736842105,13.65151515
Maine,7,23,Maine,1340825,5.22,2022/9/9,8:32 PM,21891,0,9/9/2022,13.05864198,0.023090909,16.76010101,25.32323232,9.464646464,1.510526316,15.85858586
Maine,7,23,Maine,1340825,5.22,2022/9/10,8:29 PM,21891,0,9/10/2022,15.44444444,0,19.3994709,26.85185185,10.30687831,2.077777778,16.54497355
Maine,7,23,Maine,1340825,5.22,2022/9/11,8:46 PM,21891,0,9/11/2022,16.61111111,0,20.10582011,27.28571429,13.03174603,1.883333333,14.25396825
Maine,7,23,Maine,1340825,5.22,2022/9/12,8:40 PM,21982,0,9/12/2022,17.49382716,0,21.13636364,26.74747475,15.28535354,2.194736842,11.46212121
Maine,7,23,Maine,1340825,5.22,2022/9/13,8:35 PM,22627,0,9/13/2022,16.89869281,0.012095238,18.36616162,24.83585859,14.67424242,2.105263158,10.16161616
Maine,7,23,Maine,1340825,5.22,2022/9/14,8:42 PM,22771,0,9/14/2022,15.94753086,3.035904762,19.73989899,24.44444444,15.06565657,7.252631579,9.378787879
Maine,7,23,Maine,1340825,5.22,2022/9/15,6:41 AM,22771,0,9/15/2022,5.604938272,1.835727273,14.26515152,22.63888889,10.07828283,9.547368421,12.56060606
Maine,9,23,Maine,1340825,6.71,2022/9/16,8:22 PM,23496,2,9/16/2022,3.685185185,0,12.10606061,17.57575758,7.28030303,7.636842105,10.29545455
Maine,9,23,Maine,1340825,6.71,2022/9/17,8:43 PM,23496,0,9/17/2022,4.358024691,0,11.86616162,19.14646465,4.752525252,4.826315789,14.39393939
Maine,9,23,Maine,1340825,6.71,2022/9/18,8:45 PM,23496,0,9/18/2022,9.99074074,0.8255,13.72474747,20.27525253,6.616161616,4.131578947,13.65909091
Maine,9,23,Maine,1340825,6.71,2022/9/19,8:34 PM,23890,0,9/19/2022,8.700617283,6.7691,11.32828283,15.72222222,7.568181818,3.242105263,8.154040404
Maine,9,23,Maine,1340825,6.71,2022/9/20,8:45 PM,24200,0,9/20/2022,9.913580247,16.0655,11.32828283,14.65656566,8.330808081,6.757894737,6.325757576
Maine,9,23,Maine,1340825,6.71,2022/9/21,8:31 PM,24361,0,9/21/2022,10.52469136,3.440545455,12.87121212,17.57828283,9.426767677,4.1,8.151515152
Maine,9,23,Maine,1340825,6.71,2022/9/22,8:39 PM,24569,0,9/22/2022,13.59567901,3.3147,14.38131313,17.70959596,10.41414141,4.878947368,7.295454546
Maine,9,23,Maine,1340825,6.71,2022/9/23,8:37 PM,24843,0,9/23/2022,5.895061728,20.99733333,10.46969697,16.01515152,6.909090909,9.310526316,9.106060606
Maine,9,23,Maine,1340825,6.71,2022/9/24,8:33 PM,24843,0,9/24/2022,2.62345679,0,11.40909091,17.53030303,6.656565657,12.14210526,10.87373737
Maine,9,23,Maine,1340825,6.71,2022/9/25,8:46 PM,24843,0,9/25/2022,7.407407407,0.046181818,12.0959596,18.38383838,5.580808081,4.294736842,12.8030303
Maine,9,23,Maine,1340825,6.71,2022/9/26,8:27 PM,25159,0,9/26/2022,13.2962963,5.08,15.47474748,20.38636364,9.522727273,4.731578947,10.86363636
Maine,9,23,Maine,1340825,6.71,2022/9/27,8:34 PM,25338,0,9/27/2022,11.44135802,2.8575,14.79040404,20.25,9.949494949,4.773684211,10.30050505
Maine,9,23,Maine,1340825,6.71,2022/9/28,8:37 PM,25506,0,9/28/2022,9.830246913,0.048380952,13.07070707,19.81060606,7.648989899,3.363157895,12.16161616
Maine,9,23,Maine,1340825,6.71,2022/9/29,8:51 PM,25610,0,9/29/2022,6.972222222,0.196272727,11.63131313,18.21464646,6.752525252,5.2,11.46212121
Maine,9,23,Maine,1340825,6.71,2022/9/30,8:46 PM,25848,0,9/30/2022,3.583333333,0,8.648989899,17.08333333,1.396464646,2.631578947,15.68686869
Maine,9,23,Maine,1340825,6.71,2022/10/1,8:39 PM,25848,0,10/1/2022,6.62654321,0,10.08585859,17.42424243,1.967171717,2.315789474,15.45707071
Maine,9,23,Maine,1340825,6.71,2022/10/2,7:57 PM,25848,0,10/2/2022,1.533950617,0,8.911616162,15.77525253,3.308080808,8.363157895,12.46717172
