location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Maryland,157,24,Md.,6037624,26,2022/8/4,2:24 PM,7507,0,8/4/2022,14.31871345,8.312727273,19.22474748,25.04545455,13.93939394,3.891666667,11.10606061
Maryland,182,24,Md.,6037624,30.14,2022/8/5,7:51 PM,7507,25,8/5/2022,15.16374269,2.413,19.34848485,26.03535354,13.29040404,3.8625,12.7449495
Maryland,182,24,Md.,6037624,30.14,2022/8/6,7:58 PM,7507,0,8/6/2022,16.37426901,1.754909091,20.97979798,27.05050505,14.63636364,4.908333333,12.41414141
Maryland,182,24,Md.,6037624,30.14,2022/8/7,8:02 PM,7507,0,8/7/2022,15.7251462,2.374347826,20.20048309,27.06280193,14.30193237,5.936,12.76086956
Maryland,215,24,Md.,6037624,35.61,2022/8/8,8:09 PM,8931,33,8/8/2022,15.52631579,2.451652174,20.08937198,27.25362319,13.70531401,5.436,13.54830918
Maryland,219,24,Md.,6037624,36.27,2022/8/9,7:37 PM,9489,4,8/9/2022,15.85087719,0.795130435,19.79227053,26.30676329,14.03864734,5.124,12.26811594
Maryland,219,24,Md.,6037624,36.27,2022/8/10,7:52 PM,9489,0,8/10/2022,16.25,4.38426087,19.60869565,25.87681159,15.13768116,3.244,10.73913043
Maryland,236,24,Md.,6037624,39.09,2022/8/11,7:59 PM,10389,17,8/11/2022,14.975,1.778,19.43518519,24.61805556,14.16435185,4.848,10.4537037
Maryland,236,24,Md.,6037624,39.09,2022/8/12,7:51 PM,10389,0,8/12/2022,14.09444444,2.656416667,18.44444445,24.65046296,13.33101852,5.896,11.31944444
Maryland,236,24,Md.,6037624,39.09,2022/8/13,8:05 PM,10389,0,8/13/2022,13.05864197,4.075545455,17.83838384,24.13636364,13.3510101,4.330434783,10.78535354
Maryland,236,24,Md.,6037624,39.09,2022/8/14,8:17 PM,10389,0,8/14/2022,12.06481481,2.343727273,16.90151515,23.46464647,11.16161616,3.313043478,12.3030303
Maryland,236,24,Md.,6037624,39.09,2022/8/15,8:12 PM,10389,0,8/15/2022,14.14814815,0.889,18.00231481,24.58564815,11.38425926,3.604166667,13.20138889
Maryland,236,24,Md.,6037624,39.09,2022/8/16,8:22 PM,10389,0,8/16/2022,14.41520468,0.68072,18.77555556,25.16666667,12.43555556,5.34,12.73111111
Maryland,349,24,Md.,6037624,57.8,2022/8/17,8:24 PM,13514,113,8/17/2022,15.64327485,3.95224,19.94222222,26.58666667,14.41555556,3.556,12.17111111
Maryland,349,24,Md.,6037624,57.8,2022/8/18,8:13 PM,14112,0,8/18/2022,14.0497076,4.34848,19.56222222,25.74444444,13.86666667,2.812,11.87777778
Maryland,349,24,Md.,6037624,57.8,2022/8/19,8:04 PM,14112,0,8/19/2022,13.22530864,1.9685,18.71296296,25.21759259,12.78240741,3.35,12.43518519
Maryland,349,24,Md.,6037624,57.8,2022/8/20,8:09 PM,14112,0,8/20/2022,13.47530864,2.82575,19.34722222,25.84722222,12.56018518,3.533333333,13.28703704
Maryland,349,24,Md.,6037624,57.8,2022/8/21,8:18 PM,14112,0,8/21/2022,14.13398693,1.161142857,19.04830918,25.73429952,13.27777778,3.843478261,12.45652174
Maryland,379,24,Md.,6037624,62.77,2022/8/22,8:33 PM,15430,30,8/22/2022,14.21604938,4.25173913,18.52546296,25.00462963,12.62962963,3.983333333,12.375
Maryland,431,24,Md.,6037624,71.39,2022/8/23,8:30 PM,15906,52,8/23/2022,14.49691358,3.699565217,18.17874396,24.16425121,12.84541063,4.769565217,11.31884058
Maryland,447,24,Md.,6037624,74.04,2022/8/24,8:29 PM,16600,16,8/24/2022,14.84259259,3.39725,19.21990741,25.45833333,13.30555556,3.05,12.15277778
Maryland,453,24,Md.,6037624,75.03,2022/8/25,8:37 PM,16923,6,8/25/2022,14.32098765,0.529166667,19.39351852,25.62268519,13.92824074,2.308333333,11.69444444
Maryland,461,24,Md.,6037624,76.35,2022/8/26,8:23 PM,17429,8,8/26/2022,14.28395062,1.799166667,18.66666667,25.65509259,12.69675926,4.466666667,12.95833333
Maryland,461,24,Md.,6037624,76.35,2022/8/27,8:22 PM,17429,0,8/27/2022,14.44444444,0.519545455,18.95169082,25.48550725,12.88647343,3.22173913,12.59903382
Maryland,461,24,Md.,6037624,76.35,2022/8/28,8:31 PM,17429,0,8/28/2022,15,2.805043478,18.76570048,25.03864734,13.07246377,3.32173913,11.96618357
Maryland,484,24,Md.,6037624,80.16,2022/8/29,8:38 PM,18098,23,8/29/2022,15.32352941,1.489363636,19.24154589,25.68115942,13.31400966,4.465217391,12.36714976
Maryland,484,24,Md.,6037624,80.16,2022/8/30,8:51 PM,18414,0,8/30/2022,16.10457516,1.593272727,19.14734299,25.79227053,13.9057971,5.820833333,11.88647343
Maryland,484,24,Md.,6037624,80.16,2022/8/31,8:28 PM,18986,0,8/31/2022,15.48039216,3.74373913,19.65458937,25.37681159,14.3115942,6.275,11.06521739
Maryland,519,24,Md.,6037624,85.96,2022/9/1,8:33 PM,19462,35,9/1/2022,12.98039216,0.831272727,18.2173913,25.64492754,12.95652174,4.533333333,12.6884058
Maryland,534,24,Md.,6037624,88.45,2022/9/2,8:24 PM,19959,15,9/2/2022,12.82352941,2.816086957,18.27294686,24.07004831,12.0531401,4.175,12.01690821
Maryland,534,24,Md.,6037624,88.45,2022/9/3,8:30 PM,19959,0,9/3/2022,13.9869281,2.020454545,18.71717172,24.89646465,12.24494949,3.965217391,12.65151515
Maryland,534,24,Md.,6037624,88.45,2022/9/4,8:35 PM,19959,0,9/4/2022,15.51960784,2.1463,19.5479798,25.6540404,13.46717172,3.82173913,12.18686869
Maryland,534,24,Md.,6037624,88.45,2022/9/5,8:41 PM,19959,0,9/5/2022,14.83333333,2.842380952,18.36616162,24.46464647,13.3510101,4.439130435,11.11363636
Maryland,554,24,Md.,6037624,91.76,2022/9/6,8:40 PM,20730,20,9/6/2022,13.71568627,2.874818182,17.26328502,23.0531401,12.94927536,5.320833333,10.10386473
Maryland,559,24,Md.,6037624,92.59,2022/9/7,8:32 PM,21271,5,9/7/2022,12.98039216,2.493818182,17.26328502,23.08937198,11.85748792,4.929166667,11.23188406
Maryland,570,24,Md.,6037624,94.41,2022/9/8,8:28 PM,21501,11,9/8/2022,13.7875817,1.192695652,17.67391304,23.4057971,11.79710145,4.608333333,11.60869565
Maryland,571,24,Md.,6037624,94.57,2022/9/9,8:32 PM,21891,1,9/9/2022,13.02287582,3.394363636,17.33091788,23.66908213,11.02898551,3.479166667,12.64009662
Maryland,571,24,Md.,6037624,94.57,2022/9/10,8:29 PM,21891,0,9/10/2022,12.66993464,2.7178,17.22486772,23.64021164,11.37830688,3.695454545,12.26190476
Maryland,571,24,Md.,6037624,94.57,2022/9/11,8:46 PM,21891,0,9/11/2022,12.68627451,0.290285714,17.44973545,23.76984127,11.67460317,4.990909091,12.0952381
Maryland,571,24,Md.,6037624,94.57,2022/9/12,8:40 PM,21982,0,9/12/2022,13.26143791,1.697181818,17.8647343,23.92995169,11.57487923,2.683333333,12.35507246
Maryland,591,24,Md.,6037624,97.89,2022/9/13,8:35 PM,22627,20,9/13/2022,13.86928105,3.486727273,17.99033816,24.53140097,11.54347826,4.904166667,12.98792271
Maryland,598,24,Md.,6037624,99.05,2022/9/14,8:42 PM,22771,7,9/14/2022,13.68954248,0.819727273,18.01690821,24.52898551,11.95410628,5.088,12.57487923
Maryland,598,24,Md.,6037624,99.05,2022/9/15,6:41 AM,22771,0,9/15/2022,12.7037037,1.976782609,17.60869565,24.67391304,11.80917874,4.324,12.8647343
Maryland,609,24,Md.,6037624,100.87,2022/9/16,8:22 PM,23496,11,9/16/2022,11.86728395,2.915478261,17.51932367,24.67149758,11.26570048,2.06,13.4057971
Maryland,609,24,Md.,6037624,100.87,2022/9/17,8:43 PM,23496,0,9/17/2022,12.9691358,1.403047619,17.53787879,24.53282828,10.70707071,2.679166667,13.82575758
Maryland,609,24,Md.,6037624,100.87,2022/9/18,8:45 PM,23496,0,9/18/2022,12.11111111,0.565727273,16.65909091,22.68939394,11.88636364,3.616666667,10.8030303
Maryland,621,24,Md.,6037624,102.86,2022/9/19,8:34 PM,23890,12,9/19/2022,13.58024691,1.985818182,18.11594203,24.70772947,12.86956522,3.728,11.83816425
Maryland,625,24,Md.,6037624,103.52,2022/9/20,8:45 PM,24200,4,9/20/2022,12.42901234,2.886363636,17.57487923,24.02415459,12.20289855,4.368,11.82125604
Maryland,631,24,Md.,6037624,104.51,2022/9/21,8:31 PM,24361,6,9/21/2022,11.80902778,3.8608,16.88888889,22.90740741,11.26190476,2.595652174,11.64550265
Maryland,637,24,Md.,6037624,105.51,2022/9/22,8:39 PM,24569,6,9/22/2022,10.61764706,1.4097,16.36616162,22.67424243,11.20959596,7.758333333,11.46464647
Maryland,636,24,Md.,6037624,105.34,2022/9/23,8:37 PM,24843,0,9/23/2022,11.17647059,3.175,16.38383839,22.16666667,11.12626263,11.11666667,11.04040404
Maryland,636,24,Md.,6037624,105.34,2022/9/24,8:33 PM,24843,0,9/24/2022,11.72569444,5.828631579,16.05833333,21.59444444,11.1,3.777272727,10.49444444
Maryland,636,24,Md.,6037624,105.34,2022/9/25,8:46 PM,24843,0,9/25/2022,11.36601307,5.01952381,16.41005291,22.45238095,11.12169312,4.582608696,11.33068783
Maryland,647,24,Md.,6037624,107.16,2022/9/26,8:27 PM,25159,11,9/26/2022,11.97712418,1.4732,16.17171717,21.53535354,11.1010101,6.020833333,10.43434344
Maryland,650,24,Md.,6037624,107.66,2022/9/27,8:34 PM,25338,3,9/27/2022,10.79938272,2.124363636,15.68115942,21.88888889,10.02173913,5.952,11.86714976
Maryland,657,24,Md.,6037624,108.82,2022/9/28,8:37 PM,25506,7,9/28/2022,9.63888889,0.839304348,15.74879227,21.84057971,10.15700483,5.684,11.68357488
Maryland,657,24,Md.,6037624,108.82,2022/9/29,8:51 PM,25610,0,9/29/2022,9.811728395,2.112818182,15.87626263,21.6969697,10.60353535,7.052,11.09343434
Maryland,659,24,Md.,6037624,109.15,2022/9/30,8:46 PM,25848,2,9/30/2022,11.7808642,3.8989,15.66666667,21.33585859,10.37121212,7.8625,10.96464646
Maryland,659,24,Md.,6037624,109.15,2022/10/1,8:39 PM,25848,0,10/1/2022,11.16975309,2.3749,15.65608466,21.46825397,10.0952381,10.13478261,11.37301587
Maryland,659,24,Md.,6037624,109.15,2022/10/2,7:57 PM,25848,0,10/2/2022,12.48765432,1.4224,16.08730159,23.42857143,9.886243386,8.117391304,13.54232804
