location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Massachusetts,134,25,Mass.,6873003,19.5,2022/8/4,2:24 PM,7507,0,8/4/2022,19.78787879,0,25.94666667,33.77111111,18.73111111,6.082608696,15.04
Massachusetts,157,25,Mass.,6873003,22.84,2022/8/5,7:51 PM,7507,23,8/5/2022,21.52272727,0.861391304,26.84222222,33.65111111,19.99333333,5.195652174,13.65777778
Massachusetts,157,25,Mass.,6873003,22.84,2022/8/6,7:58 PM,7507,0,8/6/2022,21.77525252,1.70688,27.09333333,33.48444444,22.24,6.065217391,11.24444444
Massachusetts,157,25,Mass.,6873003,22.84,2022/8/7,8:02 PM,7507,0,8/7/2022,22.12878788,0.51816,27.86222222,33.46888889,22.62888889,9.773913043,10.84
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/8,8:09 PM,8931,17,8/8/2022,22.26515151,0.89408,27.83333333,33.51111111,23.90444444,9.673913043,9.606666666
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/9,7:37 PM,9489,0,8/9/2022,22.61363637,0.817217391,27.65777778,33.89111111,23.84222222,9.391304348,10.04888889
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/10,7:52 PM,9489,0,8/10/2022,18.32323232,6.06425,22.11333333,28.07555556,19.42,5.556521739,8.655555555
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/11,7:59 PM,10389,0,8/11/2022,17.75,0.06626087,22.01777778,26.37111111,18.69111111,3.22173913,7.68
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/12,7:51 PM,10389,0,8/12/2022,15.04040404,1.14808,21.78,27.05555556,17.54222222,5.143478261,9.513333334
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/13,8:05 PM,10389,0,8/13/2022,12.35714286,0,19.69212963,25.84027778,15.0787037,5.190909091,10.76157407
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/14,8:17 PM,10389,0,8/14/2022,12.07936508,0,19.84259259,27.24305556,12.4837963,3.159090909,14.75925926
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/15,8:12 PM,10389,0,8/15/2022,12.91798942,0,20.79166667,27.36111111,13.03703704,3.654545455,14.32407407
Massachusetts,174,25,Mass.,6873003,25.32,2022/8/16,8:22 PM,10389,0,8/16/2022,13.93386243,0.010583333,20.50462963,27.11342593,13.6875,5.940909091,13.42592593
Massachusetts,228,25,Mass.,6873003,33.17,2022/8/17,8:24 PM,13514,54,8/17/2022,14.5026455,0.484909091,20.46759259,26.26388889,14.99074074,6.590909091,11.27314815
Massachusetts,243,25,Mass.,6873003,35.36,2022/8/18,8:13 PM,14112,15,8/18/2022,13.54761905,0.518583333,21.56712963,27.68055556,16.80787037,9.090909091,10.87268519
Massachusetts,243,25,Mass.,6873003,35.36,2022/8/19,8:04 PM,14112,0,8/19/2022,14.20899471,0.021166667,24.19212963,31.375,16.66898148,6.65,14.70601852
Massachusetts,243,25,Mass.,6873003,35.36,2022/8/20,8:09 PM,14112,0,8/20/2022,16.84656085,0,24.42361111,31.94675926,17.13888889,4.240909091,14.80787037
Massachusetts,243,25,Mass.,6873003,35.36,2022/8/21,8:18 PM,14112,0,8/21/2022,17.39417989,0.010583333,23.8587963,31.09490741,17.29398148,4.918181818,13.80092593
Massachusetts,265,25,Mass.,6873003,38.56,2022/8/22,8:33 PM,15430,22,8/22/2022,18.75833333,0.565727273,21.52083333,28.84722222,17.97685185,4.022727273,10.87037037
Massachusetts,265,25,Mass.,6873003,38.56,2022/8/23,8:30 PM,15906,0,8/23/2022,20.07222222,9.363363636,22.09027778,26,18.93518519,3.322727273,7.064814815
Massachusetts,265,25,Mass.,6873003,38.56,2022/8/24,8:29 PM,16600,0,8/24/2022,19.42857143,6.1595,23.32407407,28.88425926,19.36574074,4.640909091,9.518518518
Massachusetts,280,25,Mass.,6873003,40.74,2022/8/25,8:37 PM,16923,15,8/25/2022,18.18518518,0,24.37731482,30.65740741,18.56944444,3.486363636,12.08796296
Massachusetts,280,25,Mass.,6873003,40.74,2022/8/26,8:23 PM,17429,0,8/26/2022,19.27777778,0.364434783,23.75925926,30.83101852,18.60185185,5.109090909,12.22916667
Massachusetts,280,25,Mass.,6873003,40.74,2022/8/27,8:22 PM,17429,0,8/27/2022,19.01944444,4.826,22.81400966,29.38647343,19.02657005,5.476190476,10.35990338
Massachusetts,280,25,Mass.,6873003,40.74,2022/8/28,8:31 PM,17429,0,8/28/2022,16.47777778,0,21.33091787,27.05555556,17.26086957,4.20952381,9.794685991
Massachusetts,280,25,Mass.,6873003,40.74,2022/8/29,8:38 PM,18098,0,8/29/2022,17.9021164,0,23.07638889,29.65972222,16.23842593,6.277272727,13.4212963
Massachusetts,303,25,Mass.,6873003,44.09,2022/8/30,8:51 PM,18414,23,8/30/2022,20.95767196,0,25.39583333,30.61111111,19.40740741,8.740909091,11.2037037
Massachusetts,303,25,Mass.,6873003,44.09,2022/8/31,8:28 PM,18986,0,8/31/2022,18.41798942,4.421909091,24.12962963,29.99768519,20.48148148,7.345454545,9.516203705
Massachusetts,317,25,Mass.,6873003,46.12,2022/9/1,8:33 PM,19462,14,9/1/2022,11.38624339,0.28575,21.00694444,27.73148148,15.18287037,6.645454545,12.54861111
Massachusetts,317,25,Mass.,6873003,46.12,2022/9/2,8:24 PM,19959,0,9/2/2022,9.489417989,0,17.84490741,25.8125,10.93055556,4.222727273,14.88194444
Massachusetts,317,25,Mass.,6873003,46.12,2022/9/3,8:30 PM,19959,0,9/3/2022,11.77248677,0,17.97453704,25.71064815,9.793981482,3.340909091,15.91666667
Massachusetts,317,25,Mass.,6873003,46.12,2022/9/4,8:35 PM,19959,0,9/4/2022,15.71957672,0,21.27314815,28.80324074,11.95138889,4.277272727,16.85185185
Massachusetts,317,25,Mass.,6873003,46.12,2022/9/5,8:41 PM,19959,0,9/5/2022,18.14285714,2.263913043,20.94675926,27.51851852,15.70601852,4.390909091,11.8125
