location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Mississippi,4,28,Miss.,2981835,1.34,2022/8/4,2:24 PM,7507,0,8/4/2022,23.66049383,1.592384615,26.34291188,31.59770115,22.651341,3.544444444,8.946360152
Mississippi,6,28,Miss.,2981835,2.01,2022/8/5,7:51 PM,7507,2,8/5/2022,23.41666667,2.210740741,27.3045977,33.06704981,22.76628352,4.577777778,10.30076628
Mississippi,6,28,Miss.,2981835,2.01,2022/8/6,7:58 PM,7507,0,8/6/2022,23.35596708,0.17272,27.43103448,33.62068966,22.58812261,3.555555556,11.03256705
Mississippi,6,28,Miss.,2981835,2.01,2022/8/7,8:02 PM,7507,0,8/7/2022,23.18803419,0.615461538,27.48850575,33.98850575,22.30651341,3.040740741,11.68199234
Mississippi,7,28,Miss.,2981835,2.35,2022/8/8,8:09 PM,8931,1,8/8/2022,23.32510288,1.56464,27.39272031,34.02873563,22.42528736,3.033333333,11.60344828
Mississippi,8,28,Miss.,2981835,2.68,2022/8/9,7:37 PM,9489,1,8/9/2022,23.06790124,5.414818182,26.12452107,32.64942529,22.29310345,3.985185185,10.35632184
Mississippi,8,28,Miss.,2981835,2.68,2022/8/10,7:52 PM,9489,0,8/10/2022,23.14316239,9.627809524,25.46168582,31.05172414,22.36015326,3.214814815,8.691570881
Mississippi,8,28,Miss.,2981835,2.68,2022/8/11,7:59 PM,10389,0,8/11/2022,23.33333333,5.168347826,25.79310345,31.77394636,22.75095785,2.481481481,9.022988506
Mississippi,8,28,Miss.,2981835,2.68,2022/8/12,7:51 PM,10389,0,8/12/2022,23.09615385,7.431851852,26.38697318,32.26245211,22.32375479,3.714814815,9.938697318
Mississippi,8,28,Miss.,2981835,2.68,2022/8/13,8:05 PM,10389,0,8/13/2022,21.62393162,1.641928571,26.17241379,32.73180077,20.66091954,3.133333333,12.07088123
Mississippi,8,28,Miss.,2981835,2.68,2022/8/14,8:17 PM,10389,0,8/14/2022,21.90384615,0.381,26.81992337,33.7164751,20.65517241,2.692592593,13.06130268
Mississippi,8,28,Miss.,2981835,2.68,2022/8/15,8:12 PM,10389,0,8/15/2022,23.58333333,0.154214286,28.36781609,34.79693487,22.75095785,3.314814815,12.04597701
Mississippi,8,28,Miss.,2981835,2.68,2022/8/16,8:22 PM,10389,0,8/16/2022,23.08847737,0.560551724,27.84074074,33.93703704,22.45740741,3.860714286,11.47962963
Mississippi,17,28,Miss.,2981835,5.7,2022/8/17,8:24 PM,13514,9,8/17/2022,22.39917695,4.895272727,25.05925926,30.80185185,21.64814815,3.946428571,9.153703704
Mississippi,18,28,Miss.,2981835,6.04,2022/8/18,8:13 PM,14112,1,8/18/2022,21.68312757,5.954888889,24.55,29.85185185,21.01481481,2.578571429,8.837037037
