location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Missouri,12,29,Mo.,6124160,1.96,2022/8/4,2:24 PM,7507,0,8/4/2022,22.5982906,18.41062069,26.30555556,32.07804233,21.89417989,4.8,10.18386243
Missouri,14,29,Mo.,6124160,2.29,2022/8/5,7:51 PM,7507,2,8/5/2022,22.5,3.5052,26.91931217,33.37433862,21.44973545,3.246153846,11.92460317
Missouri,14,29,Mo.,6124160,2.29,2022/8/6,7:58 PM,7507,0,8/6/2022,23.23504274,0.31595122,28.76455026,34.38359788,23.6984127,6.556410256,10.68518519
Missouri,14,29,Mo.,6124160,2.29,2022/8/7,8:02 PM,7507,0,8/7/2022,22.66381766,0.018142857,28.8478836,34.19312169,24.07407407,6.666666667,10.11904762
Missouri,15,29,Mo.,6124160,2.45,2022/8/8,8:09 PM,8931,1,8/8/2022,22.40883191,0.448235294,27.53835979,33.17857143,23.75793651,5.887179487,9.42063492
Missouri,17,29,Mo.,6124160,2.78,2022/8/9,7:37 PM,9489,2,8/9/2022,20.26276276,3.740727273,24.22361111,29.65277778,20.34027778,4.021621622,9.312500001
Missouri,17,29,Mo.,6124160,2.78,2022/8/10,7:52 PM,9489,0,8/10/2022,18.72072072,1.693333333,23.89305556,29.81527778,18.51527778,3.548648649,11.3
Missouri,18,29,Mo.,6124160,2.94,2022/8/11,7:59 PM,10389,1,8/11/2022,17.29012346,0.013025641,23.42165242,30.91168091,16.16381766,2.886111111,14.74786325
Missouri,18,29,Mo.,6124160,2.94,2022/8/12,7:51 PM,10389,0,8/12/2022,18.49853801,0,24.71273713,30.86585366,18.86314363,4.218421053,12.00271003
Missouri,18,29,Mo.,6124160,2.94,2022/8/13,8:05 PM,10389,0,8/13/2022,18.77923977,0.00635,25.0501355,32.67073171,18.41056911,5.565789474,14.2601626
Missouri,18,29,Mo.,6124160,2.94,2022/8/14,8:17 PM,10389,0,8/14/2022,19.64181287,0,26.07859079,32.21544715,20.78184282,5.334210526,11.43360434
Missouri,18,29,Mo.,6124160,2.94,2022/8/15,8:12 PM,10389,0,8/15/2022,19.23976608,0.006684211,24.31436314,29.58130081,20.08130081,5.331578947,9.5
Missouri,18,29,Mo.,6124160,2.94,2022/8/16,8:22 PM,10389,0,8/16/2022,18.74561404,15.46678571,21.58943089,26.77506775,18.99728997,6.586842105,7.777777777
Missouri,25,29,Mo.,6124160,4.08,2022/8/17,8:24 PM,13514,7,8/17/2022,17.88888889,11.01124324,22.06084656,27.88095238,17.80291005,4.448717949,10.07804233
Missouri,25,29,Mo.,6124160,4.08,2022/8/18,8:13 PM,14112,0,8/18/2022,16.56552707,0.114904762,22.13227513,28.67724868,15.81613757,1.930769231,12.86111111
Missouri,25,29,Mo.,6124160,4.08,2022/8/19,8:04 PM,14112,0,8/19/2022,17.18376068,0.100263158,22.51455026,29.05026455,16.80687831,4.056410256,12.24338624
Missouri,25,29,Mo.,6124160,4.08,2022/8/20,8:09 PM,14112,0,8/20/2022,18.35897436,0.63062069,23.81746032,29.76984127,18.70767196,5.033333333,11.06216931
Missouri,25,29,Mo.,6124160,4.08,2022/8/21,8:18 PM,14112,0,8/21/2022,18.71367521,2.340918919,22.97751323,28.71031746,17.88359788,4.017948718,10.82671958
Missouri,34,29,Mo.,6124160,5.55,2022/8/22,8:33 PM,15430,9,8/22/2022,18.00712251,0.078619048,22.84920635,28.92592593,16.90079365,3.148717949,12.02513228
Missouri,38,29,Mo.,6124160,6.2,2022/8/23,8:30 PM,15906,4,8/23/2022,17.26210826,0.024190476,22.76587302,29.4973545,16.45238095,2.482051282,13.04497355
Missouri,39,29,Mo.,6124160,6.37,2022/8/24,8:29 PM,16600,1,8/24/2022,17.57834758,0.006047619,23.51322751,30.63888889,17.03174603,2.669230769,13.60714286
Missouri,41,29,Mo.,6124160,6.69,2022/8/25,8:37 PM,16923,2,8/25/2022,18.21794872,0,24.30026455,31.74206349,17.61243386,3.069230769,14.12962963
Missouri,42,29,Mo.,6124160,6.86,2022/8/26,8:23 PM,17429,1,8/26/2022,19.58974359,0.13025641,25.04232804,31.92592593,18.77645503,2.566666667,13.1494709
