location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date
Montana,0,30,Mont.,1061705,0,2022/8/5,7:51 PM,7507,0,2022/8/4
Montana,0,30,Mont.,1061705,0,2022/8/5,7:51 PM,7507,0,2022/8/5
Montana,0,30,Mont.,1061705,0,2022/8/6,7:58 PM,7507,0,2022/8/6
Montana,0,30,Mont.,1061705,0,2022/8/7,8:02 PM,7507,0,2022/8/7
Montana,1,30,Mont.,1061705,0.94,2022/8/8,8:09 PM,8931,1,2022/8/8
Montana,1,30,Mont.,1061705,0.94,2022/8/9,7:37 PM,9489,0,2022/8/9
Montana,1,30,Mont.,1061705,0.94,2022/8/10,7:52 PM,9489,0,2022/8/10
Montana,2,30,Mont.,1061705,1.88,2022/8/11,7:59 PM,10389,1,2022/8/11
Montana,2,30,Mont.,1061705,1.88,2022/8/12,7:51 PM,10389,0,2022/8/12
Montana,2,30,Mont.,1061705,1.88,2022/8/13,8:05 PM,10389,0,2022/8/13
Montana,2,30,Mont.,1061705,1.88,2022/8/14,8:17 PM,10389,0,2022/8/14
Montana,2,30,Mont.,1061705,1.88,2022/8/15,8:12 PM,10389,0,2022/8/15
Montana,2,30,Mont.,1061705,1.88,2022/8/16,8:22 PM,10389,0,2022/8/16
Montana,2,30,Mont.,1061705,1.88,2022/8/17,8:24 PM,13514,0,2022/8/17
Montana,2,30,Mont.,1061705,1.88,2022/8/18,8:13 PM,14112,0,2022/8/18
Montana,2,30,Mont.,1061705,1.88,2022/8/19,8:04 PM,14112,0,2022/8/19
Montana,2,30,Mont.,1061705,1.88,2022/8/20,8:09 PM,14112,0,2022/8/20
Montana,2,30,Mont.,1061705,1.88,2022/8/21,8:18 PM,14112,0,2022/8/21
Montana,2,30,Mont.,1061705,1.88,2022/8/22,8:33 PM,15430,0,2022/8/22
Montana,2,30,Mont.,1061705,1.88,2022/8/23,8:30 PM,15906,0,2022/8/23
Montana,2,30,Mont.,1061705,1.88,2022/8/24,8:29 PM,16600,0,2022/8/24
Montana,2,30,Mont.,1061705,1.88,2022/8/25,8:37 PM,16923,0,2022/8/25
Montana,3,30,Mont.,1061705,2.83,2022/8/26,8:23 PM,17429,1,2022/8/26
Montana,3,30,Mont.,1061705,2.83,2022/8/27,8:22 PM,17429,0,2022/8/27
Montana,3,30,Mont.,1061705,2.83,2022/8/28,8:31 PM,17429,0,2022/8/28
Montana,3,30,Mont.,1061705,2.83,2022/8/29,8:38 PM,18098,0,2022/8/29
Montana,4,30,Mont.,1061705,3.77,2022/8/30,8:51 PM,18414,1,2022/8/30
Montana,5,30,Mont.,1061705,4.71,2022/8/31,8:28 PM,18986,1,2022/8/31
Montana,5,30,Mont.,1061705,4.71,2022/9/1,8:33 PM,19462,0,2022/9/1
Montana,5,30,Mont.,1061705,4.71,2022/9/2,8:24 PM,19959,0,2022/9/2
Montana,5,30,Mont.,1061705,4.71,2022/9/3,8:30 PM,19959,0,2022/9/3
Montana,5,30,Mont.,1061705,4.71,2022/9/4,8:35 PM,19959,0,2022/9/4
Montana,5,30,Mont.,1061705,4.71,2022/9/5,8:41 PM,19959,0,2022/9/5
Montana,5,30,Mont.,1061705,4.71,2022/9/6,8:40 PM,20730,0,2022/9/6
Montana,5,30,Mont.,1061705,4.71,2022/9/7,8:32 PM,21271,0,2022/9/7
Montana,5,30,Mont.,1061705,4.71,2022/9/8,8:28 PM,21501,0,2022/9/8
Montana,5,30,Mont.,1061705,4.71,2022/9/9,8:32 PM,21891,0,2022/9/9
Montana,5,30,Mont.,1061705,4.71,2022/9/10,8:29 PM,21891,0,2022/9/10
Montana,5,30,Mont.,1061705,4.71,2022/9/11,8:46 PM,21891,0,2022/9/11
Montana,5,30,Mont.,1061705,4.71,2022/9/12,8:40 PM,21982,0,2022/9/12
Montana,5,30,Mont.,1061705,4.71,2022/9/13,8:35 PM,22627,0,2022/9/13
Montana,5,30,Mont.,1061705,4.71,2022/9/14,8:42 PM,22771,0,2022/9/14
Montana,5,30,Mont.,1061705,4.71,2022/9/15,6:41 AM,22771,0,2022/9/15
Montana,5,30,Mont.,1061705,4.71,2022/9/16,8:22 PM,23496,0,2022/9/16
Montana,5,30,Mont.,1061705,4.71,2022/9/17,8:43 PM,23496,0,2022/9/17
Montana,5,30,Mont.,1061705,4.71,2022/9/18,8:45 PM,23496,0,2022/9/18
Montana,5,30,Mont.,1061705,4.71,2022/9/19,8:34 PM,23890,0,2022/9/19
Montana,5,30,Mont.,1061705,4.71,2022/9/20,8:45 PM,24200,0,2022/9/20
Montana,5,30,Mont.,1061705,4.71,2022/9/21,8:31 PM,24361,0,2022/9/21
Montana,5,30,Mont.,1061705,4.71,2022/9/22,8:39 PM,24569,0,2022/9/22
Montana,5,30,Mont.,1061705,4.71,2022/9/23,8:37 PM,24843,0,2022/9/23
Montana,5,30,Mont.,1061705,4.71,2022/9/24,8:33 PM,24843,0,2022/9/24
Montana,5,30,Mont.,1061705,4.71,2022/9/25,8:46 PM,24843,0,2022/9/25
Montana,5,30,Mont.,1061705,4.71,2022/9/26,8:27 PM,25159,0,2022/9/26
Montana,5,30,Mont.,1061705,4.71,2022/9/27,8:34 PM,25338,0,2022/9/27
Montana,5,30,Mont.,1061705,4.71,2022/9/28,8:37 PM,25506,0,2022/9/28
Montana,5,30,Mont.,1061705,4.71,2022/9/29,8:51 PM,25610,0,2022/9/29
Montana,6,30,Mont.,1061705,5.65,2022/9/30,8:46 PM,25848,1,2022/9/30
Montana,6,30,Mont.,1061705,5.65,2022/10/1,8:39 PM,25848,0,2022/10/1
Montana,6,30,Mont.,1061705,5.65,2022/10/2,7:57 PM,25848,0,2022/10/2
