location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Nebraska,10,31,Neb.,1923826,5.2,2022/8/4,2:24 PM,7507,0,2022/8/4,15.29454545,0.016212766,25.478125,34.45833333,16.78708333,7.729545455,17.67125
Nebraska,12,31,Neb.,1923826,6.24,2022/8/5,7:51 PM,7507,2,2022/8/5,17.432,0.508,28.00204082,36.65285714,19.05428571,9.953333333,17.59857143
Nebraska,12,31,Neb.,1923826,6.24,2022/8/6,7:58 PM,7507,0,2022/8/6,19.30355556,0.617681818,27.08408163,36.1655102,20.91142857,9.54,15.25408163
Nebraska,12,31,Neb.,1923826,6.24,2022/8/7,8:02 PM,7507,0,2022/8/7,18.10444444,0.870857143,23.92244898,31.26897959,19.37081633,8.508888889,11.89816327
Nebraska,14,31,Neb.,1923826,7.28,2022/8/8,8:09 PM,8931,2,2022/8/8,14.49577778,0.855869565,21.36408163,29.90428571,14.75632653,7.191111111,15.14795918
Nebraska,14,31,Neb.,1923826,7.28,2022/8/9,7:37 PM,9489,0,2022/8/9,14.00369565,0.12192,23.2966,33.1296,13.9046,5.456521739,19.225
Nebraska,14,31,Neb.,1923826,7.28,2022/8/10,7:52 PM,9489,0,2022/8/10,14.70782609,0.02032,25.9816,34.8112,16.2702,5.847826087,18.541
Nebraska,14,31,Neb.,1923826,7.28,2022/8/11,7:59 PM,10389,0,2022/8/11,14.19869565,0.01524,26.7316,34.881,17.5288,7.813043478,17.3522
Nebraska,14,31,Neb.,1923826,7.28,2022/8/12,7:51 PM,10389,0,2022/8/12,13.24413043,0.01524,26.4924,35.4354,16.8606,8.130434783,18.5748
Nebraska,14,31,Neb.,1923826,7.28,2022/8/13,8:05 PM,10389,0,2022/8/13,15.62826087,0.23844898,25.9734,34.2842,18.252,7.630434783,16.0322
Nebraska,14,31,Neb.,1923826,7.28,2022/8/14,8:17 PM,10389,0,2022/8/14,17.75534884,1.124857143,23.93021277,31.61787234,17.83446809,6.272093023,13.78340426
Nebraska,14,31,Neb.,1923826,7.28,2022/8/15,8:12 PM,10389,0,2022/8/15,17.45891304,5.02412,21.8514,29.5154,18.1756,7.591304348,11.3398
Nebraska,14,31,Neb.,1923826,7.28,2022/8/16,8:22 PM,10389,0,2022/8/16,16.10804348,6.47192,19.405,25.631,15.8844,7.076086957,9.7466
Nebraska,17,31,Neb.,1923826,8.84,2022/8/17,8:24 PM,13514,3,2022/8/17,14.66413043,0.49244898,20.3994,28.5976,14.1592,3.936956522,14.4384
Nebraska,18,31,Neb.,1923826,9.36,2022/8/18,8:13 PM,14112,1,2022/8/18,13.75369565,0.704979592,22.28,31.582,13.7124,6.169565217,17.8696
Nebraska,18,31,Neb.,1923826,9.36,2022/8/19,8:04 PM,14112,0,2022/8/19,13.00195652,0.436217391,21.9858,30.5112,14.2144,5.802173913,16.2968
Nebraska,18,31,Neb.,1923826,9.36,2022/8/20,8:09 PM,14112,0,2022/8/20,12.34652174,0.616085106,20.1058,28.0958,13.1718,5.982608696,14.924
Nebraska,18,31,Neb.,1923826,9.36,2022/8/21,8:18 PM,14112,0,2022/8/21,13.30326087,0,21.3598,30.1032,12.4288,5.260869565,17.6744
Nebraska,21,31,Neb.,1923826,10.92,2022/8/22,8:33 PM,15430,3,2022/8/22,13.5926087,0,22.689,31.3456,13.5568,4.863043478,17.7888
