location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Nevada,26,32,Nev.,3030281,8.58,2022/8/4,2:24 PM,7507,0,2022/8/4,17.34285714,0.93625,24.115,34.2325,14.87875,4.442857143,19.35375
Nevada,29,32,Nev.,3030281,9.57,2022/8/5,7:51 PM,7507,3,2022/8/5,19.76642857,5.164666667,25.2275,33.635,16.3025,3.585714286,17.3325
Nevada,29,32,Nev.,3030281,9.57,2022/8/6,7:58 PM,7507,0,2022/8/6,20.44857143,1.845333333,25.1,32.594375,19.315625,3.478571429,13.27875
Nevada,29,32,Nev.,3030281,9.57,2022/8/7,8:02 PM,7507,0,2022/8/7,21.25,2.761333333,25.670625,33.0075,19.680625,6.55,13.326875
Nevada,39,32,Nev.,3030281,12.87,2022/8/8,8:09 PM,8931,10,2022/8/8,21.14571429,4.4775,26.603125,33.735625,20.70125,6.128571429,13.034375
Nevada,55,32,Nev.,3030281,18.15,2022/8/9,7:37 PM,9489,16,2022/8/9,21.46153846,6.3025,25.038125,33.225625,20.309375,7.292857143,12.91625
Nevada,55,32,Nev.,3030281,18.15,2022/8/10,7:52 PM,9489,0,2022/8/10,16.06285714,2.27,20.00625,27.090625,17.403125,4.15,9.6875
Nevada,56,32,Nev.,3030281,18.48,2022/8/11,7:59 PM,10389,1,2022/8/11,15.465,0.079375,20.118125,26.295625,15.448125,2.507142857,10.8475
Nevada,56,32,Nev.,3030281,18.48,2022/8/12,7:51 PM,10389,0,2022/8/12,12.48785714,0.508125,19.061875,25.55625,13.83625,6.078571429,11.72
Nevada,56,32,Nev.,3030281,18.48,2022/8/13,8:05 PM,10389,0,2022/8/13,10.27857143,0.015625,16.930625,23.82,10.9375,3.707142857,12.8825
Nevada,56,32,Nev.,3030281,18.48,2022/8/14,8:17 PM,10389,0,2022/8/14,10.87785714,0.015625,18.41,26.6975,10.26,2.821428571,16.4375
Nevada,56,32,Nev.,3030281,18.48,2022/8/15,8:12 PM,10389,0,2022/8/15,11.00642857,0,18.72875,27.548125,10.11875,2.442857143,17.429375
Nevada,56,32,Nev.,3030281,18.48,2022/8/16,8:22 PM,10389,0,2022/8/16,11.88428571,0.539375,18.9825,27.514375,10.094375,4.342857143,17.42
Nevada,109,32,Nev.,3030281,35.97,2022/8/17,8:24 PM,13514,53,2022/8/17,13.31642857,0.73,18.501875,25.50125,12.0975,5.735714286,13.40375
Nevada,113,32,Nev.,3030281,37.29,2022/8/18,8:13 PM,14112,4,2022/8/18,13.40857143,11.22375,17.803125,23.48625,14.329375,7.971428571,9.156875
Nevada,113,32,Nev.,3030281,37.29,2022/8/19,8:04 PM,14112,0,2022/8/19,12.83285714,6.746875,21.641875,29.850625,13.95125,6.364285714,15.899375
Nevada,113,32,Nev.,3030281,37.29,2022/8/20,8:09 PM,14112,0,2022/8/20,13.695,0,21.381875,31.469375,12.614375,3.057142857,18.855
Nevada,113,32,Nev.,3030281,37.29,2022/8/21,8:18 PM,14112,0,2022/8/21,15.16285714,0,22.791875,31.285,13.43125,4.7,17.85375
Nevada,118,32,Nev.,3030281,38.94,2022/8/22,8:33 PM,15430,5,2022/8/22,16.13785714,4.746875,19.834375,28.955,15.0825,3.892857143,13.8725
Nevada,124,32,Nev.,3030281,40.92,2022/8/23,8:30 PM,15906,6,2022/8/23,18.24769231,10.571875,20.795625,25.399375,16.641875,2.764285714,8.7575
Nevada,124,32,Nev.,3030281,40.92,2022/8/24,8:29 PM,16600,0,2022/8/24,18.15571429,3.9675,21.733125,27.695,18.184375,3.671428571,9.510625
Nevada,126,32,Nev.,3030281,41.58,2022/8/25,8:37 PM,16923,2,2022/8/25,15.95642857,1.01625,21.33375,29.225,15.058125,3.578571429,14.166875
Nevada,127,32,Nev.,3030281,41.91,2022/8/26,8:23 PM,17429,1,2022/8/26,16.86857143,0.2225,19.6975,28.7425,15.259375,3.878571429,13.483125
Nevada,127,32,Nev.,3030281,41.91,2022/8/27,8:22 PM,17429,0,2022/8/27,15.86571429,9.364,19.99625,26.4,15.395,4.321428571,11.005
Nevada,127,32,Nev.,3030281,41.91,2022/8/28,8:31 PM,17429,0,2022/8/28,14.74142857,0.110625,18.319375,25.868125,12.91,3.285714286,12.958125
Nevada,132,32,Nev.,3030281,43.56,2022/8/29,8:38 PM,18098,5,2022/8/29,16.98857143,0.095,21.59,30.48625,13.115,4.971428571,17.37125
Nevada,139,32,Nev.,3030281,45.87,2022/8/30,8:51 PM,18414,7,2022/8/30,19.51428571,0.920625,25.078125,32.139375,16.138125,7.335714286,16.00125
Nevada,141,32,Nev.,3030281,46.53,2022/8/31,8:28 PM,18986,2,2022/8/31,15.92142857,10.60375,21.86875,30.22625,17.080625,7.064285714,13.145625
Nevada,149,32,Nev.,3030281,49.17,2022/9/1,8:33 PM,19462,8,2022/9/1,9.738571429,3.046875,16.789375,25.03875,11.903125,8.342857143,13.135625
Nevada,154,32,Nev.,3030281,50.82,2022/9/2,8:24 PM,19959,5,2022/9/2,6.927857143,0.19,14.42125,22.846875,6.010625,5.135714286,16.83625
Nevada,154,32,Nev.,3030281,50.82,2022/9/3,8:30 PM,19959,0,2022/9/3,11.11071429,0,16.42375,26.166875,6.975625,3.221428571,19.19125
Nevada,154,32,Nev.,3030281,50.82,2022/9/4,8:35 PM,19959,0,2022/9/4,14.66214286,0,19.43,29.159375,9.319375,3.221428571,19.84
Nevada,154,32,Nev.,3030281,50.82,2022/9/5,8:41 PM,19959,0,2022/9/5,15.52923077,7.460625,17.32,25.596875,13.64875,4.285714286,11.948125
Nevada,154,32,Nev.,3030281,50.82,2022/9/6,8:40 PM,20730,0,2022/9/6,14.17615385,30.178125,15.333125,18.7875,14.305625,3.878571429,4.481875
Nevada,204,32,Nev.,3030281,67.32,2022/9/7,8:32 PM,21271,50,2022/9/7,14.125,5.491875,17.100625,21.096875,13.91,2.721428571,7.186875
Nevada,204,32,Nev.,3030281,67.32,2022/9/8,8:28 PM,21501,0,2022/9/8,12.38,0.015625,16.22875,23.51375,11.0275,2.457142857,12.48625
Nevada,204,32,Nev.,3030281,67.32,2022/9/9,8:32 PM,21891,0,2022/9/9,12.39714286,0,16.451875,25.375,9.90625,1.957142857,15.46875
Nevada,204,32,Nev.,3030281,67.32,2022/9/10,8:29 PM,21891,0,2022/9/10,14.35923077,0.016666667,18.85533333,27.83,10.60333333,2.007692308,17.22666667
Nevada,204,32,Nev.,3030281,67.32,2022/9/11,8:46 PM,21891,0,2022/9/11,15.76461538,0,19.33733333,27.47466667,12.69,1.8,14.78466667
Nevada,204,32,Nev.,3030281,67.32,2022/9/12,8:40 PM,21982,0,2022/9/12,16.63071429,0.0475,21.074375,26.604375,15.645,1.935714286,10.959375
Nevada,204,32,Nev.,3030281,67.32,2022/9/13,8:35 PM,22627,0,2022/9/13,17.25538462,1.856875,19.084375,25.725625,15.6625,3.142857143,10.063125
Nevada,204,32,Nev.,3030281,67.32,2022/9/14,8:42 PM,22771,0,2022/9/14,14.43714286,9.19125,18.923125,24.659375,13.5975,8.357142857,11.061875
Nevada,204,32,Nev.,3030281,67.32,2022/9/15,6:41 AM,22771,0,2022/9/15,6.43,0.968125,14.596875,23.24625,9.80625,11.22142857,13.44
Nevada,217,32,Nev.,3030281,71.61,2022/9/16,8:22 PM,23496,13,2022/9/16,4.820714286,0,12.010625,19.016875,6.125,8.3,12.891875
Nevada,217,32,Nev.,3030281,71.61,2022/9/17,8:43 PM,23496,0,2022/9/17,5.097857143,0,11.094375,20.1175,3.094375,3.75,17.023125
Nevada,217,32,Nev.,3030281,71.61,2022/9/18,8:45 PM,23496,0,2022/9/18,13.04,1.825625,16.19125,24.9825,5.743125,5.678571429,19.239375
Nevada,217,32,Nev.,3030281,71.61,2022/9/19,8:34 PM,23890,0,2022/9/19,13.29076923,9.7475,14.634375,23.17,10.205,5.492857143,12.965
Nevada,217,32,Nev.,3030281,71.61,2022/9/20,8:45 PM,24200,0,2022/9/20,12.26615385,24.35125,13.71625,16.8925,12.0725,4.3,4.82
