location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
New Hampshire,14,33,N.H.,1355244,10.33,2022/8/4,2:24 PM,7507,0,2022/8/4,11.398,1.475619048,27.81652174,36.11304348,19.92043478,6.54,16.1926087
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/5,7:51 PM,7507,1,2022/8/5,15.44190476,1.2192,23.61083333,32,19.11541667,6.471428571,12.88458333
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/6,7:58 PM,7507,0,2022/8/6,14.34380952,3.196166667,23.62875,31.885,18.00458333,5.433333333,13.88041667
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/7,8:02 PM,7507,0,2022/8/7,10.03238095,0.910166667,26.04416667,35.10166667,17.09,4.795238095,18.01166667
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/8,8:09 PM,8931,0,2022/8/8,9.27952381,0.024190476,27.74291667,35.32125,18.82916667,4.938095238,16.49208333
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/9,7:37 PM,9489,0,2022/8/9,13.53095238,0.198782609,25.725,33.73333333,19.34041667,6.504761905,14.39291667
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/10,7:52 PM,9489,0,2022/8/10,14.45333333,1.4605,24.17458333,32.0625,18.80583333,6.19047619,13.25666667
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/11,7:59 PM,10389,0,2022/8/11,12.42571429,2.275416667,25.20625,33.48166667,17.69875,5.219047619,15.78291667
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/12,7:51 PM,10389,0,2022/8/12,9.264285714,1.661583333,26.00708333,34.09458333,17.0925,5.447619048,17.00208333
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/13,8:05 PM,10389,0,2022/8/13,7.922380952,0.052916667,24.47416667,33.61291667,16.01166667,5.114285714,17.60125
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/14,8:17 PM,10389,0,2022/8/14,6.86952381,0.687916667,25.17333333,34.20333333,16.23375,4.704761905,17.96958333
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/15,8:12 PM,10389,0,2022/8/15,5.621904762,0.011545455,25.03083333,34.95125,15.92083333,5.228571429,19.03041667
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/16,8:22 PM,10389,0,2022/8/16,6.105714286,0,26.40708333,35.18333333,16.91458333,5.371428571,18.26875
New Hampshire,15,33,N.H.,1355244,11.07,2022/8/17,8:24 PM,13514,0,2022/8/17,8.109047619,0.150090909,27.345,35.93083333,18.06,4.961904762,17.87083333
New Hampshire,16,33,N.H.,1355244,11.81,2022/8/18,8:13 PM,14112,1,2022/8/18,12.38142857,0.532190476,25.99833333,35.26625,18.2475,6.628571429,17.01875
New Hampshire,16,33,N.H.,1355244,11.81,2022/8/19,8:04 PM,14112,0,2022/8/19,10.38095238,1.847272727,24.11083333,33.49791667,15.76583333,5.147619048,17.73208333
New Hampshire,16,33,N.H.,1355244,11.81,2022/8/20,8:09 PM,14112,0,2022/8/20,7.88,0.306916667,25.64125,34.63,16.05541667,5.071428571,18.57458333
New Hampshire,16,33,N.H.,1355244,11.81,2022/8/21,8:18 PM,14112,0,2022/8/21,7.481904762,0,26.57625,35.41666667,17.065,5.466666667,18.35166667
New Hampshire,16,33,N.H.,1355244,11.81,2022/8/22,8:33 PM,15430,0,2022/8/22,5.708571429,0.148166667,26.69666667,36.38652174,17.04666667,5.204761905,19.33985507
