location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
New Jersey,160,34,N.J.,8885418,18.01,2022/8/4,2:24 PM,7507,0,2022/8/4,20.4225,0,27.65789474,35.05263158,20.62263158,4.182352941,14.43
New Jersey,188,34,N.J.,8885418,21.16,2022/8/5,7:51 PM,7507,28,2022/8/5,20.89176471,2.455555556,27.3475,34.344,21.5025,4.488888889,12.8415
New Jersey,188,34,N.J.,8885418,21.16,2022/8/6,7:58 PM,7507,0,2022/8/6,21.38941176,1.804210526,27.266,33.3645,22.2135,5.161111111,11.151
New Jersey,188,34,N.J.,8885418,21.16,2022/8/7,8:02 PM,7507,0,2022/8/7,22.23176471,0.3175,28.7005,34.078,22.9835,7.033333333,11.0945
New Jersey,243,34,N.J.,8885418,27.35,2022/8/8,8:09 PM,8931,55,2022/8/8,22.38294118,0.686,28.9985,34.783,24.416,6.672222222,10.367
New Jersey,264,34,N.J.,8885418,29.71,2022/8/9,7:37 PM,9489,21,2022/8/9,22.86588235,0.253888889,30.53,36.3415,24.897,7.033333333,11.4445
New Jersey,264,34,N.J.,8885418,29.71,2022/8/10,7:52 PM,9489,0,2022/8/10,20.36882353,1.844210526,27.321,33.992,23.4055,3.9,10.5865
New Jersey,277,34,N.J.,8885418,31.17,2022/8/11,7:59 PM,10389,13,2022/8/11,19.23705882,7.493333333,25.987,31.831,21.569,3.388888889,10.262
New Jersey,277,34,N.J.,8885418,31.17,2022/8/12,7:51 PM,10389,0,2022/8/12,12.98764706,1.295,25.1135,31.0195,20.7075,6,10.312
New Jersey,277,34,N.J.,8885418,31.17,2022/8/13,8:05 PM,10389,0,2022/8/13,9.594117647,0,21.592,28.9445,14.925,5.1,14.0195
New Jersey,277,34,N.J.,8885418,31.17,2022/8/14,8:17 PM,10389,0,2022/8/14,12.34235294,0,21.796,28.764,14.9445,3.555555556,13.8195
New Jersey,277,34,N.J.,8885418,31.17,2022/8/15,8:12 PM,10389,0,2022/8/15,13.32352941,0.013157895,22.153,28.5835,15.5665,3.866666667,13.017
New Jersey,277,34,N.J.,8885418,31.17,2022/8/16,8:22 PM,10389,0,2022/8/16,13.61705882,0.0125,21.9525,28.344,15.681,5.083333333,12.663
New Jersey,367,34,N.J.,8885418,41.3,2022/8/17,8:24 PM,13514,90,2022/8/17,14.26941176,0.381,21.836,27.9805,16.0225,2.883333333,11.958
New Jersey,377,34,N.J.,8885418,42.43,2022/8/18,8:13 PM,14112,10,2022/8/18,13.50941176,0.076,22.9165,30.683,15.5555,4.127777778,15.1275
New Jersey,377,34,N.J.,8885418,42.43,2022/8/19,8:04 PM,14112,0,2022/8/19,14.80647059,0,24.7,32.577,16.2885,3.527777778,16.2885
New Jersey,377,34,N.J.,8885418,42.43,2022/8/20,8:09 PM,14112,0,2022/8/20,17.41764706,0,25.951,32.8525,18.103,3.783333333,14.7495
New Jersey,377,34,N.J.,8885418,42.43,2022/8/21,8:18 PM,14112,0,2022/8/21,18.66647059,0,23.8775,31.5665,18.5555,3.711111111,13.011
New Jersey,420,34,N.J.,8885418,47.27,2022/8/22,8:33 PM,15430,43,2022/8/22,21.55470588,3.073684211,24.1805,29.3415,19.472,3.738888889,9.8695
New Jersey,420,34,N.J.,8885418,47.27,2022/8/23,8:30 PM,15906,0,2022/8/23,20.16352941,11.69777778,24.611,30.211,20.4945,3.966666667,9.7165
New Jersey,450,34,N.J.,8885418,50.64,2022/8/24,8:29 PM,16600,30,2022/8/24,17.33941176,0.254,25.1665,32.0305,18.881,3.611111111,13.1495
New Jersey,471,34,N.J.,8885418,53.01,2022/8/25,8:37 PM,16923,21,2022/8/25,16.07823529,0,25.5755,32.664,18.5225,3,14.1415
New Jersey,479,34,N.J.,8885418,53.91,2022/8/26,8:23 PM,17429,8,2022/8/26,19.15647059,0,26.297,32.881,19.106,4.638888889,13.775
New Jersey,479,34,N.J.,8885418,53.91,2022/8/27,8:22 PM,17429,0,2022/8/27,18.84941176,0.481052632,26.267,32.456,20.75,3.738888889,11.706
New Jersey,479,34,N.J.,8885418,53.91,2022/8/28,8:31 PM,17429,0,2022/8/28,20.89470588,0.0505,24.8595,30.847,21.377,4.711111111,9.47
New Jersey,504,34,N.J.,8885418,56.72,2022/8/29,8:38 PM,18098,25,2022/8/29,21.44176471,5.0165,25.803,31.45,21.608,3.922222222,9.842
New Jersey,512,34,N.J.,8885418,57.62,2022/8/30,8:51 PM,18414,8,2022/8/30,21.66352941,0.33,26.6225,32.4,22.022,5.45,10.378
New Jersey,512,34,N.J.,8885418,57.62,2022/8/31,8:28 PM,18986,0,2022/8/31,17.75941176,5.334444444,24.572,30.878,20.2665,6.205555556,10.6115
New Jersey,538,34,N.J.,8885418,60.55,2022/9/1,8:33 PM,19462,26,2022/9/1,12.5,0.025,23.4095,30.3885,16.814,5.255555556,13.5745
New Jersey,561,34,N.J.,8885418,63.14,2022/9/2,8:24 PM,19959,23,2022/9/2,11.83705882,0,20.9365,29.505,14.2165,4.144444444,15.2885
New Jersey,561,34,N.J.,8885418,63.14,2022/9/3,8:30 PM,19959,0,2022/9/3,16.18764706,0,21.5245,28.1505,14.7475,2.766666667,13.403
New Jersey,561,34,N.J.,8885418,63.14,2022/9/4,8:35 PM,19959,0,2022/9/4,18.64705882,0,24.2495,31.591,16.7745,3.205555556,14.8165
New Jersey,561,34,N.J.,8885418,63.14,2022/9/5,8:41 PM,19959,0,2022/9/5,19.90235294,0.548421053,24.9045,31.3075,19.6975,3.477777778,11.61
New Jersey,594,34,N.J.,8885418,66.85,2022/9/6,8:40 PM,20730,33,2022/9/6,20.741875,5.968888889,22.4635,29.022,19.8335,4.194444444,9.1885
New Jersey,595,34,N.J.,8885418,66.96,2022/9/7,8:32 PM,21271,1,2022/9/7,18.48058824,19.75894737,20.5105,23.1885,19.081,6.877777778,4.1075
New Jersey,595,34,N.J.,8885418,66.96,2022/9/8,8:28 PM,21501,0,2022/9/8,15.95470588,0.774,21.216,26.0055,17.353,4.783333333,8.6525
New Jersey,610,34,N.J.,8885418,68.65,2022/9/9,8:32 PM,21891,15,2022/9/9,13.86176471,0,20.216,26.7945,14.603,3.272222222,12.1915
New Jersey,610,34,N.J.,8885418,68.65,2022/9/10,8:29 PM,21891,0,2022/9/10,14.07625,0,20.57947368,28.68421053,13.53473684,1.941176471,15.14947368
New Jersey,610,34,N.J.,8885418,68.65,2022/9/11,8:46 PM,21891,0,2022/9/11,18.56625,0.959444444,21.44684211,27.37473684,15.39473684,2.547058824,11.98
New Jersey,610,34,N.J.,8885418,68.65,2022/9/12,8:40 PM,21982,0,2022/9/12,20.86294118,5.026842105,23.459,28.409,20.1055,3.155555556,8.3035
New Jersey,631,34,N.J.,8885418,71.02,2022/9/13,8:35 PM,22627,21,2022/9/13,20.53941176,8.662631579,24.3145,28.831,20.8145,4.283333333,8.0165
New Jersey,633,34,N.J.,8885418,71.24,2022/9/14,8:42 PM,22771,2,2022/9/14,13.24294118,2.133,20.791,28.2505,14.65,4.972222222,13.6005
New Jersey,633,34,N.J.,8885418,71.24,2022/9/15,6:41 AM,22771,0,2022/9/15,11.75411765,0,20.1225,26.2275,15.0585,5.022222222,11.169
New Jersey,647,34,N.J.,8885418,72.82,2022/9/16,8:22 PM,23496,14,2022/9/16,8.947058824,0,17.0385,25.2525,9.917,2.572222222,15.3355
New Jersey,647,34,N.J.,8885418,72.82,2022/9/17,8:43 PM,23496,0,2022/9/17,13.91411765,0,20.222,25.944,12.6745,3.261111111,13.2695
New Jersey,647,34,N.J.,8885418,72.82,2022/9/18,8:45 PM,23496,0,2022/9/18,16.26117647,0,21.5915,28.7315,15.1445,4.611111111,13.587
New Jersey,654,34,N.J.,8885418,73.6,2022/9/19,8:34 PM,23890,7,2022/9/19,17.18,0.120526316,23.2785,30.1555,16.789,4.872222222,13.3665
New Jersey,661,34,N.J.,8885418,74.39,2022/9/20,8:45 PM,24200,7,2022/9/20,16.16529412,1.2565,21.955,28.972,17.4,4.744444444,11.572
New Jersey,668,34,N.J.,8885418,75.18,2022/9/21,8:31 PM,24361,7,2022/9/21,14.55764706,0.0125,20.708,27.553,14.2695,3.022222222,13.2835
New Jersey,676,34,N.J.,8885418,76.08,2022/9/22,8:39 PM,24569,8,2022/9/22,16.60764706,1.706666667,20.7005,27.501,14.861,5.9,12.64
New Jersey,683,34,N.J.,8885418,76.87,2022/9/23,8:37 PM,24843,7,2022/9/23,4.461176471,1.968,14.298,19.8395,10.453,10.33888889,9.3865
New Jersey,683,34,N.J.,8885418,76.87,2022/9/24,8:33 PM,24843,0,2022/9/24,4.13,0,13.01,21.263,6.203,5.661111111,15.06
New Jersey,683,34,N.J.,8885418,76.87,2022/9/25,8:46 PM,24843,0,2022/9/25,11.47882353,0.280526316,16.55,23.5245,8.7615,3.75,14.763
New Jersey,695,34,N.J.,8885418,78.22,2022/9/26,8:27 PM,25159,12,2022/9/26,12.95764706,5.601578947,18.6105,24.689,12.673,5.683333333,12.016
New Jersey,698,34,N.J.,8885418,78.56,2022/9/27,8:34 PM,25338,3,2022/9/27,8.528823529,0.053684211,16.9835,23.5775,12.23,4.938888889,11.3475
New Jersey,701,34,N.J.,8885418,78.89,2022/9/28,8:37 PM,25506,3,2022/9/28,7.967058824,0,14.781,21.814,8.5725,4.961111111,13.2415
