location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
New Mexico,10,35,N.M.,2097021,4.77,2022/8/4,2:24 PM,7507,0,2022/8/4,13.109375,1.548709677,25.48485714,34.00485714,18.11742857,7.30625,15.88742857
New Mexico,10,35,N.M.,2097021,4.77,2022/8/5,7:51 PM,7507,0,2022/8/5,14.069375,2.3975,25.22142857,33.10171429,18.72885714,5.98125,14.37285714
New Mexico,10,35,N.M.,2097021,4.77,2022/8/6,7:58 PM,7507,0,2022/8/6,12.16,2.635,25.11285714,33.11285714,17.91742857,6.159375,15.19542857
New Mexico,10,35,N.M.,2097021,4.77,2022/8/7,8:02 PM,7507,0,2022/8/7,11.470625,0.524333333,24.61285714,32.56171429,17.50171429,6.59375,15.06
New Mexico,13,35,N.M.,2097021,6.2,2022/8/8,8:09 PM,8931,3,2022/8/8,12.22625,0.6425,23.72028571,31.708,17.34028571,6.084375,14.36771429
New Mexico,13,35,N.M.,2097021,6.2,2022/8/9,7:37 PM,9489,0,2022/8/9,12.7478125,3.801612903,23.14085714,31.10457143,16.55885714,5.625,14.54571429
New Mexico,13,35,N.M.,2097021,6.2,2022/8/10,7:52 PM,9489,0,2022/8/10,13.0059375,2.3815625,22.98885714,30.53342857,16.56057143,6.05,13.97285714
New Mexico,13,35,N.M.,2097021,6.2,2022/8/11,7:59 PM,10389,0,2022/8/11,13.45709677,1.38875,22.56294118,30.07411765,16.58205882,5.829032258,13.49205882
New Mexico,13,35,N.M.,2097021,6.2,2022/8/12,7:51 PM,10389,0,2022/8/12,12.6103125,2.054848485,22.10142857,30.80342857,14.94942857,4.81875,15.854
New Mexico,13,35,N.M.,2097021,6.2,2022/8/13,8:05 PM,10389,0,2022/8/13,10.7503125,0.276176471,23.65685714,31.55685714,15.42371429,5.078125,16.13314286
New Mexico,13,35,N.M.,2097021,6.2,2022/8/14,8:17 PM,10389,0,2022/8/14,9.6078125,0.014571429,24.48228571,32.74142857,15.70457143,5.115625,17.03685714
New Mexico,13,35,N.M.,2097021,6.2,2022/8/15,8:12 PM,10389,0,2022/8/15,10.4546875,0,24.74971429,33.02,15.96828571,6.2625,17.05171429
New Mexico,13,35,N.M.,2097021,6.2,2022/8/16,8:22 PM,10389,0,2022/8/16,12.1834375,1.131714286,23.84285714,32.38857143,16.224,7.0375,16.16457143
New Mexico,16,35,N.M.,2097021,7.63,2022/8/17,8:24 PM,13514,3,2022/8/17,13.90875,2.099117647,21.61885714,29.66342857,16.28571429,7.159375,13.37771429
New Mexico,16,35,N.M.,2097021,7.63,2022/8/18,8:13 PM,14112,0,2022/8/18,14.8384375,4.76,21.14114286,28.414,16.532,5.8625,11.882
New Mexico,16,35,N.M.,2097021,7.63,2022/8/19,8:04 PM,14112,0,2022/8/19,13.7209375,2.293939394,21.15742857,27.95228571,15.51771429,5.178125,12.43457143
New Mexico,16,35,N.M.,2097021,7.63,2022/8/20,8:09 PM,14112,0,2022/8/20,15.1715625,6.5878125,18.76028571,25.86485714,15.43942857,6.484375,10.42542857
New Mexico,16,35,N.M.,2097021,7.63,2022/8/21,8:18 PM,14112,0,2022/8/21,14.5640625,19.58878788,18.49771429,24.84285714,14.714,6.215625,10.12885714
New Mexico,19,35,N.M.,2097021,9.06,2022/8/22,8:33 PM,15430,3,2022/8/22,14.68625,2.547352941,19.83257143,25.96857143,14.85057143,5.7625,11.118
New Mexico,19,35,N.M.,2097021,9.06,2022/8/23,8:30 PM,15906,0,2022/8/23,13.6825,2.360588235,19.97857143,26.63371429,14.74914286,4.5125,11.88457143
New Mexico,21,35,N.M.,2097021,10.01,2022/8/24,8:29 PM,16600,2,2022/8/24,12.9178125,0.993030303,20.884,27.62085714,14.75857143,4.528125,12.86228571
New Mexico,23,35,N.M.,2097021,10.97,2022/8/25,8:37 PM,16923,2,2022/8/25,12.1834375,0.174285714,21.15485714,28.48742857,14.65571429,4.371875,13.83171429
New Mexico,23,35,N.M.,2097021,10.97,2022/8/26,8:23 PM,17429,0,2022/8/26,12.4375,0.423333333,21.848,28.85342857,15.32885714,5.346875,13.52457143
New Mexico,23,35,N.M.,2097021,10.97,2022/8/27,8:22 PM,17429,0,2022/8/27,13.44741935,2.409032258,22.185,29.70058824,15.45911765,5.732258065,14.24147059
New Mexico,23,35,N.M.,2097021,10.97,2022/8/28,8:31 PM,17429,0,2022/8/28,11.27548387,0.461818182,22.35235294,31.39382353,14.37058824,5.406451613,17.02323529
New Mexico,25,35,N.M.,2097021,11.92,2022/8/29,8:38 PM,18098,2,2022/8/29,10.03375,0.217714286,23.07942857,32.238,14.35228571,6.79375,17.88571429
New Mexico,25,35,N.M.,2097021,11.92,2022/8/30,8:51 PM,18414,0,2022/8/30,10.6746875,1.105588235,21.96942857,31.04971429,14.40342857,7.465625,16.64628571
New Mexico,26,35,N.M.,2097021,12.4,2022/8/31,8:28 PM,18986,1,2022/8/31,13.3196875,1.031818182,20.792,28.34942857,14.73457143,5.659375,13.61485714
New Mexico,26,35,N.M.,2097021,12.4,2022/9/1,8:33 PM,19462,0,2022/9/1,13.26625,2.345,20.95628571,28.362,14.44257143,5.021875,13.91942857
New Mexico,26,35,N.M.,2097021,12.4,2022/9/2,8:24 PM,19959,0,2022/9/2,11.66290323,0.237741935,21.56029412,31.06382353,13.54882353,5.135483871,17.515
New Mexico,26,35,N.M.,2097021,12.4,2022/9/3,8:30 PM,19959,0,2022/9/3,10.58064516,0.144,22.09676471,30.92352941,13.87088235,7.05483871,17.05264706
New Mexico,26,35,N.M.,2097021,12.4,2022/9/4,8:35 PM,19959,0,2022/9/4,10.29645161,0.854545455,20.96294118,30.00176471,12.99529412,5.1,17.00647059
New Mexico,26,35,N.M.,2097021,12.4,2022/9/5,8:41 PM,19959,0,2022/9/5,7.879032258,0.015,22.21617647,31.71882353,12.53117647,5.764516129,19.18764706
New Mexico,27,35,N.M.,2097021,12.88,2022/9/6,8:40 PM,20730,1,2022/9/6,6.5134375,0.044705882,22.90371429,32.032,12.86485714,5.39375,19.16714286
New Mexico,27,35,N.M.,2097021,12.88,2022/9/7,8:32 PM,21271,0,2022/9/7,5.3384375,0,22.93314286,32.272,12.54742857,5.09375,19.72457143
