location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
New York,1666,36,N.Y.,19514849,85.37,2022/8/4,2:24 PM,7507,0,2022/8/4,19.5602439,0.969772727,25.20652174,31.37326087,18.48173913,5.452380952,12.89152174
New York,1862,36,N.Y.,19514849,95.41,2022/8/5,7:51 PM,7507,196,2022/8/5,20.81780488,2.378181818,25.16021739,31.09282609,20.54195652,4.033333333,10.55086957
New York,1862,36,N.Y.,19514849,95.41,2022/8/6,7:58 PM,7507,0,2022/8/6,20.69268293,0.790909091,25.47282609,31.44391304,20.52913043,5,10.91478261
New York,1862,36,N.Y.,19514849,95.41,2022/8/7,8:02 PM,7507,0,2022/8/7,21.79414634,0.822826087,26.62043478,31.80978261,21.17543478,6.578571429,10.63434783
New York,1960,36,N.Y.,19514849,100.44,2022/8/8,8:09 PM,8931,98,2022/8/8,21.77658537,1.275581395,26.21782609,31.46847826,22.49521739,7.647619048,8.97326087
New York,2104,36,N.Y.,19514849,107.82,2022/8/9,7:37 PM,9489,144,2022/8/9,20.09609756,3.041904762,24.37347826,30.385,20.65695652,7.476190476,9.728043478
New York,2104,36,N.Y.,19514849,107.82,2022/8/10,7:52 PM,9489,0,2022/8/10,16.34,0.739111111,21.94282609,27.93369565,18.10391304,3.819047619,9.829782609
New York,2132,36,N.Y.,19514849,109.25,2022/8/11,7:59 PM,10389,28,2022/8/11,15.88609756,0.321555556,21.82391304,27.50804348,16.63173913,5.147619048,10.87630435
New York,2132,36,N.Y.,19514849,109.25,2022/8/12,7:51 PM,10389,0,2022/8/12,10.94560976,0.635,20.41434783,27.02869565,14.54630435,6.247619048,12.4823913
New York,2132,36,N.Y.,19514849,109.25,2022/8/13,8:05 PM,10389,0,2022/8/13,9.454634146,0,19.04195652,26.11478261,11.86978261,4.352380952,14.245
New York,2132,36,N.Y.,19514849,109.25,2022/8/14,8:17 PM,10389,0,2022/8/14,10.60585366,0,19.58847826,27.26108696,11.31543478,3.15952381,15.94565217
New York,2132,36,N.Y.,19514849,109.25,2022/8/15,8:12 PM,10389,0,2022/8/15,12.36658537,0,20.845,27.89043478,12.67043478,3.766666667,15.22
New York,2132,36,N.Y.,19514849,109.25,2022/8/16,8:22 PM,10389,0,2022/8/16,13.96414634,0.276444444,20.71695652,27.69717391,14.2673913,4.247619048,13.42978261
New York,2675,36,N.Y.,19514849,137.08,2022/8/17,8:24 PM,13514,543,2022/8/17,14.54341463,1.379318182,20.04217391,27.02326087,14.7076087,3.845238095,12.31565217
New York,2744,36,N.Y.,19514849,140.61,2022/8/18,8:13 PM,14112,69,2022/8/18,14.68317073,3.939777778,20.13978261,27.29913043,14.64630435,5.261904762,12.65282609
New York,2744,36,N.Y.,19514849,140.61,2022/8/19,8:04 PM,14112,0,2022/8/19,14.94,0.181956522,22.34782609,29.63130435,14.93478261,4.728571429,14.69652174
New York,2744,36,N.Y.,19514849,140.61,2022/8/20,8:09 PM,14112,0,2022/8/20,16.30804878,0,23.52086957,30.97304348,16.00847826,3.85952381,14.96456522
New York,2744,36,N.Y.,19514849,140.61,2022/8/21,8:18 PM,14112,0,2022/8/21,17.98292683,0.807727273,22.77391304,29.9173913,16.96,4.871428571,12.9573913
New York,2910,36,N.Y.,19514849,149.12,2022/8/22,8:33 PM,15430,166,2022/8/22,19.21585366,5.65255814,21.81869565,27.20717391,18.37826087,3.716666667,8.828913043
New York,3019,36,N.Y.,19514849,154.7,2022/8/23,8:30 PM,15906,109,2022/8/23,19.33536585,10.26069767,22.05782609,26.60413043,19.075,4.545238095,7.529130435
New York,3038,36,N.Y.,19514849,155.68,2022/8/24,8:29 PM,16600,19,2022/8/24,17.13146341,2.457173913,22.79565217,28.56152174,17.6026087,5.219047619,10.95891304
New York,3117,36,N.Y.,19514849,159.72,2022/8/25,8:37 PM,16923,79,2022/8/25,16.33609756,0.60173913,22.80913043,29.37978261,16.58543478,3.919047619,12.79434783
New York,3124,36,N.Y.,19514849,160.08,2022/8/26,8:23 PM,17429,7,2022/8/26,18.18365854,1.033488372,22.46217391,28.55456522,17.32586957,4.878571429,11.22869565
New York,3124,36,N.Y.,19514849,160.08,2022/8/27,8:22 PM,17429,0,2022/8/27,16.41365854,1.772666667,21.78586957,27.17869565,17.37543478,4.65952381,9.80326087
New York,3124,36,N.Y.,19514849,160.08,2022/8/28,8:31 PM,17429,0,2022/8/28,16.10073171,0,21.33108696,29.16652174,15.51108696,4.357142857,13.65543478
New York,3197,36,N.Y.,19514849,163.82,2022/8/29,8:38 PM,18098,73,2022/8/29,19.59560976,0.207727273,24.73565217,30.88043478,17.89521739,6.826190476,12.98521739
New York,3273,36,N.Y.,19514849,167.72,2022/8/30,8:51 PM,18414,76,2022/8/30,20.31463415,2.153333333,23.99478261,29.41869565,19.66347826,7.516666667,9.755217391
New York,3310,36,N.Y.,19514849,169.61,2022/8/31,8:28 PM,18986,37,2022/8/31,15.62170732,11.27833333,21.62065217,27.3076087,17.65043478,8.395238095,9.657173913
New York,3367,36,N.Y.,19514849,172.54,2022/9/1,8:33 PM,19462,57,2022/9/1,10.76756098,0.795555556,19.44891304,25.79565217,14.48913043,7.280952381,11.30652174
New York,3403,36,N.Y.,19514849,174.38,2022/9/2,8:24 PM,19959,36,2022/9/2,10.30634146,0.027391304,18.09826087,27.08826087,10.86956522,4.392857143,16.21869565
