location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
North Carolina,72,37,N.C.,10386227,6.93,2022/8/4,2:24 PM,7507,0,2022/8/4,22.2341791,0.587377049,27.282,33.43242857,22.14685714,4.132835821,11.28557143
North Carolina,95,37,N.C.,10386227,9.15,2022/8/5,7:51 PM,7507,23,2022/8/5,22.2241791,0.96440678,26.78157143,32.81485714,22.24285714,4.062686567,10.572
North Carolina,95,37,N.C.,10386227,9.15,2022/8/6,7:58 PM,7507,0,2022/8/6,22.00656716,2.926885246,26.302,32.36085714,21.91457143,3.068656716,10.44628571
North Carolina,95,37,N.C.,10386227,9.15,2022/8/7,8:02 PM,7507,0,2022/8/7,21.69985075,3.101967213,25.70071429,32.19671429,20.98157143,2.750746269,11.21514286
North Carolina,111,37,N.C.,10386227,10.69,2022/8/8,8:09 PM,8931,16,2022/8/8,22.07507463,0.803880597,26.69342857,32.82871429,21.59042857,3.737313433,11.23828571
North Carolina,114,37,N.C.,10386227,10.98,2022/8/9,7:37 PM,9489,3,2022/8/9,22.1358209,1.5875,27.18685714,33.52142857,22.22771429,5.488059701,11.29371429
North Carolina,114,37,N.C.,10386227,10.98,2022/8/10,7:52 PM,9489,0,2022/8/10,21.97134328,1.129464286,27.317,33.69328571,22.53642857,5.511940299,11.15685714
North Carolina,122,37,N.C.,10386227,11.75,2022/8/11,7:59 PM,10389,8,2022/8/11,21.32015152,3.858297872,25.83173913,31.8042029,22.31391304,5.166666667,9.490289855
North Carolina,122,37,N.C.,10386227,11.75,2022/8/12,7:51 PM,10389,0,2022/8/12,20.21863636,7.416909091,23.66724638,28.89985507,20.45942029,4.057575758,8.440434783
North Carolina,122,37,N.C.,10386227,11.75,2022/8/13,8:05 PM,10389,0,2022/8/13,15.85409091,7.257575758,22.49884058,28.86695652,16.67376812,3.460606061,12.19318841
North Carolina,122,37,N.C.,10386227,11.75,2022/8/14,8:17 PM,10389,0,2022/8/14,15.24447761,0.012459016,22.137,28.968,16.21542857,2.294029851,12.75257143
North Carolina,122,37,N.C.,10386227,11.75,2022/8/15,8:12 PM,10389,0,2022/8/15,18.4661194,4.5108,22.40142857,27.87385714,17.76157143,2.879104478,10.11228571
North Carolina,122,37,N.C.,10386227,11.75,2022/8/16,8:22 PM,10389,0,2022/8/16,18.89402985,7.691052632,21.37657143,26.22042857,18.46785714,4.497014925,7.752571429
North Carolina,188,37,N.C.,10386227,18.1,2022/8/17,8:24 PM,13514,66,2022/8/17,18.10313433,1.43625,22.504,27.52971429,18.561,4.459701493,8.968714286
North Carolina,188,37,N.C.,10386227,18.1,2022/8/18,8:13 PM,14112,0,2022/8/18,17.16402985,0.800454545,22.445,28.73571429,16.977,2.13880597,11.75871429
North Carolina,188,37,N.C.,10386227,18.1,2022/8/19,8:04 PM,14112,0,2022/8/19,18.77492537,1.716724138,22.154,27.45085714,17.59771429,2.635820896,9.853142857
North Carolina,188,37,N.C.,10386227,18.1,2022/8/20,8:09 PM,14112,0,2022/8/20,20.48761194,8.0895,23.50385714,29.07114286,18.98742857,1.953731343,10.08371429
North Carolina,188,37,N.C.,10386227,18.1,2022/8/21,8:18 PM,14112,0,2022/8/21,21.5241791,4.279259259,23.56,28.748,20.35771429,2.392537313,8.390285714
North Carolina,250,37,N.C.,10386227,24.07,2022/8/22,8:33 PM,15430,62,2022/8/22,21.75181818,14.82827586,24.29391304,29.42434783,20.61391304,4.278787879,8.810434783
North Carolina,261,37,N.C.,10386227,25.13,2022/8/23,8:30 PM,15906,11,2022/8/23,20.458,4.322295082,24.07029412,29.48264706,19.43470588,2.726153846,10.04794118
North Carolina,265,37,N.C.,10386227,25.51,2022/8/24,8:29 PM,16600,4,2022/8/24,20.00343284,0.986857143,24.27657143,30.59585714,19.24357143,1.162121212,11.35228571
North Carolina,265,37,N.C.,10386227,25.51,2022/8/25,8:37 PM,16923,0,2022/8/25,20.95735294,1.212931034,24.07521127,29.97619718,19.73802817,1.743283582,10.23816901
North Carolina,288,37,N.C.,10386227,27.73,2022/8/26,8:23 PM,17429,23,2022/8/26,20.37264706,1.417636364,23.76605634,30.53647887,19.34788732,1.86119403,11.18859155
North Carolina,288,37,N.C.,10386227,27.73,2022/8/27,8:22 PM,17429,0,2022/8/27,20.83117647,1.377575758,25.06690141,31.98028169,19.58915493,1.847761194,12.39112676
North Carolina,288,37,N.C.,10386227,27.73,2022/8/28,8:31 PM,17429,0,2022/8/28,21.31852941,0.016031746,25.20352113,31.77140845,19.74492958,2.510447761,12.02647887
North Carolina,308,37,N.C.,10386227,29.65,2022/8/29,8:38 PM,18098,20,2022/8/29,21.67205882,0.98421875,25.17394366,31.13943662,20.41943662,2.255223881,10.72
North Carolina,308,37,N.C.,10386227,29.65,2022/8/30,8:51 PM,18414,0,2022/8/30,21.63764706,2.064516129,25.10591549,31.3943662,20.94028169,3.5,10.45408451
North Carolina,318,37,N.C.,10386227,30.62,2022/8/31,8:28 PM,18986,10,2022/8/31,19.48867647,2.281612903,25.25507042,31.28084507,20.1415493,3.649253731,11.13929577
North Carolina,322,37,N.C.,10386227,31,2022/9/1,8:33 PM,19462,4,2022/9/1,17.30352941,0,23.4671831,30.79197183,17.0484507,2.013235294,13.74352113
North Carolina,346,37,N.C.,10386227,33.31,2022/9/2,8:24 PM,19959,24,2022/9/2,18.23955882,0,23.96478873,31.40295775,17.14704225,2.032352941,14.25591549
North Carolina,346,37,N.C.,10386227,33.31,2022/9/3,8:30 PM,19959,0,2022/9/3,19.57985294,0.052835821,24.70309859,31.14676056,18.38098592,2.767647059,12.76577465
North Carolina,346,37,N.C.,10386227,33.31,2022/9/4,8:35 PM,19959,0,2022/9/4,20.33367647,0.611967213,24.50014085,30.42887324,19.63211268,2.5,10.79676056
North Carolina,346,37,N.C.,10386227,33.31,2022/9/5,8:41 PM,19959,0,2022/9/5,20.97426471,5.403636364,23.86267606,29.16422535,19.95197183,2.710294118,9.212253521
North Carolina,377,37,N.C.,10386227,36.3,2022/9/6,8:40 PM,20730,31,2022/9/6,22.35632353,10.94,25.40394366,31.0315493,21.4356338,3.792647059,9.595915493
North Carolina,382,37,N.C.,10386227,36.78,2022/9/7,8:32 PM,21271,5,2022/9/7,21.17238806,4.440172414,24.44857143,30.40214286,20.44357143,3.035820896,9.958571429
North Carolina,387,37,N.C.,10386227,37.26,2022/9/8,8:28 PM,21501,5,2022/9/8,19.43411765,4.109636364,22.86661972,28.51239437,19.88943662,5.230882353,8.622957746
North Carolina,387,37,N.C.,10386227,37.26,2022/9/9,8:32 PM,21891,0,2022/9/9,17.51176471,0.148714286,21.66126761,27.45971831,17.18985915,4.907352941,10.26985915
North Carolina,387,37,N.C.,10386227,37.26,2022/9/10,8:29 PM,21891,0,2022/9/10,19.64,4.547777778,21.86676056,26.65042254,18.73690141,5,7.913521127
North Carolina,387,37,N.C.,10386227,37.26,2022/9/11,8:46 PM,21891,0,2022/9/11,22.43911765,17.37111111,24.37323944,29.61478873,20.94661972,3.151470588,8.668169014
North Carolina,387,37,N.C.,10386227,37.26,2022/9/12,8:40 PM,21982,0,2022/9/12,22.05132353,3.121774194,24.96507042,30.30971831,21.54366197,3.85,8.766056338
North Carolina,428,37,N.C.,10386227,41.21,2022/9/13,8:35 PM,22627,41,2022/9/13,18.2175,1.679846154,23.37985915,29.0584507,18.76521127,3.925,10.29323944
North Carolina,435,37,N.C.,10386227,41.88,2022/9/14,8:42 PM,22771,7,2022/9/14,14.56014706,0.053661972,20.54253521,27.24957746,14.88577465,3.019117647,12.36380282
North Carolina,435,37,N.C.,10386227,41.88,2022/9/15,6:41 AM,22771,0,2022/9/15,14.94,0.043428571,20.2184507,27.56267606,13.95929577,3.804411765,13.60338028
North Carolina,434,37,N.C.,10386227,41.79,2022/9/16,8:22 PM,23496,0,2022/9/16,15.86567164,0.033043478,20.59571429,27.803,14.29314286,2.628358209,13.50985714
North Carolina,434,37,N.C.,10386227,41.79,2022/9/17,8:43 PM,23496,0,2022/9/17,15.31439394,0.040434783,20.24652174,27.71304348,13.53101449,2.266666667,14.18202899
North Carolina,434,37,N.C.,10386227,41.79,2022/9/18,8:45 PM,23496,0,2022/9/18,16.68560606,0.025797101,21.21449275,28.86405797,14.31623188,1.86969697,14.54782609
North Carolina,434,37,N.C.,10386227,41.79,2022/9/19,8:34 PM,23890,0,2022/9/19,17.57060606,0.011014493,22.23507246,29.88057971,15.27695652,1.774242424,14.60362319
North Carolina,434,37,N.C.,10386227,41.79,2022/9/20,8:45 PM,24200,0,2022/9/20,18.4941791,0.304714286,23.67071429,31.32357143,16.70914286,2.019402985,14.61442857
North Carolina,434,37,N.C.,10386227,41.79,2022/9/21,8:31 PM,24361,0,2022/9/21,17.92044776,0.192285714,23.59628571,31.59271429,16.59014286,1.710447761,15.00257143
North Carolina,512,37,N.C.,10386227,49.3,2022/9/22,8:39 PM,24569,78,2022/9/22,18.81537313,0.925357143,23.95614286,32.999,17.36428571,4.62238806,15.63471429
North Carolina,512,37,N.C.,10386227,49.3,2022/9/23,8:37 PM,24843,0,2022/9/23,6.536911765,1.063142857,18.34352113,24.60746479,11.52492958,7.555882353,13.08253521
North Carolina,512,37,N.C.,10386227,49.3,2022/9/24,8:33 PM,24843,0,2022/9/24,7.789264706,0.003968254,15.37098592,23.85211268,8.341126761,1.929411765,15.51098592
North Carolina,512,37,N.C.,10386227,49.3,2022/9/25,8:46 PM,24843,0,2022/9/25,12.97984848,0.483114754,19.63289855,27.37188406,11.9557971,5.292424242,15.41608696
North Carolina,510,37,N.C.,10386227,49.1,2022/9/26,8:27 PM,25159,0,2022/9/26,14.50179104,2.018214286,21.10785714,27.525,14.28085714,4.544776119,13.24414286
North Carolina,510,37,N.C.,10386227,49.1,2022/9/27,8:34 PM,25338,0,2022/9/27,9.586029412,0.139577465,18.12873239,25.72535211,11.11112676,3.155882353,14.61422535
North Carolina,566,37,N.C.,10386227,54.5,2022/9/28,8:37 PM,25506,56,2022/9/28,6.273823529,0,15.23985915,22.61647887,8.80028169,4.691176471,13.81619718
North Carolina,566,37,N.C.,10386227,54.5,2022/9/29,8:51 PM,25610,0,2022/9/29,8.535588235,0.117462687,15.44169014,20.83366197,10.61816901,9.904411765,10.21549296
North Carolina,566,37,N.C.,10386227,54.5,2022/9/30,8:46 PM,25848,0,2022/9/30,12.77808824,12.17918033,15.56957746,19.90028169,12.75478873,14.01176471,7.145492958
North Carolina,566,37,N.C.,10386227,54.5,2022/10/1,8:39 PM,25848,0,2022/10/1,14.2480597,43.92916667,17.03185714,20.61828571,14.04085714,7.68358209,6.577428571
North Carolina,566,37,N.C.,10386227,54.5,2022/10/2,7:57 PM,25848,0,2022/10/2,12.47606061,0.553064516,15.58304348,19.9026087,12.00362319,3.575757576,7.898985507
