location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
North Dakota,1,38,N.D.,760394,1.32,2022/8/4,2:24 PM,7507,0,2022/8/4,12.44484848,0.014111111,22.05583333,33.36722222,13.85805556,8.666666667,19.50916667
North Dakota,1,38,N.D.,760394,1.32,2022/8/5,7:51 PM,7507,0,2022/8/5,15.23333333,0.1825625,25.4325,32.83638889,19.165,10.15151515,13.67138889
North Dakota,1,38,N.D.,760394,1.32,2022/8/6,7:58 PM,7507,0,2022/8/6,9.944545455,0.245806452,17.51833333,26.83638889,13.11916667,8.057575758,13.71722222
North Dakota,1,38,N.D.,760394,1.32,2022/8/7,8:02 PM,7507,0,2022/8/7,11.96264706,0.517071429,15.00594595,20.75189189,11.55243243,4.308823529,9.199459459
North Dakota,2,38,N.D.,760394,2.63,2022/8/8,8:09 PM,8931,1,2022/8/8,12.67882353,0.597243243,19.25,30.90567568,10.89675676,7.258823529,20.00891892
North Dakota,2,38,N.D.,760394,2.63,2022/8/9,7:37 PM,9489,0,2022/8/9,13.09558824,0,22.4872973,30.52864865,14.44162162,8.879411765,16.08702703
North Dakota,2,38,N.D.,760394,2.63,2022/8/10,7:52 PM,9489,0,2022/8/10,11.47111111,0,19.37179487,27.06282051,11.15487179,6.125,15.90794872
North Dakota,2,38,N.D.,760394,2.63,2022/8/11,7:59 PM,10389,0,2022/8/11,13.27583333,0.079375,18.94615385,25.30487179,13.22769231,8.313888889,12.07717949
North Dakota,2,38,N.D.,760394,2.63,2022/8/12,7:51 PM,10389,0,2022/8/12,16.29472222,0.9128125,20.48564103,26.99820513,15.16974359,6.994444444,11.82846154
North Dakota,2,38,N.D.,760394,2.63,2022/8/13,8:05 PM,10389,0,2022/8/13,17.49305556,0.033421053,20.5325641,27.69076923,14.78897436,4.9,12.90179487
North Dakota,2,38,N.D.,760394,2.63,2022/8/14,8:17 PM,10389,0,2022/8/14,17.062,1.479176471,22.12564103,30.70948718,15.81487179,6.422222222,14.89461538
North Dakota,2,38,N.D.,760394,2.63,2022/8/15,8:12 PM,10389,0,2022/8/15,18.41342857,0.045357143,22.90666667,30.34358974,16.97282051,6.433333333,13.37076923
North Dakota,2,38,N.D.,760394,2.63,2022/8/16,8:22 PM,10389,0,2022/8/16,16.93055556,0.147052632,22.21974359,29.70230769,15.21102564,4.830555556,14.49128205
North Dakota,3,38,N.D.,760394,3.95,2022/8/17,8:24 PM,13514,1,2022/8/17,16.33027778,0.0635,22.34051282,30.29615385,15.09076923,4.475,15.20538462
North Dakota,3,38,N.D.,760394,3.95,2022/8/18,8:13 PM,14112,0,2022/8/18,16.38972222,4.281714286,21.09333333,28.59410256,15.03820513,7.097222222,13.55589744
North Dakota,3,38,N.D.,760394,3.95,2022/8/19,8:04 PM,14112,0,2022/8/19,15.48714286,3.302,19.10307692,26.14666667,14.17794872,9.388888889,11.96871795
North Dakota,3,38,N.D.,760394,3.95,2022/8/20,8:09 PM,14112,0,2022/8/20,15.10428571,0.275166667,19.73384615,27.41333333,12.36205128,4.902777778,15.05128205
North Dakota,3,38,N.D.,760394,3.95,2022/8/21,8:18 PM,14112,0,2022/8/21,14.74942857,0.013025641,21.79230769,30.88641026,13.89589744,5.772222222,16.99051282
North Dakota,4,38,N.D.,760394,5.26,2022/8/22,8:33 PM,15430,1,2022/8/22,15.57085714,0.020052632,23.06692308,31.18538462,15.10820513,5.652777778,16.07717949
North Dakota,4,38,N.D.,760394,5.26,2022/8/23,8:30 PM,15906,0,2022/8/23,16.44297297,1.000125,22.69975,30.80575,15.1875,5.602702703,15.61825
North Dakota,4,38,N.D.,760394,5.26,2022/8/24,8:29 PM,16600,0,2022/8/24,16.12666667,3.783724138,18.89225,25.42825,15.25375,7.959459459,10.1745
North Dakota,4,38,N.D.,760394,5.26,2022/8/25,8:37 PM,16923,0,2022/8/25,12.52277778,0,17.061,24.46125,10.18325,4.659459459,14.278
North Dakota,4,38,N.D.,760394,5.26,2022/8/26,8:23 PM,17429,0,2022/8/26,13.28459459,0,18.367,25.66675,11.86275,6.613513514,13.804
North Dakota,4,38,N.D.,760394,5.26,2022/8/27,8:22 PM,17429,0,2022/8/27,14.81243243,1.5001875,20.52675,30.97275,13.8,8.905405405,17.17275
North Dakota,4,38,N.D.,760394,5.26,2022/8/28,8:31 PM,17429,0,2022/8/28,13.93868421,2.139461538,21.12365854,29.4595122,15.99195122,10.59473684,13.46756098
North Dakota,4,38,N.D.,760394,5.26,2022/8/29,8:38 PM,18098,0,2022/8/29,11.16945946,1.36525,18.50390244,25.04853659,13.1002439,13.86578947,11.94829268
North Dakota,5,38,N.D.,760394,6.58,2022/8/30,8:51 PM,18414,1,2022/8/30,9.680810811,0.00635,19.35658537,30.76317073,9.990243902,6.578947368,20.77292683
North Dakota,5,38,N.D.,760394,6.58,2022/8/31,8:28 PM,18986,0,2022/8/31,12.13631579,0,21.59926829,31.71853659,11.50292683,3.915789474,20.21560976
North Dakota,5,38,N.D.,760394,6.58,2022/9/1,8:33 PM,19462,0,2022/9/1,13.06973684,0.012390244,23.72487805,34.40487805,14.36073171,7.334210526,20.04414634
North Dakota,5,38,N.D.,760394,6.58,2022/9/2,8:24 PM,19959,0,2022/9/2,10.16947368,0.026736842,21.24926829,31.16243902,13.77121951,9.557894737,17.39121951
North Dakota,5,38,N.D.,760394,6.58,2022/9/3,8:30 PM,19959,0,2022/9/3,7.450263158,0.012390244,16.61121951,27.39439024,6.799512195,5.513157895,20.59487805
North Dakota,5,38,N.D.,760394,6.58,2022/9/4,8:35 PM,19959,0,2022/9/4,9.562105263,0,19.78926829,29.92658537,10.86853659,10.48157895,19.05804878
North Dakota,5,38,N.D.,760394,6.58,2022/9/5,8:41 PM,19959,0,2022/9/5,11.08921053,0,21.39536585,31.67317073,12.35902439,9.055263158,19.31414634
North Dakota,5,38,N.D.,760394,6.58,2022/9/6,8:40 PM,20730,0,2022/9/6,10.71315789,0.00635,20.69756098,30.52585366,12.21268293,7.615789474,18.31317073
North Dakota,5,38,N.D.,760394,6.58,2022/9/7,8:32 PM,21271,0,2022/9/7,10.84052632,0.018585366,19.69170732,32.04487805,9.98804878,7.434210526,22.05682927
North Dakota,5,38,N.D.,760394,6.58,2022/9/8,8:28 PM,21501,0,2022/9/8,12.035,0.008193548,22.40756098,30.68853659,16.18585366,10.83947368,14.50268293
North Dakota,5,38,N.D.,760394,6.58,2022/9/9,8:32 PM,21891,0,2022/9/9,6.564210526,0.260864865,14.16926829,20.7,8.551219512,7.873684211,12.14878049
North Dakota,5,38,N.D.,760394,6.58,2022/9/10,8:29 PM,21891,0,2022/9/10,3.064210526,0,12.79341463,20.99439024,4.880487805,6.694736842,16.11390244
North Dakota,5,38,N.D.,760394,6.58,2022/9/11,8:46 PM,21891,0,2022/9/11,2.807368421,0.012390244,14.48804878,26.64243902,4.309268293,5.339473684,22.33317073
North Dakota,5,38,N.D.,760394,6.58,2022/9/12,8:40 PM,21982,0,2022/9/12,5.217105263,0,17.81243902,29.52170732,7.377073171,6.102631579,22.14463415
North Dakota,5,38,N.D.,760394,6.58,2022/9/13,8:35 PM,22627,0,2022/9/13,6.536842105,0.012390244,15.31536585,26.39560976,7.914878049,10.09210526,18.48073171
North Dakota,5,38,N.D.,760394,6.58,2022/9/14,8:42 PM,22771,0,2022/9/14,8.139189189,0,14.75625,23.8375,8.1,10.74594595,15.7375
North Dakota,5,38,N.D.,760394,6.58,2022/9/15,6:41 AM,22771,0,2022/9/15,13.02210526,0.9144,15.56390244,21.98609756,12.4402439,9.839473684,9.545853659
North Dakota,5,38,N.D.,760394,6.58,2022/9/16,8:22 PM,23496,0,2022/9/16,11.92263158,0.934064516,13.18390244,15.8602439,11.80487805,6.8,4.055365854
North Dakota,5,38,N.D.,760394,6.58,2022/9/17,8:43 PM,23496,0,2022/9/17,11.58378378,1.647151515,13.62585366,19.08121951,10.50121951,3.868421053,8.58
North Dakota,5,38,N.D.,760394,6.58,2022/9/18,8:45 PM,23496,0,2022/9/18,10.12842105,0.3937,15.6795122,26.04341463,7.582682927,4.689473684,18.46073171
North Dakota,5,38,N.D.,760394,6.58,2022/9/19,8:34 PM,23890,0,2022/9/19,10.34289474,0.09525,18.15097561,28.88731707,9.550243902,7.318421053,19.33707317
