location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Oklahoma,10,40,Okla.,3949342,2.53,2022/8/4,2:24 PM,7507,0,2022/8/4,18.56096154,0.404090909,30.85090909,38.29581818,24.79581818,7.841176471,13.5
Oklahoma,11,40,Okla.,3949342,2.79,2022/8/5,7:51 PM,7507,1,2022/8/5,19.71942308,0.986117647,31.01090909,39.02909091,24.17272727,7.380392157,14.85636364
Oklahoma,11,40,Okla.,3949342,2.79,2022/8/6,7:58 PM,7507,0,2022/8/6,18.21115385,0.200269231,31.72327273,38.02309091,25.32909091,9.517647059,12.694
Oklahoma,11,40,Okla.,3949342,2.79,2022/8/7,8:02 PM,7507,0,2022/8/7,18.60711538,0,30.73,37.20218182,24.27963636,8.641176471,12.92254545
Oklahoma,11,40,Okla.,3949342,2.79,2022/8/8,8:09 PM,8931,0,2022/8/8,18.30153846,0.546652174,30.47127273,37.38490909,24.30109091,6.739215686,13.08381818
Oklahoma,11,40,Okla.,3949342,2.79,2022/8/9,7:37 PM,9489,0,2022/8/9,19.77153846,3.280833333,28.19345455,35.54345455,22.59636364,6.064705882,12.94709091
Oklahoma,11,40,Okla.,3949342,2.79,2022/8/10,7:52 PM,9489,0,2022/8/10,20.14173077,3.729463415,27.45254545,35.76036364,21.64963636,3.576470588,14.11072727
Oklahoma,12,40,Okla.,3949342,3.04,2022/8/11,7:59 PM,10389,1,2022/8/11,17.28480769,0.065851852,27.85927273,35.19381818,20.01581818,4.280392157,15.178
Oklahoma,12,40,Okla.,3949342,3.04,2022/8/12,7:51 PM,10389,0,2022/8/12,16.30038462,0,27.57527273,35.21290909,19.38781818,4.949019608,15.82509091
Oklahoma,12,40,Okla.,3949342,3.04,2022/8/13,8:05 PM,10389,0,2022/8/13,17.59865385,0,28.71872727,36.38072727,21.09290909,5.549019608,15.28781818
Oklahoma,12,40,Okla.,3949342,3.04,2022/8/14,8:17 PM,10389,0,2022/8/14,16.15192308,0,29.35,37.54381818,20.67163636,5.51372549,16.87218182
Oklahoma,12,40,Okla.,3949342,3.04,2022/8/15,8:12 PM,10389,0,2022/8/15,17.11846154,0,30.16872727,37.91254545,22.00309091,6.166666667,15.90945455
Oklahoma,12,40,Okla.,3949342,3.04,2022/8/16,8:22 PM,10389,0,2022/8/16,16.90019608,0,30.74444444,38.78796296,22.79944444,6.1,15.98851852
Oklahoma,15,40,Okla.,3949342,3.8,2022/8/17,8:24 PM,13514,3,2022/8/17,19.38215686,1.516944444,25.425,35.13277778,21.65814815,8.538,13.47462963
Oklahoma,17,40,Okla.,3949342,4.3,2022/8/18,8:13 PM,14112,2,2022/8/18,17.90666667,0.588818182,23.80018519,30.89888889,19.04425926,5.064,11.85462963
Oklahoma,17,40,Okla.,3949342,4.3,2022/8/19,8:04 PM,14112,0,2022/8/19,15.88326923,0.112888889,25.192,34.04872727,17.27636364,4.42745098,16.77236364
Oklahoma,17,40,Okla.,3949342,4.3,2022/8/20,8:09 PM,14112,0,2022/8/20,16.87192308,0.0635,27.11290909,35.08381818,20.16945455,5.688235294,14.91436364
Oklahoma,17,40,Okla.,3949342,4.3,2022/8/21,8:18 PM,14112,0,2022/8/21,19.59807692,5.147235294,24.06509091,30.36272727,21.10890909,4.784313725,9.253818182
Oklahoma,18,40,Okla.,3949342,4.56,2022/8/22,8:33 PM,15430,1,2022/8/22,19.29480769,7.12972093,23.72890909,30.82254545,19.57836364,5.696078431,11.24418182
Oklahoma,20,40,Okla.,3949342,5.06,2022/8/23,8:30 PM,15906,2,2022/8/23,17.84538462,0.169333333,24.81490909,31.27763636,19.31127273,5.429411765,11.96636364
Oklahoma,22,40,Okla.,3949342,5.57,2022/8/24,8:29 PM,16600,2,2022/8/24,17.41673077,0.014377358,25.56618182,33.04927273,19.22745455,3.87254902,13.82181818
Oklahoma,22,40,Okla.,3949342,5.57,2022/8/25,8:37 PM,16923,0,2022/8/25,16.24346154,0.16462963,26.06072727,34.11418182,18.19818182,3.315686275,15.916
Oklahoma,22,40,Okla.,3949342,5.57,2022/8/26,8:23 PM,17429,0,2022/8/26,16.33711538,0,26.70836364,34.79109091,18.43054545,3.915686275,16.36054545
Oklahoma,22,40,Okla.,3949342,5.57,2022/8/27,8:22 PM,17429,0,2022/8/27,18.20615385,0,27.68690909,35.17327273,20.91581818,6.517647059,14.25745455
Oklahoma,22,40,Okla.,3949342,5.57,2022/8/28,8:31 PM,17429,0,2022/8/28,20.35346154,1.4732,28.57672727,36.50381818,22.93563636,9.317647059,13.56818182
Oklahoma,22,40,Okla.,3949342,5.57,2022/8/29,8:38 PM,18098,0,2022/8/29,20.15653846,8.310358974,27.19472727,34.21581818,21.86563636,8.625490196,12.35018182
