location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Oregon,75,41,Ore.,4176346,17.96,2022/8/4,2:24 PM,7507,0,2022/8/4,9.204516129,0,20.70621622,30.57702703,12.18594595,5.503030303,18.39108108
Oregon,80,41,Ore.,4176346,19.16,2022/8/5,7:51 PM,7507,5,2022/8/5,7.91483871,0,20.04405405,29.05108108,11.06918919,6,17.98189189
Oregon,80,41,Ore.,4176346,19.16,2022/8/6,7:58 PM,7507,0,2022/8/6,7.600322581,0,19.98945946,29.8427027,10.67540541,4.736363636,19.1672973
Oregon,80,41,Ore.,4176346,19.16,2022/8/7,8:02 PM,7507,0,2022/8/7,7.241935484,0.007055556,21.37540541,32.47891892,10.39783784,3.984848485,22.08108108
Oregon,80,41,Ore.,4176346,19.16,2022/8/8,8:09 PM,8931,0,2022/8/8,8.858709677,0,22.14297297,33.00621622,12.37837838,4.590909091,20.62783784
Oregon,93,41,Ore.,4176346,22.27,2022/8/9,7:37 PM,9489,13,2022/8/9,11.79516129,0.276411765,21.77513514,30.52405405,14.56162162,4.333333333,15.96243243
Oregon,93,41,Ore.,4176346,22.27,2022/8/10,7:52 PM,9489,0,2022/8/10,13.0583871,1.016,20.40135135,29.42621622,14.34675676,5.290909091,15.07945946
Oregon,93,41,Ore.,4176346,22.27,2022/8/11,7:59 PM,10389,0,2022/8/11,10.79580645,0.459945946,20.12891892,29.49972973,11.82567568,3.86969697,17.67405405
Oregon,93,41,Ore.,4176346,22.27,2022/8/12,7:51 PM,10389,0,2022/8/12,9.942580645,0.087085714,20.30675676,29.71918919,11.77162162,4.521212121,17.94756757
Oregon,93,41,Ore.,4176346,22.27,2022/8/13,8:05 PM,10389,0,2022/8/13,8.177096774,0.014514286,19.84972973,28.79297297,11.64810811,5.281818182,17.14486486
Oregon,93,41,Ore.,4176346,22.27,2022/8/14,8:17 PM,10389,0,2022/8/14,8.258064516,0,19.79135135,28.96810811,10.46243243,4.739393939,18.50567568
Oregon,93,41,Ore.,4176346,22.27,2022/8/15,8:12 PM,10389,0,2022/8/15,8.060645161,0.027459459,20.81135135,30.31513514,10.88324324,4.475757576,19.43189189
Oregon,93,41,Ore.,4176346,22.27,2022/8/16,8:22 PM,10389,0,2022/8/16,9.290322581,0,21.87864865,31.6427027,11.98648649,4.990909091,19.65621622
Oregon,116,41,Ore.,4176346,27.78,2022/8/17,8:24 PM,13514,23,2022/8/17,9.721612903,0,23.46837838,33.37351351,13.19540541,4.460606061,20.17810811
Oregon,116,41,Ore.,4176346,27.78,2022/8/18,8:13 PM,14112,0,2022/8/18,12.31580645,0.061575758,24.11594595,33.25945946,15.69513514,4.112121212,17.56432432
Oregon,116,41,Ore.,4176346,27.78,2022/8/19,8:04 PM,14112,0,2022/8/19,13.08451613,0.007470588,22.59891892,30.83351351,15.67891892,4.663636364,15.15459459
Oregon,116,41,Ore.,4176346,27.78,2022/8/20,8:09 PM,14112,0,2022/8/20,12.74032258,0.036285714,21.42810811,29.44324324,14.9672973,4.221212121,14.47594595
Oregon,116,41,Ore.,4176346,27.78,2022/8/21,8:18 PM,14112,0,2022/8/21,10.641,0.007055556,21.59138889,31.50138889,12.96916667,3.771875,18.53222222
Oregon,141,41,Ore.,4176346,33.76,2022/8/22,8:33 PM,15430,25,2022/8/22,9.914516129,0.070555556,22.45378378,31.27486486,13.24783784,4.206060606,18.02702703
Oregon,141,41,Ore.,4176346,33.76,2022/8/23,8:30 PM,15906,0,2022/8/23,11.1516129,0.137297297,21.49594595,29.60297297,13.19459459,5.06969697,16.40837838
Oregon,141,41,Ore.,4176346,33.76,2022/8/24,8:29 PM,16600,0,2022/8/24,11.42741935,0,21.81216216,30.27378378,13.55675676,4.993939394,16.71702703
Oregon,141,41,Ore.,4176346,33.76,2022/8/25,8:37 PM,16923,0,2022/8/25,11.86225806,0.098777778,22.35432432,30.73,13.95648649,4.609375,16.77351351
Oregon,141,41,Ore.,4176346,33.76,2022/8/26,8:23 PM,17429,0,2022/8/26,11.3816129,0.056444444,21.44594595,30.49135135,13.84837838,4.896969697,16.64297297
Oregon,141,41,Ore.,4176346,33.76,2022/8/27,8:22 PM,17429,0,2022/8/27,9.756451613,0.036285714,19.80594595,28.44297297,13.02891892,6.9625,15.41405405
Oregon,141,41,Ore.,4176346,33.76,2022/8/28,8:31 PM,17429,0,2022/8/28,6.83516129,0.01372973,17.30216216,26.73,9.058378378,5.48125,17.67162162
Oregon,141,41,Ore.,4176346,33.76,2022/8/29,8:38 PM,18098,0,2022/8/29,7.928387097,0,19.68621622,30.79162162,9.318378378,4.218181818,21.47324324
Oregon,141,41,Ore.,4176346,33.76,2022/8/30,8:51 PM,18414,0,2022/8/30,9.100322581,0,21.92756757,32.60162162,11.30810811,3.66969697,21.29351351
Oregon,141,41,Ore.,4176346,33.76,2022/8/31,8:28 PM,18986,0,2022/8/31,9.420322581,0,22.24783784,32.44918919,12.73891892,4.412121212,19.71027027
Oregon,141,41,Ore.,4176346,33.76,2022/9/1,8:33 PM,19462,0,2022/9/1,8.055806452,0,21.11702703,31.80540541,11.69648649,4.542424242,20.10891892
Oregon,141,41,Ore.,4176346,33.76,2022/9/2,8:24 PM,19959,0,2022/9/2,6.967096774,0,20.94162162,31.52,11.15,4.084848485,20.37
Oregon,141,41,Ore.,4176346,33.76,2022/9/3,8:30 PM,19959,0,2022/9/3,8.403870968,0,20.90135135,31.25054054,13.55567568,5.381818182,17.69486486
Oregon,141,41,Ore.,4176346,33.76,2022/9/4,8:35 PM,19959,0,2022/9/4,8.223870968,0,19.25162162,30.02638889,9.665135135,3.839393939,20.36125375
Oregon,141,41,Ore.,4176346,33.76,2022/9/5,8:41 PM,19959,0,2022/9/5,8.494516129,0,19.91351351,29.58194444,10.47891892,5.342424242,19.10302553
Oregon,141,41,Ore.,4176346,33.76,2022/9/6,8:40 PM,20730,0,2022/9/6,7.140645161,0,20.21756757,32.19714286,9.890540541,4.084848485,22.30660232
Oregon,141,41,Ore.,4176346,33.76,2022/9/7,8:32 PM,21271,0,2022/9/7,8.476129032,0,21.70945946,32.10864865,11.12324324,5.009090909,20.98540541
Oregon,141,41,Ore.,4176346,33.76,2022/9/8,8:28 PM,21501,0,2022/9/8,4.373870968,0.034324324,18.95945946,29.95324324,8.857027027,6.163636364,21.09621622
Oregon,141,41,Ore.,4176346,33.76,2022/9/9,8:32 PM,21891,0,2022/9/9,1.104193548,0,18.19594595,30.06828571,7.155945946,6.324242424,22.91233977
Oregon,141,41,Ore.,4176346,33.76,2022/9/10,8:29 PM,21891,0,2022/9/10,1.182580645,0,20.17594595,30.4372973,9.765675676,6.772727273,20.67162162
Oregon,141,41,Ore.,4176346,33.76,2022/9/11,8:46 PM,21891,0,2022/9/11,5.868064516,0,19.16,29.25216216,10.02540541,4.03030303,19.22675676
Oregon,141,41,Ore.,4176346,33.76,2022/9/12,8:40 PM,21982,0,2022/9/12,9.098387097,0.692727273,18.62351351,26.4772973,12.28540541,3.260606061,14.19189189
Oregon,183,41,Ore.,4176346,43.82,2022/9/13,8:35 PM,22627,42,2022/9/13,10.02387097,0.388055556,17.25216216,24.25972973,11.77594595,3.251515152,12.48378378
Oregon,183,41,Ore.,4176346,43.82,2022/9/14,8:42 PM,22771,0,2022/9/14,9.299677419,0.425621622,16.37486486,23.46540541,10.16378378,3.503030303,13.30162162
Oregon,183,41,Ore.,4176346,43.82,2022/9/15,6:41 AM,22771,0,2022/9/15,8.639354839,0.028222222,16.45054054,23.13351351,10.45918919,3.839393939,12.67432432
Oregon,183,41,Ore.,4176346,43.82,2022/9/16,8:22 PM,23496,0,2022/9/16,7.663548387,0,15.08972973,22.41189189,8.677027027,4.53030303,13.73486486
Oregon,183,41,Ore.,4176346,43.82,2022/9/17,8:43 PM,23496,0,2022/9/17,6.378387097,0,13.58243243,21.66864865,6.355405405,4.16969697,15.31324324
Oregon,183,41,Ore.,4176346,43.82,2022/9/18,8:45 PM,23496,0,2022/9/18,8.558387097,0.823575758,14.68405405,22.70540541,6.95027027,4.303030303,15.75513514
Oregon,185,41,Ore.,4176346,44.3,2022/9/19,8:34 PM,23890,2,2022/9/19,8.417096774,0.425621622,15.24756757,24.49081081,8.082432432,3.557575758,16.40837838
Oregon,185,41,Ore.,4176346,44.3,2022/9/20,8:45 PM,24200,0,2022/9/20,7.866451613,1.647371429,16.37810811,24.40216216,8.607837838,4.236363636,15.79432432
