location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Pennsylvania,173,42,Pa.,12794885,13.52,2022/8/4,2:24 PM,7507,0,2022/8/4,20.08805556,0.936171429,25.65975,33.0235,18.172,4.056756757,14.8515
Pennsylvania,205,42,Pa.,12794885,16.02,2022/8/5,7:51 PM,7507,32,2022/8/5,20.46194444,6.013823529,24.459,32.01525,20.14425,3.483783784,11.871
Pennsylvania,205,42,Pa.,12794885,16.02,2022/8/6,7:58 PM,7507,0,2022/8/6,20.75333333,5.058833333,24.613,30.63925,20.27175,4.035135135,10.3675
Pennsylvania,205,42,Pa.,12794885,16.02,2022/8/7,8:02 PM,7507,0,2022/8/7,21.63805556,0.543277778,26.3155,31.48775,21.0915,5.467567568,10.39625
Pennsylvania,234,42,Pa.,12794885,18.29,2022/8/8,8:09 PM,8931,29,2022/8/8,21.71583333,2.052052632,26.61125,32.3055,22.28575,5.991891892,10.01975
Pennsylvania,251,42,Pa.,12794885,19.62,2022/8/9,7:37 PM,9489,17,2022/8/9,21.69944444,3.556,26.40625,32.004,22.38325,5.881081081,9.62075
Pennsylvania,251,42,Pa.,12794885,19.62,2022/8/10,7:52 PM,9489,0,2022/8/10,18.37472222,3.974756757,23.9805,30.0455,20.30975,3.386486486,9.73575
Pennsylvania,268,42,Pa.,12794885,20.95,2022/8/11,7:59 PM,10389,17,2022/8/11,16.27888889,1.744578947,23.3425,28.94125,17.75675,4.516216216,11.1845
Pennsylvania,268,42,Pa.,12794885,20.95,2022/8/12,7:51 PM,10389,0,2022/8/12,11.03305556,0.3683,21.90975,28.4205,15.6375,5.594594595,12.783
Pennsylvania,268,42,Pa.,12794885,20.95,2022/8/13,8:05 PM,10389,0,2022/8/13,8.248611111,0,19.59125,27.06,11.6195,3.408108108,15.4405
Pennsylvania,268,42,Pa.,12794885,20.95,2022/8/14,8:17 PM,10389,0,2022/8/14,11.71305556,0,20.35825,27.35,12.55725,2.794594595,14.79275
