location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Puerto Rico,19,72,,3255642,5.84,2022/8/4,2:24 PM,7507,0,2022/8/4,23.946,0.028222222,28.328,30.794,26.122,8.433333333,4.672
Puerto Rico,19,72,,3255642,5.84,2022/8/5,7:51 PM,7507,0,2022/8/5,23.7925,0.959555556,28.15444444,31.07333333,25.43777778,8.375,5.635555556
Puerto Rico,19,72,,3255642,5.84,2022/8/6,7:58 PM,7507,0,2022/8/6,23.898,0.2286,29.039,31.233,26.577,8.944444444,4.656
Puerto Rico,19,72,,3255642,5.84,2022/8/7,8:02 PM,7507,0,2022/8/7,25.032,0.0635,28.534,30.772,26.244,8.288888889,4.528
Puerto Rico,32,72,,3255642,9.83,2022/8/8,8:09 PM,8931,13,2022/8/8,24.29,0.310444444,29.136,31.543,26.616,9.833333333,4.927
Puerto Rico,32,72,,3255642,9.83,2022/8/9,7:37 PM,9489,0,2022/8/9,24.048,0,28.899,31.455,26.533,8.8,4.922
Puerto Rico,32,72,,3255642,9.83,2022/8/10,7:52 PM,9489,0,2022/8/10,23.958,0.0254,28.745,31.072,26.599,7.677777778,4.473
Puerto Rico,32,72,,3255642,9.83,2022/8/11,7:59 PM,10389,0,2022/8/11,23.746,0.7112,28.41,31.194,26.033,7.722222222,5.161
Puerto Rico,32,72,,3255642,9.83,2022/8/12,7:51 PM,10389,0,2022/8/12,23.388,0,28.389,30.922,25.689,7.788888889,5.233
Puerto Rico,32,72,,3255642,9.83,2022/8/13,8:05 PM,10389,0,2022/8/13,23.41,0,28.478,30.961,25.45,6.277777778,5.511
Puerto Rico,32,72,,3255642,9.83,2022/8/14,8:17 PM,10389,0,2022/8/14,24.244,0,28.534,31.489,25.466,5.733333333,6.023
Puerto Rico,32,72,,3255642,9.83,2022/8/15,8:12 PM,10389,0,2022/8/15,24.912,0.1905,28.201,30.994,25.994,4.188888889,5
Puerto Rico,32,72,,3255642,9.83,2022/8/16,8:22 PM,10389,0,2022/8/16,24.256,2.54,28.126,31.523,25.467,3.8,6.056
Puerto Rico,66,72,,3255642,20.27,2022/8/17,8:24 PM,13514,34,2022/8/17,24.468,0.564444444,27.766,30.761,24.906,3.411111111,5.855
Puerto Rico,66,72,,3255642,20.27,2022/8/18,8:13 PM,14112,0,2022/8/18,24.4425,0.689428571,28.12444444,31.28444444,24.80888889,6.125,6.475555556
Puerto Rico,66,72,,3255642,20.27,2022/8/19,8:04 PM,14112,0,2022/8/19,24.778,2.3114,28.388,31.306,25.572,7,5.734
Puerto Rico,66,72,,3255642,20.27,2022/8/20,8:09 PM,14112,0,2022/8/20,24.576,3.01625,28.217,31.144,25.317,7.511111111,5.827
Puerto Rico,66,72,,3255642,20.27,2022/8/21,8:18 PM,14112,0,2022/8/21,24.164,2.173111111,27.817,30.805,24.978,5.922222222,5.827
Puerto Rico,77,72,,3255642,23.65,2022/8/22,8:33 PM,15430,11,2022/8/22,24.024,1.93675,27.382,30.911,24.433,4.366666667,6.478
Puerto Rico,77,72,,3255642,23.65,2022/8/23,8:30 PM,15906,0,2022/8/23,24,12.66371429,27.44555556,31.08111111,24.11111111,4.8625,6.97
Puerto Rico,90,72,,3255642,27.64,2022/8/24,8:29 PM,16600,13,2022/8/24,24.04,0.733777778,28.64666667,31.53222222,25.05555556,7.05,6.476666667
Puerto Rico,90,72,,3255642,27.64,2022/8/25,8:37 PM,16923,0,2022/8/25,24.622,1.5875,28.228,31.034,25.339,6.566666667,5.695
