location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Rhode Island,26,44,R.I.,1057798,24.58,2022/8/4,2:24 PM,7507,0,2022/8/4,20.68,0,24.89,30.59888889,19.62333333,5.85,10.97555556
Rhode Island,29,44,R.I.,1057798,27.42,2022/8/5,7:51 PM,7507,3,2022/8/5,22.1825,0,26.24,31.07444444,21.47,4.8,9.604444444
Rhode Island,29,44,R.I.,1057798,27.42,2022/8/6,7:58 PM,7507,0,2022/8/6,22.0275,0,26.17333333,31.09888889,22.49333333,6.4,8.605555556
Rhode Island,29,44,R.I.,1057798,27.42,2022/8/7,8:02 PM,7507,0,2022/8/7,22.725,0,26.66777778,31.13666667,23.24,9.45,7.896666667
Rhode Island,31,44,R.I.,1057798,29.31,2022/8/8,8:09 PM,8931,2,2022/8/8,22.5675,0,26.64777778,30.84555556,23.98222222,9.466666667,6.863333333
Rhode Island,31,44,R.I.,1057798,29.31,2022/8/9,7:37 PM,9489,0,2022/8/9,23.18,0.056444444,27.03222222,32.17888889,24.01222222,8.75,8.166666667
Rhode Island,31,44,R.I.,1057798,29.31,2022/8/10,7:52 PM,9489,0,2022/8/10,20.0675,2.596444444,22.80777778,28.08666667,19.62333333,6.033333333,8.463333333
Rhode Island,32,44,R.I.,1057798,30.25,2022/8/11,7:59 PM,10389,1,2022/8/11,20.3625,0,22.27333333,25.46888889,20.29666667,4.45,5.172222222
Rhode Island,32,44,R.I.,1057798,30.25,2022/8/12,7:51 PM,10389,0,2022/8/12,16.4325,1.241777778,22.82777778,28.04444444,19.80333333,5.883333333,8.241111111
Rhode Island,32,44,R.I.,1057798,30.25,2022/8/13,8:05 PM,10389,0,2022/8/13,11.7075,0.056444444,20.69666667,26.73555556,16.80777778,6.033333333,9.927777778
Rhode Island,32,44,R.I.,1057798,30.25,2022/8/14,8:17 PM,10389,0,2022/8/14,12.235,0,19.89555556,26.76444444,12.93777778,3.8,13.82666667
Rhode Island,32,44,R.I.,1057798,30.25,2022/8/15,8:12 PM,10389,0,2022/8/15,13.75,0,20.97444444,26.95111111,14.33888889,4.05,12.61222222
Rhode Island,32,44,R.I.,1057798,30.25,2022/8/16,8:22 PM,10389,0,2022/8/16,14.0825,0,20.37111111,26.69777778,14.59222222,7.5,12.10555556
Rhode Island,33,44,R.I.,1057798,31.2,2022/8/17,8:24 PM,13514,1,2022/8/17,15.43,1.382888889,20.40777778,25.83333333,16.12333333,7.016666667,9.71
Rhode Island,37,44,R.I.,1057798,34.98,2022/8/18,8:13 PM,14112,4,2022/8/18,14.1225,1.411111111,21.51777778,28.09888889,16.49222222,8.15,11.60666667
Rhode Island,37,44,R.I.,1057798,34.98,2022/8/19,8:04 PM,14112,0,2022/8/19,15,0.028222222,23.57333333,30.58111111,16.99333333,6.216666667,13.58777778
Rhode Island,37,44,R.I.,1057798,34.98,2022/8/20,8:09 PM,14112,0,2022/8/20,18.32,0,23.46333333,29.66666667,18.34,4.916666667,11.32666667
Rhode Island,37,44,R.I.,1057798,34.98,2022/8/21,8:18 PM,14112,0,2022/8/21,19.0125,0.028222222,22.81666667,28.24666667,19.01888889,4.533333333,9.227777778
