location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
South Carolina,23,45,S.C.,5091517,4.52,2022/8/4,2:24 PM,7507,0,2022/8/4,22.15553191,3.175,26.37490196,33.49333333,21.85392157,3.159183673,11.63941176
South Carolina,30,45,S.C.,5091517,5.89,2022/8/5,7:51 PM,7507,7,2022/8/5,22.59148936,0.338666667,26.88529412,32.84882353,22.03803922,3.02244898,10.81078431
South Carolina,30,45,S.C.,5091517,5.89,2022/8/6,7:58 PM,7507,0,2022/8/6,22.80212766,0.672352941,26.53901961,32.57647059,22.46960784,2.428571429,10.10686275
South Carolina,30,45,S.C.,5091517,5.89,2022/8/7,8:02 PM,7507,0,2022/8/7,22.29212766,2.150533333,25.76137255,32.02411765,21.99235294,2.191836735,10.03176471
South Carolina,39,45,S.C.,5091517,7.66,2022/8/8,8:09 PM,8931,9,2022/8/8,22.2673913,1.233714286,26.08823529,32.24843137,21.72627451,2.683673469,10.52215686
South Carolina,41,45,S.C.,5091517,8.05,2022/8/9,7:37 PM,9489,2,2022/8/9,22.01319149,1.149047619,27.0027451,33.23764706,22.28529412,4.528571429,10.95235294
South Carolina,41,45,S.C.,5091517,8.05,2022/8/10,7:52 PM,9489,0,2022/8/10,21.96553191,0.817217391,27.37313725,33.04392157,22.59705882,5.024489796,10.44686275
South Carolina,44,45,S.C.,5091517,8.64,2022/8/11,7:59 PM,10389,3,2022/8/11,21.27829787,0.881529412,25.80941176,31.63431373,21.84607843,4.563265306,9.788235294
South Carolina,44,45,S.C.,5091517,8.64,2022/8/12,7:51 PM,10389,0,2022/8/12,21.1187234,8.557846154,23.94137255,29.9245098,21.28843137,4.269387755,8.636078431
South Carolina,44,45,S.C.,5091517,8.64,2022/8/13,8:05 PM,10389,0,2022/8/13,18.3426087,3.804227273,24.22960784,30.15333333,19.73313725,4.47755102,10.42019608
South Carolina,44,45,S.C.,5091517,8.64,2022/8/14,8:17 PM,10389,0,2022/8/14,16.57446809,0,23.76882353,30.91254902,17.26686275,2.232653061,13.64568627
South Carolina,44,45,S.C.,5091517,8.64,2022/8/15,8:12 PM,10389,0,2022/8/15,19.17446809,0.080818182,25.28980392,32.10137255,18.89235294,4.181632653,13.20901961
South Carolina,44,45,S.C.,5091517,8.64,2022/8/16,8:22 PM,10389,0,2022/8/16,21.11041667,6.311515152,24.00653846,28.66115385,21.10884615,4.384,7.552307692
South Carolina,73,45,S.C.,5091517,14.34,2022/8/17,8:24 PM,13514,29,2022/8/17,20.17354167,2.601783784,22.96673077,26.84384615,20.79788462,3.422,6.045961538
South Carolina,72,45,S.C.,5091517,14.14,2022/8/18,8:13 PM,14112,0,2022/8/18,19.80145833,0.913190476,23.73461538,28.97653846,20.01480769,2.812,8.961730769
South Carolina,72,45,S.C.,5091517,14.14,2022/8/19,8:04 PM,14112,0,2022/8/19,20.98854167,4.082142857,23.40326923,28.06961538,20.62403846,3.228,7.445576923
South Carolina,72,45,S.C.,5091517,14.14,2022/8/20,8:09 PM,14112,0,2022/8/20,21.60893617,13.12333333,24.71807692,30.65807692,21.155,1.834,9.503076923
South Carolina,72,45,S.C.,5091517,14.14,2022/8/21,8:18 PM,14112,0,2022/8/21,22.59729167,3.519714286,25.34692308,30.1175,21.97403846,2.86,8.143461538
South Carolina,86,45,S.C.,5091517,16.89,2022/8/22,8:33 PM,15430,14,2022/8/22,22.51723404,4.275666667,24.98326923,29.68365385,22.20711538,4.048,7.476538462
South Carolina,90,45,S.C.,5091517,17.68,2022/8/23,8:30 PM,15906,4,2022/8/23,21.92916667,2.630714286,25.06846154,29.66230769,21.93173077,2.312,7.730576923
South Carolina,94,45,S.C.,5091517,18.46,2022/8/24,8:29 PM,16600,4,2022/8/24,21.85361702,1.972930233,25.25384615,30.42480769,21.64423077,1.33,8.780576923
South Carolina,95,45,S.C.,5091517,18.66,2022/8/25,8:37 PM,16923,1,2022/8/25,22.24645833,6.077857143,24.59596154,29.15884615,22.02461538,1.8,7.134230769
South Carolina,100,45,S.C.,5091517,19.64,2022/8/26,8:23 PM,17429,5,2022/8/26,21.76276596,7.681783784,24.90846154,30.82673077,21.53711538,1.584,9.289615385
South Carolina,100,45,S.C.,5091517,19.64,2022/8/27,8:22 PM,17429,0,2022/8/27,21.95446809,2.834409091,26.14346154,32.28884615,21.41442308,1.752,10.87442308
South Carolina,100,45,S.C.,5091517,19.64,2022/8/28,8:31 PM,17429,0,2022/8/28,22.18617021,0.114904762,26.18269231,31.775,21.69326923,2.966,10.08173077
South Carolina,109,45,S.C.,5091517,21.41,2022/8/29,8:38 PM,18098,9,2022/8/29,22.40553191,2.173111111,24.97192308,30.05980769,21.7875,3.008,8.272307692
South Carolina,113,45,S.C.,5091517,22.19,2022/8/30,8:51 PM,18414,4,2022/8/30,22.13234043,8.636,24.8925,31.03423077,21.21134615,2.53,9.822884615
South Carolina,113,45,S.C.,5091517,22.19,2022/8/31,8:28 PM,18986,0,2022/8/31,21.91622222,0.351692308,26.5758,32.1326,21.9678,2.54375,10.1648
South Carolina,114,45,S.C.,5091517,22.39,2022/9/1,8:33 PM,19462,1,2022/9/1,20.89266667,0,25.5942,31.3758,21.1866,2.770833333,10.1892
