location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
South Dakota,1,46,S.D.,879336,1.14,2022/8/4,2:24 PM,7507,0,2022/8/4,12.91909091,0.029307692,24.00769231,33.78576923,15.72038462,9.145454545,18.06538462
South Dakota,1,46,S.D.,879336,1.14,2022/8/5,7:51 PM,7507,0,2022/8/5,15.81590909,1.09728,28.14846154,37.50807692,19.74423077,12.25909091,17.76384615
South Dakota,1,46,S.D.,879336,1.14,2022/8/6,7:58 PM,7507,0,2022/8/6,15.09136364,10.67816,22.47653846,33.28807692,16.81384615,10.84090909,16.47423077
South Dakota,1,46,S.D.,879336,1.14,2022/8/7,8:02 PM,7507,0,2022/8/7,13.54590909,12.75521739,17.68538462,24.68576923,14.08576923,7.931818182,10.6
South Dakota,1,46,S.D.,879336,1.14,2022/8/8,8:09 PM,8931,0,2022/8/8,12.54045455,4.836583333,19.21307692,29.25769231,11.03192308,4.895454545,18.22576923
South Dakota,2,46,S.D.,879336,2.27,2022/8/9,7:37 PM,9489,1,2022/8/9,13.66136364,0,23.68538462,33.45730769,13.51961538,7.045454545,19.93769231
South Dakota,2,46,S.D.,879336,2.27,2022/8/10,7:52 PM,9489,0,2022/8/10,16.06772727,0,25.04230769,33.705,16.21153846,7.504545455,17.49346154
South Dakota,2,46,S.D.,879336,2.27,2022/8/11,7:59 PM,10389,0,2022/8/11,16.10363636,0.009769231,25.33653846,34.085,17.62192308,9.504545455,16.46307692
South Dakota,2,46,S.D.,879336,2.27,2022/8/12,7:51 PM,10389,0,2022/8/12,16.13318182,0.019538462,26.31807692,34.87423077,19.67923077,10.39090909,15.195
South Dakota,2,46,S.D.,879336,2.27,2022/8/13,8:05 PM,10389,0,2022/8/13,16.89909091,0.029307692,23.85884615,32.14115385,18.26730769,6.786363636,13.87384615
South Dakota,2,46,S.D.,879336,2.27,2022/8/14,8:17 PM,10389,0,2022/8/14,16.43681818,0.042333333,22.25038462,29.49769231,16.08923077,6.454545455,13.40846154
South Dakota,2,46,S.D.,879336,2.27,2022/8/15,8:12 PM,10389,0,2022/8/15,16.95045455,1.7272,21.36576923,27.47269231,17.15615385,6.986363636,10.31653846
South Dakota,2,46,S.D.,879336,2.27,2022/8/16,8:22 PM,10389,0,2022/8/16,15.37045455,3.87096,20.46576923,28.42038462,14.28038462,6.063636364,14.14
South Dakota,2,46,S.D.,879336,2.27,2022/8/17,8:24 PM,13514,0,2022/8/17,14.43272727,0.254,22.27307692,30.98769231,14.12653846,6.254545455,16.86115385
South Dakota,2,46,S.D.,879336,2.27,2022/8/18,8:13 PM,14112,0,2022/8/18,13.89181818,0.478692308,23.13846154,31.05346154,15.75269231,8.668181818,15.30076923
South Dakota,2,46,S.D.,879336,2.27,2022/8/19,8:04 PM,14112,0,2022/8/19,12.99227273,0.22352,19.82269231,28.73076923,13.72423077,9.318181818,15.00653846
South Dakota,2,46,S.D.,879336,2.27,2022/8/20,8:09 PM,14112,0,2022/8/20,14.23090909,6.027615385,19.81730769,27.66230769,13.55076923,6.504545455,14.11153846
South Dakota,2,46,S.D.,879336,2.27,2022/8/21,8:18 PM,14112,0,2022/8/21,13.70545455,0,21.95692308,30.71615385,13.24346154,5.463636364,17.47269231
South Dakota,2,46,S.D.,879336,2.27,2022/8/22,8:33 PM,15430,0,2022/8/22,13.96727273,0,23.895,32.81384615,15.24192308,6.490909091,17.57192308
South Dakota,2,46,S.D.,879336,2.27,2022/8/23,8:30 PM,15906,0,2022/8/23,15.19681818,0.179916667,24.47153846,32.89115385,16.79076923,6.786363636,16.10038462
South Dakota,2,46,S.D.,879336,2.27,2022/8/24,8:29 PM,16600,0,2022/8/24,16.97636364,1.397,22.89153846,30.55961538,16.98538462,6.05,13.57423077
South Dakota,2,46,S.D.,879336,2.27,2022/8/25,8:37 PM,16923,0,2022/8/25,15.64954545,2.47904,19.72884615,27.60923077,14.88461538,6.65,12.72461538
South Dakota,2,46,S.D.,879336,2.27,2022/8/26,8:23 PM,17429,0,2022/8/26,15.51772727,6.83768,19.15846154,26.92307692,13.75653846,6.995454545,13.16653846
South Dakota,2,46,S.D.,879336,2.27,2022/8/27,8:22 PM,17429,0,2022/8/27,15.61045455,6.328833333,22.36384615,31.29115385,15.17730769,8.159090909,16.11384615
South Dakota,2,46,S.D.,879336,2.27,2022/8/28,8:31 PM,17429,0,2022/8/28,14.17681818,0.273538462,22.65,31.515,16.13038462,10.79545455,15.38461538
South Dakota,2,46,S.D.,879336,2.27,2022/8/29,8:38 PM,18098,0,2022/8/29,9.29952381,0,20.8292,28.6732,12.9204,8.961904762,15.7528
South Dakota,2,46,S.D.,879336,2.27,2022/8/30,8:51 PM,18414,0,2022/8/30,8.207619048,0,20.4844,31.2756,10.5472,5.061904762,20.7284
South Dakota,2,46,S.D.,879336,2.27,2022/8/31,8:28 PM,18986,0,2022/8/31,11.05,0,23.2512,33.118,13.0608,5.147619048,20.0572
South Dakota,2,46,S.D.,879336,2.27,2022/9/1,8:33 PM,19462,0,2022/9/1,12.70809524,0.04064,24.3052,35.3352,13.6512,5.19047619,21.684
South Dakota,2,46,S.D.,879336,2.27,2022/9/2,8:24 PM,19959,0,2022/9/2,11.49761905,0.052916667,24.724,34.3688,15.3376,8.504761905,19.0312
South Dakota,2,46,S.D.,879336,2.27,2022/9/3,8:30 PM,19959,0,2022/9/3,8.284761905,0,19.2,29.4776,9.6868,6.542857143,19.7908
South Dakota,2,46,S.D.,879336,2.27,2022/9/4,8:35 PM,19959,0,2022/9/4,9.116666667,0,20.766,31.4464,10.5132,8.714285714,20.9332
South Dakota,2,46,S.D.,879336,2.27,2022/9/5,8:41 PM,19959,0,2022/9/5,10.8247619,0,23.0848,33.0624,13.7756,9.238095238,19.2868
South Dakota,2,46,S.D.,879336,2.27,2022/9/6,8:40 PM,20730,0,2022/9/6,12.26238095,0,23.4348,33.6864,14.1016,6.714285714,19.5848
South Dakota,2,46,S.D.,879336,2.27,2022/9/7,8:32 PM,21271,0,2022/9/7,13.97380952,0,23.9316,34.362,14.8996,6.695238095,19.4624
South Dakota,2,46,S.D.,879336,2.27,2022/9/8,8:28 PM,21501,0,2022/9/8,11.67428571,0,25.8948,35.196,17.1864,11.7047619,18.0096
South Dakota,2,46,S.D.,879336,2.27,2022/9/9,8:32 PM,21891,0,2022/9/9,10.82047619,2.72773913,15.5828,24.6864,11.9356,9.276190476,12.7508
South Dakota,2,46,S.D.,879336,2.27,2022/9/10,8:29 PM,21891,0,2022/9/10,6.23,3.24104,13.44,22.0308,5.882,5.185714286,16.1488
South Dakota,2,46,S.D.,879336,2.27,2022/9/11,8:46 PM,21891,0,2022/9/11,4.645238095,0.02032,15.0124,25.6504,4.9576,3.60952381,20.6928
South Dakota,2,46,S.D.,879336,2.27,2022/9/12,8:40 PM,21982,0,2022/9/12,5.005714286,0,17.3848,29.02791667,6.2892,4.580952381,22.73871667
South Dakota,2,46,S.D.,879336,2.27,2022/9/13,8:35 PM,22627,0,2022/9/13,7.378571429,0,18.3128,29.5288,7.838,6.123809524,21.6908
South Dakota,2,46,S.D.,879336,2.27,2022/9/14,8:42 PM,22771,0,2022/9/14,11.01333333,0,20.7884,31.9244,12.2268,8.771428571,19.6976
South Dakota,2,46,S.D.,879336,2.27,2022/9/15,6:41 AM,22771,0,2022/9/15,13.35857143,0.154608696,21.8388,30.1268,15.5752,10.58095238,14.5516
South Dakota,2,46,S.D.,879336,2.27,2022/9/16,8:22 PM,23496,0,2022/9/16,14.13,3.522869565,17.7284,25.1284,13.8264,5.266666667,11.302
South Dakota,2,46,S.D.,879336,2.27,2022/9/17,8:43 PM,23496,0,2022/9/17,13.36714286,3.024909091,18.3404,25.6116,12.8132,7.052380952,12.7984
South Dakota,2,46,S.D.,879336,2.27,2022/9/18,8:45 PM,23496,0,2022/9/18,12.33857143,1.546086957,17.612,26.9272,10.3928,4.676190476,16.5344
South Dakota,2,46,S.D.,879336,2.27,2022/9/19,8:34 PM,23890,0,2022/9/19,12.08904762,0.16256,21.3532,31.9352,12.5112,8.552380952,19.424
South Dakota,2,46,S.D.,879336,2.27,2022/9/20,8:45 PM,24200,0,2022/9/20,11.09428571,0,21.8512,32.3448,13.48,8.142857143,18.8648
South Dakota,2,46,S.D.,879336,2.27,2022/9/21,8:31 PM,24361,0,2022/9/21,5.4,0.173181818,14.9928,25.8916,10.1556,9.871428571,15.736
South Dakota,2,46,S.D.,879336,2.27,2022/9/22,8:39 PM,24569,0,2022/9/22,3.267619048,0.254,11.162,18.7956,5.4112,7.871428571,13.3844
South Dakota,2,46,S.D.,879336,2.27,2022/9/23,8:37 PM,24843,0,2022/9/23,7.214285714,0.121478261,14.4712,21.5624,8.8112,11.97619048,12.7512
South Dakota,2,46,S.D.,879336,2.27,2022/9/24,8:33 PM,24843,0,2022/9/24,6.223809524,0.57912,15.704,23.3332,8.502,9.480952381,14.8312
South Dakota,2,46,S.D.,879336,2.27,2022/9/25,8:46 PM,24843,0,2022/9/25,3.625714286,0.03048,15.2376,23.0252,7.68,10.70952381,15.3452
South Dakota,2,46,S.D.,879336,2.27,2022/9/26,8:27 PM,25159,0,2022/9/26,1.063333333,0,13.8752,24.9516,4.6088,5.571428571,20.3428
South Dakota,2,46,S.D.,879336,2.27,2022/9/27,8:34 PM,25338,0,2022/9/27,2.567619048,0,14.4824,23.854,4.3688,5.295238095,19.4852
South Dakota,2,46,S.D.,879336,2.27,2022/9/28,8:37 PM,25506,0,2022/9/28,1.623809524,0,14.1256,25.4552,4.9892,10.27619048,20.466
South Dakota,2,46,S.D.,879336,2.27,2022/9/29,8:51 PM,25610,0,2022/9/29,3.86047619,0,18.5044,28.6204,9.596,11.7952381,19.0244
South Dakota,2,46,S.D.,879336,2.27,2022/9/30,8:46 PM,25848,0,2022/9/30,6.83047619,0.022086957,19.624,28.692,11.8848,10.47619048,16.8072
South Dakota,2,46,S.D.,879336,2.27,2022/10/1,8:39 PM,25848,0,2022/10/1,8.272380952,0.09525,17.9664,26.6116,11.8316,9.404761905,14.78
South Dakota,2,46,S.D.,879336,2.27,2022/10/2,7:57 PM,25848,0,2022/10/2,8.285714286,0.36576,17.268,25.4424,11.7288,8.719047619,13.7136
