location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Tennessee,39,47,Tenn.,6772268,5.76,2022/8/4,2:24 PM,7507,0,2022/8/4,21.82608696,2.230782609,26.12916667,31.59958333,21.91,4.391304348,9.689583333
Tennessee,42,47,Tenn.,6772268,6.2,2022/8/5,7:51 PM,7507,3,2022/8/5,22.40863636,3.253619048,25.58291667,31.05333333,22.00958333,3.160869565,9.04375
Tennessee,42,47,Tenn.,6772268,6.2,2022/8/6,7:58 PM,7507,0,2022/8/6,22.30478261,5.974521739,26.20583333,32.20208333,22.09041667,2.865217391,10.11166667
Tennessee,42,47,Tenn.,6772268,6.2,2022/8/7,8:02 PM,7507,0,2022/8/7,21.82608696,2.447636364,25.85,32.38458333,21.08791667,3.208695652,11.29666667
Tennessee,52,47,Tenn.,6772268,7.68,2022/8/8,8:09 PM,8931,10,2022/8/8,22.30130435,2.391833333,26.44208333,32.75041667,21.1225,3.313043478,11.62791667
Tennessee,55,47,Tenn.,6772268,8.12,2022/8/9,7:37 PM,9489,3,2022/8/9,22.31434783,0.784086957,25.99875,32.16666667,21.61541667,4.086956522,10.55125
Tennessee,55,47,Tenn.,6772268,8.12,2022/8/10,7:52 PM,9489,0,2022/8/10,21.66090909,5.223565217,23.82291667,29.55333333,21.36083333,2.669565217,8.1925
Tennessee,62,47,Tenn.,6772268,9.15,2022/8/11,7:59 PM,10389,7,2022/8/11,22.08695652,8.244416667,24.53,30.06208333,21.57375,2.660869565,8.488333333
Tennessee,62,47,Tenn.,6772268,9.15,2022/8/12,7:51 PM,10389,0,2022/8/12,19.76956522,2.772833333,24.40166667,29.41666667,19.49291667,4.091304348,9.92375
Tennessee,62,47,Tenn.,6772268,9.15,2022/8/13,8:05 PM,10389,0,2022/8/13,16.21173913,0,22.54166667,29.66875,16.09208333,2.747826087,13.57666667
Tennessee,62,47,Tenn.,6772268,9.15,2022/8/14,8:17 PM,10389,0,2022/8/14,18.53217391,0,23.7825,30.86541667,17.17333333,3.534782609,13.69208333
Tennessee,62,47,Tenn.,6772268,9.15,2022/8/15,8:12 PM,10389,0,2022/8/15,20.49130435,0.328083333,25.43083333,30.24291667,20.3375,3.573913043,9.905416667
Tennessee,62,47,Tenn.,6772268,9.15,2022/8/16,8:22 PM,10389,0,2022/8/16,19.42304348,0.176695652,22.70041667,27.64333333,19.26625,3.517391304,8.377083333
Tennessee,99,47,Tenn.,6772268,14.62,2022/8/17,8:24 PM,13514,37,2022/8/17,18.23913043,1.612347826,22.36333333,27.94208333,18.0025,2.360869565,9.939583333
Tennessee,107,47,Tenn.,6772268,15.8,2022/8/18,8:13 PM,14112,8,2022/8/18,17.50173913,0.3175,23.08166667,29.85583333,17.10416667,2.130434783,12.75166667
Tennessee,107,47,Tenn.,6772268,15.8,2022/8/19,8:04 PM,14112,0,2022/8/19,18.45291667,0.14224,23.46,30.5708,17.418,1.875,13.1528
Tennessee,107,47,Tenn.,6772268,15.8,2022/8/20,8:09 PM,14112,0,2022/8/20,20.83625,1.121833333,23.9296,29.6796,19.7712,3.045833333,9.9084
Tennessee,107,47,Tenn.,6772268,15.8,2022/8/21,8:18 PM,14112,0,2022/8/21,21.71083333,5.947833333,24.0696,28.6512,20.6864,4.516666667,7.9648
Tennessee,137,47,Tenn.,6772268,20.23,2022/8/22,8:33 PM,15430,30,2022/8/22,20.6275,4.46024,24.5276,30.1572,20.6128,2.6625,9.5444
Tennessee,139,47,Tenn.,6772268,20.52,2022/8/23,8:30 PM,15906,2,2022/8/23,19.16083333,0.04064,23.732,29.9348,18.216,1.691666667,11.7188
