location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Utah,41,49,Utah,3151239,13.01,2022/8/4,2:24 PM,7507,0,2022/8/4,10.07047619,0,26.72478261,35.41521739,17.66173913,4.92,17.75347826
Utah,46,49,Utah,3151239,14.6,2022/8/5,7:51 PM,7507,5,2022/8/5,12.358,0.127,26.23409091,34.61090909,18.82318182,7.442105263,15.78772727
Utah,46,49,Utah,3151239,14.6,2022/8/6,7:58 PM,7507,0,2022/8/6,12.961,1.4224,23.56272727,31.80818182,17.51727273,7.526315789,14.29090909
Utah,46,49,Utah,3151239,14.6,2022/8/7,8:02 PM,7507,0,2022/8/7,11.164,4.12447619,22.80318182,31.88090909,14.95227273,5.610526316,16.92863636
Utah,48,49,Utah,3151239,15.23,2022/8/8,8:09 PM,8931,2,2022/8/8,6.369047619,0,24.75347826,33.71043478,14.98347826,4.75,18.72695652
Utah,56,49,Utah,3151239,17.77,2022/8/9,7:37 PM,9489,8,2022/8/9,5.80952381,0,26.15391304,35.37956522,16.32173913,5.27,19.05782609
Utah,56,49,Utah,3151239,17.77,2022/8/10,7:52 PM,9489,0,2022/8/10,10.48190476,0.399142857,26.37869565,34.70043478,17.65521739,6.075,17.04521739
Utah,57,49,Utah,3151239,18.09,2022/8/11,7:59 PM,10389,1,2022/8/11,13.81857143,1.632857143,24.44478261,32.49217391,18.16913043,5.44,14.32304348
Utah,57,49,Utah,3151239,18.09,2022/8/12,7:51 PM,10389,0,2022/8/12,13.8195,3.983789474,24.05045455,32.79545455,17.77272727,5.694736842,15.02272727
Utah,57,49,Utah,3151239,18.09,2022/8/13,8:05 PM,10389,0,2022/8/13,13.2295,0.0254,24.41409091,31.90181818,18.43227273,6.194736842,13.46954545
Utah,57,49,Utah,3151239,18.09,2022/8/14,8:17 PM,10389,0,2022/8/14,14.027,0.874888889,23.58,31.515,18.13409091,5.215789474,13.38090909
Utah,57,49,Utah,3151239,18.09,2022/8/15,8:12 PM,10389,0,2022/8/15,12.1847619,0.277090909,23.59478261,32.44478261,16.73434783,5.33,15.71043478
Utah,57,49,Utah,3151239,18.09,2022/8/16,8:22 PM,10389,0,2022/8/16,10.19095238,0.369454545,24.45130435,32.79,16.61347826,5.29,16.17652174
Utah,73,49,Utah,3151239,23.17,2022/8/17,8:24 PM,13514,16,2022/8/17,10.11904762,0.485913043,25.38086957,33.95173913,17,5.325,16.95173913
Utah,77,49,Utah,3151239,24.43,2022/8/18,8:13 PM,14112,4,2022/8/18,8.9475,0.450272727,25.05590909,33.80545455,17.11136364,5.452631579,16.69409091
Utah,77,49,Utah,3151239,24.43,2022/8/19,8:04 PM,14112,0,2022/8/19,11.2925,1.9177,23.61954545,32.50727273,17.23,6.647368421,15.27727273
Utah,77,49,Utah,3151239,24.43,2022/8/20,8:09 PM,14112,0,2022/8/20,12.444,2.005263158,20.66954545,28.285,15.505,6.015789474,12.78
Utah,77,49,Utah,3151239,24.43,2022/8/21,8:18 PM,14112,0,2022/8/21,12.059,2.089727273,20.90681818,30.06545455,14.21409091,4.789473684,15.85136364
