location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Virginia,105,51,Va.,8509358,12.34,2022/8/4,2:24 PM,7507,0,2022/8/4,22.1292517,1.581727273,26.73662552,33.7654321,21.22119342,3.111538462,12.54423868
Virginia,122,51,Va.,8509358,14.34,2022/8/5,7:51 PM,7507,17,2022/8/5,22.10430839,3.937,25.57716049,33.30041152,21.45679012,3.519230769,11.8436214
Virginia,122,51,Va.,8509358,14.34,2022/8/6,7:58 PM,7507,0,2022/8/6,21.91016549,11.82624,24.6163522,31.52515723,21.1918239,3.888235294,10.33333333
Virginia,122,51,Va.,8509358,14.34,2022/8/7,8:02 PM,7507,0,2022/8/7,21.9375,1.48844,25.77358491,31.55031447,21.14989518,3.847058824,10.40041929
Virginia,145,51,Va.,8509358,17.04,2022/8/8,8:09 PM,8931,23,2022/8/8,22.55791962,0.46228,26.93376068,32.74679487,21.77777778,4.652,10.96901709
Virginia,145,51,Va.,8509358,17.04,2022/8/9,7:37 PM,9489,0,2022/8/9,22.63356974,0.756595745,27.78952991,33.87606838,22.73931624,5.162,11.13675214
Virginia,145,51,Va.,8509358,17.04,2022/8/10,7:52 PM,9489,0,2022/8/10,22.58695652,8.128,26.55337691,33.19389978,21.95642701,3.836734694,11.23747277
Virginia,175,51,Va.,8509358,20.57,2022/8/11,7:59 PM,10389,30,2022/8/11,20.98842593,10.2235,24.12473795,30.5,21.35953878,4.209803922,9.140461217
Virginia,175,51,Va.,8509358,20.57,2022/8/12,7:51 PM,10389,0,2022/8/12,17.68981482,1.974272727,23.16981132,28.09224319,19.59433962,4.22745098,8.497903564
Virginia,175,51,Va.,8509358,20.57,2022/8/13,8:05 PM,10389,0,2022/8/13,13.59953704,0.148566038,21.01677149,27.57442348,14.85220126,2.994117647,12.72222222
Virginia,175,51,Va.,8509358,20.57,2022/8/14,8:17 PM,10389,0,2022/8/14,15.42824074,0.687658537,20.98322851,27.37735849,15.61320755,2.352941176,11.76415094
Virginia,175,51,Va.,8509358,20.57,2022/8/15,8:12 PM,10389,0,2022/8/15,17.58217593,3.24004878,20.14255765,25.44444444,17.17190776,2.664705882,8.272536688
Virginia,175,51,Va.,8509358,20.57,2022/8/16,8:22 PM,10389,0,2022/8/16,16.94560185,3.296708333,20.68763103,25.76205451,17.2033543,4.262745098,8.55870021
Virginia,189,51,Va.,8509358,22.21,2022/8/17,8:24 PM,13514,14,2022/8/17,16.38333333,0.958490566,21.37676768,26.97979798,16.91212121,3.832075472,10.06767677
Virginia,229,51,Va.,8509358,26.91,2022/8/18,8:13 PM,14112,40,2022/8/18,16.15666667,0.068384615,21.29393939,28.69292929,14.97272727,1.990566038,13.72020202
Virginia,229,51,Va.,8509358,26.91,2022/8/19,8:04 PM,14112,0,2022/8/19,18.03333333,0.336938776,22.64343434,28.95555556,15.92424242,2.726415094,13.03131313
Virginia,229,51,Va.,8509358,26.91,2022/8/20,8:09 PM,14112,0,2022/8/20,19.50907029,0.824204082,23.63888889,29.34773663,17.5154321,2.723076923,11.83230453
Virginia,229,51,Va.,8509358,26.91,2022/8/21,8:18 PM,14112,0,2022/8/21,20.86689815,3.919681818,23.01851852,28.50205761,19.08024691,2.444230769,9.4218107
Virginia,263,51,Va.,8509358,30.91,2022/8/22,8:33 PM,15430,34,2022/8/22,20.98888889,9.144,23.76868687,29.03131313,19.91717172,3.660377358,9.114141414
Virginia,263,51,Va.,8509358,30.91,2022/8/23,8:30 PM,15906,0,2022/8/23,19.15444444,0.85137037,23.95252525,29.67070707,18.7969697,3.088679245,10.87373737
Virginia,284,51,Va.,8509358,33.38,2022/8/24,8:29 PM,16600,21,2022/8/24,18.31444444,0.018472727,23.96767677,30.64848485,18.23131313,1.849056604,12.41717172
Virginia,284,51,Va.,8509358,33.38,2022/8/25,8:37 PM,16923,0,2022/8/25,19.85111111,0.061148148,24.37979798,31.02626263,18.39292929,2.150943396,12.63333333
Virginia,302,51,Va.,8509358,35.49,2022/8/26,8:23 PM,17429,18,2022/8/26,19.81444444,1.202612245,24.78989899,31.38181818,19.05151515,3.249056604,12.33030303
Virginia,302,51,Va.,8509358,35.49,2022/8/27,8:22 PM,17429,0,2022/8/27,20.05777778,0.204196078,24.97272727,31.99393939,19,2.556603774,12.99393939
Virginia,302,51,Va.,8509358,35.49,2022/8/28,8:31 PM,17429,0,2022/8/28,20.61888889,0.924943396,24.9010101,32.02626263,19.26363636,2.409433962,12.76262626
Virginia,302,51,Va.,8509358,35.49,2022/8/29,8:38 PM,18098,0,2022/8/29,21.2675737,0.03354717,25.54423868,31.66152263,19.8127572,2.848076923,11.84876543
Virginia,325,51,Va.,8509358,38.19,2022/8/30,8:51 PM,18414,23,2022/8/30,21.36961451,2.324652174,25.50102881,32.24485597,20.41666667,3.976923077,11.8281893
Virginia,339,51,Va.,8509358,39.84,2022/8/31,8:28 PM,18986,14,2022/8/31,17.73,1.186961538,24.31818182,30.73838384,19.11818182,4.216981132,11.62020202
Virginia,339,51,Va.,8509358,39.84,2022/9/1,8:33 PM,19462,0,2022/9/1,15.58111111,0.004618182,22.67777778,30.17171717,15.78787879,2.533962264,14.38383838
Virginia,353,51,Va.,8509358,41.48,2022/9/2,8:24 PM,19959,14,2022/9/2,17.15577342,0,23.11919192,30.56868687,16.04040404,2.649056604,14.52828283
Virginia,353,51,Va.,8509358,41.48,2022/9/3,8:30 PM,19959,0,2022/9/3,19.17647059,0,24.12121212,30.45050505,17.63232323,2.90754717,12.81818182
Virginia,353,51,Va.,8509358,41.48,2022/9/4,8:35 PM,19959,0,2022/9/4,19.05,0.709083333,23.85390947,30.58950617,18.13786008,2.75,12.45164609
Virginia,353,51,Va.,8509358,41.48,2022/9/5,8:41 PM,19959,0,2022/9/5,19.73222222,3.397955556,23.69958848,29.37654321,18.9218107,3.240384615,10.45473251
Virginia,364,51,Va.,8509358,42.78,2022/9/6,8:40 PM,20730,11,2022/9/6,21.20555556,5.633155556,24.87345679,30.05144033,20.20164609,4.488461538,9.849794238
Virginia,364,51,Va.,8509358,42.78,2022/9/7,8:32 PM,21271,0,2022/9/7,20.24555556,2.148416667,23.2191358,28.78395062,20.52263374,3.688461538,8.261316873
Virginia,389,51,Va.,8509358,45.71,2022/9/8,8:28 PM,21501,25,2022/9/8,18.21555556,3.018117647,21.80707071,26.72222222,19.3010101,4.828301887,7.421212122
Virginia,389,51,Va.,8509358,45.71,2022/9/9,8:32 PM,21891,0,2022/9/9,16.19333333,0.3556,21.04242424,27.05252525,16.06767677,4.426415094,10.98484849
Virginia,389,51,Va.,8509358,45.71,2022/9/10,8:29 PM,21891,0,2022/9/10,16.97337963,0.265288889,20.80041152,26.61831276,16.01234568,4.326923077,10.60596708
Virginia,389,51,Va.,8509358,45.71,2022/9/11,8:46 PM,21891,0,2022/9/11,20.78250591,5.258340426,23.22641509,28.1278826,18.30398323,3.958823529,9.823899371
Virginia,397,51,Va.,8509358,46.65,2022/9/12,8:40 PM,21982,8,2022/9/12,21.31746032,9.265708333,24.06969697,29.44747475,20.72929293,3.533962264,8.718181818
Virginia,409,51,Va.,8509358,48.06,2022/9/13,8:35 PM,22627,12,2022/9/13,17.23222222,3.747698113,22.56161616,28.33434343,18.26161616,4.088679245,10.07272727
Virginia,422,51,Va.,8509358,49.59,2022/9/14,8:42 PM,22771,13,2022/9/14,13.01333333,0.092363636,19.36464646,26.65757576,13.25555556,3.539622642,13.4020202
Virginia,422,51,Va.,8509358,49.59,2022/9/15,6:41 AM,22771,0,2022/9/15,14.52832244,0,19.68551587,26.86607143,13.1577381,3.168518519,13.70833333
Virginia,430,51,Va.,8509358,50.53,2022/9/16,8:22 PM,23496,8,2022/9/16,14.16122004,0,19.54365079,26.86706349,12.99503968,1.957407407,13.87202381
Virginia,430,51,Va.,8509358,50.53,2022/9/17,8:43 PM,23496,0,2022/9/17,14.16993464,0,19.06349206,26.90079365,12.4375,1.95,14.46329365
Virginia,430,51,Va.,8509358,50.53,2022/9/18,8:45 PM,23496,0,2022/9/18,15.12222222,0,20.22420635,28.54761905,12.6468254,2.494444444,15.90079365
Virginia,440,51,Va.,8509358,51.71,2022/9/19,8:34 PM,23890,10,2022/9/19,16.54357298,0.041563636,21.94642857,29.69246032,14.25,3.555555556,15.44246032
Virginia,440,51,Va.,8509358,51.71,2022/9/20,8:45 PM,24200,0,2022/9/20,17.05010893,0,23.49107143,30.28571429,16.49503968,3.377777778,13.7906746
Virginia,440,51,Va.,8509358,51.71,2022/9/21,8:31 PM,24361,0,2022/9/21,15.64814815,0.045357143,21.89087302,30.31746032,14.91765873,2.107407407,15.39980159
Virginia,452,51,Va.,8509358,53.12,2022/9/22,8:39 PM,24569,12,2022/9/22,17.15250545,0.389106383,22.90277778,30.53769841,16.35416667,6.405555556,14.18353175
Virginia,452,51,Va.,8509358,53.12,2022/9/23,8:37 PM,24843,0,2022/9/23,4.63,0.461818182,16.06464646,22.34343434,10.50808081,8.913207547,11.83535354
Virginia,452,51,Va.,8509358,53.12,2022/9/24,8:33 PM,24843,0,2022/9/24,7.191111111,0.02032,14.88080808,22.36363636,8.656565657,3.262264151,13.70707071
Virginia,452,51,Va.,8509358,53.12,2022/9/25,8:46 PM,24843,0,2022/9/25,12.14,0.800652174,18.48585859,27.42929293,10.47474747,5.790566038,16.95454546
Virginia,464,51,Va.,8509358,54.53,2022/9/26,8:27 PM,25159,12,2022/9/26,12.39666667,1.651,19.28181818,26.66868687,12.83232323,5.954716981,13.83636364
Virginia,464,51,Va.,8509358,54.53,2022/9/27,8:34 PM,25338,0,2022/9/27,7.468888889,0.029307692,16.76666667,24.26666667,10.04343434,4.086792453,14.22323232
Virginia,464,51,Va.,8509358,54.53,2022/9/28,8:37 PM,25506,0,2022/9/28,5.552222222,0,14.04747475,21.85757576,6.994949495,4.433962264,14.86262626
Virginia,464,51,Va.,8509358,54.53,2022/9/29,8:51 PM,25610,0,2022/9/29,8.535555556,0,14.81414141,20.64444444,8.137373737,7.739622642,12.50707071
Virginia,484,51,Va.,8509358,56.88,2022/9/30,8:46 PM,25848,20,2022/9/30,10.85947712,4.064,14.36607143,18.43650794,11.57142857,10.40185185,6.865079365
Virginia,484,51,Va.,8509358,56.88,2022/10/1,8:39 PM,25848,0,2022/10/1,14.03819444,34.14485714,16.06790123,18.67798354,13.35493827,8.017307692,5.323045268
Virginia,484,51,Va.,8509358,56.88,2022/10/2,7:57 PM,25848,0,2022/10/2,13.13425926,2.772833333,14.65329218,18.16255144,12.38786008,3.898076923,5.774691358
