location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
West Virginia,3,54,W.Va.,1807426,1.66,2022/8/4,2:24 PM,7507,0,2022/8/4,20.52136752,0,24.8452381,31.60714286,18.36904762,2.930769231,13.23809524
West Virginia,3,54,W.Va.,1807426,1.66,2022/8/5,7:51 PM,7507,0,2022/8/5,20.41452991,9.313333333,23.00396825,31.1031746,19.6468254,2.184615385,11.45634921
West Virginia,3,54,W.Va.,1807426,1.66,2022/8/6,7:58 PM,7507,0,2022/8/6,20.64102564,19.06953846,23.10714286,28.86904762,19.73015873,3.123076923,9.138888889
West Virginia,3,54,W.Va.,1807426,1.66,2022/8/7,8:02 PM,7507,0,2022/8/7,20.6025641,3.069166667,24.15476191,30.42063492,19.52380952,3.253846154,10.8968254
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/8,8:09 PM,8931,1,2022/8/8,20.91452992,1.016,24.73809524,30.89285714,19.61507936,3.953846154,11.27777778
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/9,7:37 PM,9489,0,2022/8/9,21.50854701,0.105833333,25.47222222,31.47619048,20.11111111,4.446153846,11.36507937
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/10,7:52 PM,9489,0,2022/8/10,21.1025641,6.244166667,23.50793651,29.98015873,20.38492063,3.061538462,9.595238096
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/11,7:59 PM,10389,0,2022/8/11,18.55555555,17.7165,22.51587302,28.3531746,19.1031746,3.615384615,9.25
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/12,7:51 PM,10389,0,2022/8/12,14.65384616,7.133166667,20.36904762,26.70238095,15.21428571,3.830769231,11.48809524
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/13,8:05 PM,10389,0,2022/8/13,12.38888889,0.653142857,18.27777778,26.29365079,11.23015873,1.592307692,15.06349206
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/14,8:17 PM,10389,0,2022/8/14,15.67948718,0.042333333,18.84523809,25.47619048,12.52777778,2.038461538,12.9484127
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/15,8:12 PM,10389,0,2022/8/15,16.82905983,14.92738462,19.25793651,25.57539683,15.53968254,3.069230769,10.03571429
West Virginia,4,54,W.Va.,1807426,2.21,2022/8/16,8:22 PM,10389,0,2022/8/16,16.32905983,11.13692308,19.01587302,25.53174603,15.65873016,2.715384615,9.873015874
West Virginia,5,54,W.Va.,1807426,2.77,2022/8/17,8:24 PM,13514,1,2022/8/17,15.46581197,3.399692308,19.17460317,25.8968254,14.88888889,2.3,11.00793651
West Virginia,5,54,W.Va.,1807426,2.77,2022/8/18,8:13 PM,14112,0,2022/8/18,15.0982906,2.413,19.44444444,26.96031746,13.26190476,1.65,13.6984127
West Virginia,5,54,W.Va.,1807426,2.77,2022/8/19,8:04 PM,14112,0,2022/8/19,16.2051282,0.097692308,20.55555556,28.5515873,13.3015873,1.638461538,15.25
