location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date,dewp,prcp,temp,temp_max,temp_min,wdsp,dtr
Wisconsin,19,55,Wis.,5806975,3.27,2022/8/4,2:24 PM,7507,0,2022/8/4,15.59770115,2.467428571,21.59548611,27.55989583,14.97829861,4.384126984,12.58159722
Wisconsin,22,55,Wis.,5806975,3.79,2022/8/5,7:51 PM,7507,3,2022/8/5,15.69731801,0,21.57899306,29.09461806,14.32465278,4.447619048,14.76996528
Wisconsin,22,55,Wis.,5806975,3.79,2022/8/6,7:58 PM,7507,0,2022/8/6,20.65517241,1.240366667,24.47829861,29.99045139,19.58506944,4.855555556,10.40538194
Wisconsin,22,55,Wis.,5806975,3.79,2022/8/7,8:02 PM,7507,0,2022/8/7,20.13122605,14.36624,22.44184028,27.5390625,19.17795139,5.107936508,8.361111111
Wisconsin,22,55,Wis.,5806975,3.79,2022/8/8,8:09 PM,8931,0,2022/8/8,16.66007533,14.04996296,19.62136752,24.2017094,15.58803419,6.4453125,8.613675214
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/9,7:37 PM,9489,9,2022/8/9,13.24199623,1.9685,18.28803419,25.86324786,11.11196581,2.7734375,14.75128205
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/10,7:52 PM,9489,0,2022/8/10,15.14312618,0.003907692,20.89059829,28.12991453,13.97521368,3.934375,14.15470085
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/11,7:59 PM,10389,0,2022/8/11,12.72787194,0.012095238,19.86581197,26.43162393,13.07435897,4.1890625,13.35726496
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/12,7:51 PM,10389,0,2022/8/12,12.35969868,1.265381818,16.56923077,23.05042735,12.02905983,3.5765625,11.02136752
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/13,8:05 PM,10389,0,2022/8/13,14.83615819,6.354618182,17.73162393,20.8965812,14.8017094,5.8671875,6.094871795
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/14,8:17 PM,10389,0,2022/8/14,16.01318267,2.145862069,18.03076923,21.44102564,15.91282051,5.171875,5.528205128
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/15,8:12 PM,10389,0,2022/8/15,15.44350282,0.04031746,18.76923077,24.20598291,14.02393162,3.215625,10.18205128
Wisconsin,31,55,Wis.,5806975,5.34,2022/8/16,8:22 PM,10389,0,2022/8/16,14.20998117,0.008466667,19.21111111,25.62307692,13.26153846,3.346875,12.36153846
Wisconsin,43,55,Wis.,5806975,7.4,2022/8/17,8:24 PM,13514,12,2022/8/17,13.94161959,0.114709677,19.30598291,26.17008547,12.88632479,2.4328125,13.28376068
Wisconsin,43,55,Wis.,5806975,7.4,2022/8/18,8:13 PM,14112,0,2022/8/18,15.33709981,1.603114754,19.85213675,26.04444444,13.99145299,3.64375,12.05299145
Wisconsin,43,55,Wis.,5806975,7.4,2022/8/19,8:04 PM,14112,0,2022/8/19,16.51340996,4.303622642,20.32899306,25.51302083,16.30295139,4.925396825,9.210069445
Wisconsin,43,55,Wis.,5806975,7.4,2022/8/20,8:09 PM,14112,0,2022/8/20,17.10828625,5.964296296,19.79401709,24.39487179,16.4034188,4.3765625,7.991452992
Wisconsin,43,55,Wis.,5806975,7.4,2022/8/21,8:18 PM,14112,0,2022/8/21,16.08380414,1.978741935,19.54188034,25.02136752,15.28632479,4.03125,9.735042734
Wisconsin,43,55,Wis.,5806975,7.4,2022/8/22,8:33 PM,15430,0,2022/8/22,13.85727969,0.008063492,19.23177083,26.61111111,12.13888889,2.444444444,14.47222222
