location,cases,asof,state_ap,state,pop_acs_2020_5tr,updated_date,updated_time,X,case_increase,date
Wyoming,0,56,Wyo.,581348,0,2022/8/5,7:51 PM,7507,0,2022/8/4
Wyoming,0,56,Wyo.,581348,0,2022/8/6,7:58 PM,7507,0,2022/8/5
Wyoming,0,56,Wyo.,581348,0,2022/8/7,8:02 PM,7507,0,2022/8/6
Wyoming,0,56,Wyo.,581348,0,2022/8/8,8:09 PM,8931,0,2022/8/7
Wyoming,0,56,Wyo.,581348,0,2022/8/9,7:37 PM,9489,0,2022/8/8
Wyoming,0,56,Wyo.,581348,0,2022/8/10,7:52 PM,9489,0,2022/8/9
Wyoming,0,56,Wyo.,581348,0,2022/8/11,7:59 PM,10389,0,2022/8/10
Wyoming,0,56,Wyo.,581348,0,2022/8/12,7:51 PM,10389,0,2022/8/11
Wyoming,0,56,Wyo.,581348,0,2022/8/13,8:05 PM,10389,0,2022/8/12
Wyoming,0,56,Wyo.,581348,0,2022/8/14,8:17 PM,10389,0,2022/8/13
Wyoming,0,56,Wyo.,581348,0,2022/8/15,8:12 PM,10389,0,2022/8/14
Wyoming,0,56,Wyo.,581348,0,2022/8/16,8:22 PM,10389,0,2022/8/15
Wyoming,0,56,Wyo.,581348,0,2022/8/17,8:24 PM,13514,0,2022/8/16
Wyoming,0,56,Wyo.,581348,0,2022/8/18,8:13 PM,14112,0,2022/8/17
Wyoming,0,56,Wyo.,581348,0,2022/8/19,8:04 PM,14112,0,2022/8/18
Wyoming,0,56,Wyo.,581348,0,2022/8/20,8:09 PM,14112,0,2022/8/19
Wyoming,0,56,Wyo.,581348,0,2022/8/21,8:18 PM,14112,0,2022/8/20
Wyoming,1,56,Wyo.,581348,1.72,2022/8/22,8:33 PM,15430,1,2022/8/21
Wyoming,1,56,Wyo.,581348,1.72,2022/8/23,8:30 PM,15906,0,2022/8/22
Wyoming,1,56,Wyo.,581348,1.72,2022/8/24,8:29 PM,16600,0,2022/8/23
Wyoming,1,56,Wyo.,581348,1.72,2022/8/25,8:37 PM,16923,0,2022/8/24
Wyoming,1,56,Wyo.,581348,1.72,2022/8/26,8:23 PM,17429,0,2022/8/25
Wyoming,1,56,Wyo.,581348,1.72,2022/8/27,8:22 PM,17429,0,2022/8/26
Wyoming,1,56,Wyo.,581348,1.72,2022/8/28,8:31 PM,17429,0,2022/8/27
Wyoming,2,56,Wyo.,581348,3.44,2022/8/29,8:38 PM,18098,1,2022/8/28
Wyoming,2,56,Wyo.,581348,3.44,2022/8/30,8:51 PM,18414,0,2022/8/29
Wyoming,2,56,Wyo.,581348,3.44,2022/8/31,8:28 PM,18986,0,2022/8/30
Wyoming,2,56,Wyo.,581348,3.44,2022/9/1,8:33 PM,19462,0,2022/8/31
Wyoming,2,56,Wyo.,581348,3.44,2022/9/2,8:24 PM,19959,0,2022/9/1
Wyoming,2,56,Wyo.,581348,3.44,2022/9/3,8:30 PM,19959,0,2022/9/2
Wyoming,2,56,Wyo.,581348,3.44,2022/9/4,8:35 PM,19959,0,2022/9/3
