location,direction
Connecticut,northeast
Maine,northeast
Massachusetts,northeast
New Hampshire,northeast
New Jersey,northeast
New York,northeast
Pennsylvania,northeast
Rhode Island,northeast
Vermont,northeast
Illinois,midwest
Indiana,midwest
Iowa,midwest
Kansas,midwest
Michigan,midwest
Minnesota,midwest
Missouri,midwest
Nebraska,midwest
North Dakota,midwest
Ohio,midwest
South Dakota,midwest
Wisconsin,midwest
Alaska,west
Arizona,west
California,west
Colorado,west
Hawaii,west
Idaho,west
Montana,west
Nevada,west
New Mexico,west
Oregon,west
Utah,west
Washington,west
Wyoming,west
Alabama,south
Arkansas,south
Delaware,south
Florida,south
Georgia,south
Kentucky,south
Louisiana,south
Maryland,south
Mississippi,south
North Carolina,south
Oklahoma,south
South Carolina,south
Tennessee,south
Texas,south
Virginia,south
West Virginia,south
District of Columbia,
Puerto Rico,
