date,dewp,prcp,temp,temp_max,temp_min,wdsp
2022/10/1,13.27777778,8.128,14.88888889,17.52777778,13.33333334,9.65
2022/10/2,14.44444444,3.429,15.44444445,17.38888889,13.38888889,7.3
2022/7/1,21,0,27.83333333,32.25,23.30555556,8.25
2022/7/10,17.27777778,1.143,23.94444445,27.77777778,21.72222222,4.3
2022/7/11,15.22222222,0,24.27777778,28.69444445,19.69444445,4.1
2022/7/12,18.16666667,0,25.58333334,32.27777778,20.5,8.45
2022/7/13,19.55555556,5.588,24.72222223,30.44444445,21.69444445,4.15
2022/7/14,17.72222222,0,27.72222222,32,22.41666667,6.1
2022/7/15,18,0,27.30555556,32.66666667,22.75,3.2
2022/7/16,19.83333333,0,26.52777778,30.19444445,22.05555556,4.6
2022/7/17,21.33333333,17.653,25.30555556,30.30555556,21.94444445,3.75
2022/7/18,21.55555556,0.127,27.33333334,32.52777778,23.66666667,8.05
2022/7/19,19.66666667,0,28.13888889,33.08333334,24.83333334,3.95
2022/7/2,21.55555556,0,28.13888889,31.77777778,24.27777778,8.25
2022/7/20,20.66666667,0,28.25,31.88888889,24.75,4.3
2022/7/21,22.11111111,0,30.55555556,34.5,24.75,6.15
2022/7/22,19.55555556,1.016,29.83333333,34.5,25.13888889,5.5
2022/7/23,20.05555556,0,30.44444445,35.05555556,25.38888889,5.25
2022/7/24,19.16666667,0,28.91666667,34.61111111,25,5.3
2022/7/25,22.05555556,0,29.11111111,33.55555556,24.25,8.25
2022/7/26,20.44444444,3.302,25.47222222,29.63888889,24.30555556,3.6
2022/7/27,20.5,0,26.86111111,31,24.08333334,3.5
2022/7/28,21.72222222,0,28.94444445,33.19444445,24.94444445,5.3
2022/7/29,21.22222222,2.54,26.88888889,32.52777778,23.77777778,2.85
2022/7/3,19.16666667,6.731,26.55555556,31.66666667,23.38888889,4.95
2022/7/30,17.77777778,0.254,26.5,31.86111111,23,5.15
2022/7/31,17.72222222,0,26.36111112,30.36111111,22.66666667,3.65
2022/7/4,13.66666667,0,26.69444445,31.80555556,21.5,3.25
2022/7/5,19.22222222,0,25.80555556,30.66666667,21.94444445,7.9
2022/7/6,20.61111111,1.143,29.02777778,34,23.77777778,4.85
